celltype,metric,value,set
iPSC,KL divergence,2.378638916513295,FORECasT
CHO,KL divergence,1.5166465488294532,FORECasT
mESC,KL divergence,1.7129226997165898,FORECasT
HAP1,KL divergence,1.631318720772744,FORECasT
K562,KL divergence,1.6263910204251046,FORECasT
iPSC,Top5 events recall,3.044130626654898,FORECasT
CHO,Top5 events recall,3.3106796116504853,FORECasT
mESC,Top5 events recall,3.201235657546337,FORECasT
HAP1,Top5 events recall,3.2533097969991176,FORECasT
K562,Top5 events recall,3.2842012356575463,FORECasT
iPSC,Top10 events recall,5.644307149161518,FORECasT
CHO,Top10 events recall,6.70432480141218,FORECasT
mESC,Top10 events recall,6.391879964695499,FORECasT
HAP1,Top10 events recall,6.229479258605473,FORECasT
K562,Top10 events recall,6.421888790820829,FORECasT
iPSC,R2 of Frameshift ratio,0.7859448338152305,FORECasT
CHO,R2 of Frameshift ratio,0.7097500625567481,FORECasT
mESC,R2 of Frameshift ratio,0.8041160537348881,FORECasT
HAP1,R2 of Frameshift ratio,0.7951595833706285,FORECasT
K562,R2 of Frameshift ratio,0.7731549739370832,FORECasT
iPSC,KLD_IDL,0.5564334155888818,FORECasT
CHO,KLD_IDL,0.3161119895185564,FORECasT
mESC,KLD_IDL,0.4096776720494158,FORECasT
HAP1,KLD_IDL,0.3700083786821365,FORECasT
K562,KLD_IDL,0.3846053421027342,FORECasT
iPSC,Top5_IDL,3.3371579876434248,FORECasT
CHO,Top5_IDL,3.63901147396293,FORECasT
mESC,Top5_IDL,3.585172109443954,FORECasT
HAP1,Top5_IDL,3.5489849955869373,FORECasT
K562,Top5_IDL,3.5992939099735217,FORECasT
iPSC,Top10_IDL,6.72639011473963,FORECasT
CHO,Top10_IDL,7.669020300088261,FORECasT
mESC,Top10_IDL,7.654015887025595,FORECasT
HAP1,Top10_IDL,7.255957634598412,FORECasT
K562,Top10_IDL,7.296557811120918,FORECasT
iPSC,W1-distance_IDL,0.0853900387793945,FORECasT
CHO,W1-distance_IDL,0.066067995930037,FORECasT
mESC,W1-distance_IDL,0.0775805294928104,FORECasT
HAP1,W1-distance_IDL,0.0666226532022179,FORECasT
K562,W1-distance_IDL,0.0650946296917343,FORECasT
iPSC,delratio_r2,0.7247582087905351,FORECasT
CHO,delratio_r2,0.7114032988888839,FORECasT
mESC,delratio_r2,0.7014837773951503,FORECasT
HAP1,delratio_r2,0.7710275099711248,FORECasT
K562,delratio_r2,0.7830063888027933,FORECasT
iPSC,Kendall_tau_IDL,0.6077873575856534,FORECasT
CHO,Kendall_tau_IDL,0.6913269801853789,FORECasT
mESC,Kendall_tau_IDL,0.6700036040881876,FORECasT
HAP1,Kendall_tau_IDL,0.6817185204428341,FORECasT
K562,Kendall_tau_IDL,0.6800033221832186,FORECasT
iPSC,KL divergence,2.1985670082461803,DeepDecay
CHO,KL divergence,1.364058404608522,DeepDecay
mESC,KL divergence,1.555459634140331,DeepDecay
HAP1,KL divergence,1.345579599529268,DeepDecay
K562,KL divergence,1.2930364449362994,DeepDecay
iPSC,Top5 events recall,3.0158870255957635,DeepDecay
CHO,Top5 events recall,3.057369814651368,DeepDecay
mESC,Top5 events recall,3.098852603706973,DeepDecay
HAP1,Top5 events recall,3.116504854368932,DeepDecay
K562,Top5 events recall,3.118270079435128,DeepDecay
iPSC,Top10 events recall,5.559576345984113,DeepDecay
CHO,Top10 events recall,6.541041482789056,DeepDecay
mESC,Top10 events recall,6.197705207413946,DeepDecay
HAP1,Top10 events recall,6.052956751985878,DeepDecay
K562,Top10 events recall,6.34333627537511,DeepDecay
iPSC,R2 of Frameshift ratio,0.8256548255563827,DeepDecay
CHO,R2 of Frameshift ratio,0.7674258938299848,DeepDecay
mESC,R2 of Frameshift ratio,0.835919983213375,DeepDecay
HAP1,R2 of Frameshift ratio,0.8285558510338061,DeepDecay
K562,R2 of Frameshift ratio,0.8234435023556901,DeepDecay
iPSC,KLD_IDL,0.4267028755802375,DeepDecay
CHO,KLD_IDL,0.2222685622865617,DeepDecay
mESC,KLD_IDL,0.3089330661478447,DeepDecay
HAP1,KLD_IDL,0.2279290252482998,DeepDecay
K562,KLD_IDL,0.2249426986804432,DeepDecay
iPSC,Top5_IDL,3.4315975286849074,DeepDecay
CHO,Top5_IDL,3.6284201235657543,DeepDecay
mESC,Top5_IDL,3.555163283318623,DeepDecay
HAP1,Top5_IDL,3.5039717563989408,DeepDecay
K562,Top5_IDL,3.5772285966460724,DeepDecay
iPSC,Top10_IDL,6.962047661076787,DeepDecay
CHO,Top10_IDL,7.789055604589585,DeepDecay
mESC,Top10_IDL,7.804060017652251,DeepDecay
HAP1,Top10_IDL,7.445719329214475,DeepDecay
K562,Top10_IDL,7.53486319505737,DeepDecay
iPSC,W1-distance_IDL,0.0808059734740874,DeepDecay
CHO,W1-distance_IDL,0.0655539249754214,DeepDecay
mESC,W1-distance_IDL,0.0774943823271221,DeepDecay
HAP1,W1-distance_IDL,0.0633181507143639,DeepDecay
K562,W1-distance_IDL,0.0606989689299916,DeepDecay
iPSC,delratio_r2,0.7239840449733984,DeepDecay
CHO,delratio_r2,0.7073645755409134,DeepDecay
mESC,delratio_r2,0.7160020544949467,DeepDecay
HAP1,delratio_r2,0.7764143878406552,DeepDecay
K562,delratio_r2,0.793429109938817,DeepDecay
iPSC,Kendall_tau_IDL,0.6657695635125823,DeepDecay
CHO,Kendall_tau_IDL,0.7610403731751494,DeepDecay
mESC,Kendall_tau_IDL,0.7346455327212114,DeepDecay
HAP1,Kendall_tau_IDL,0.7552260735799002,DeepDecay
K562,Kendall_tau_IDL,0.7540746378620676,DeepDecay
iPSC,KL divergence,2.807886070681165,inDecay
CHO,KL divergence,1.776048890963552,inDecay
mESC,KL divergence,1.9824157920119407,inDecay
HAP1,KL divergence,1.8368774014348384,inDecay
K562,KL divergence,1.7974131040518408,inDecay
iPSC,Top5 events recall,2.835834068843777,inDecay
CHO,Top5 events recall,2.912621359223301,inDecay
mESC,Top5 events recall,3.0150044130626656,inDecay
HAP1,Top5 events recall,2.823477493380406,inDecay
K562,Top5 events recall,2.885260370697264,inDecay
iPSC,Top10 events recall,5.366284201235658,inDecay
CHO,Top10 events recall,6.2197705207413945,inDecay
mESC,Top10 events recall,6.01765225066196,inDecay
HAP1,Top10 events recall,5.611650485436893,inDecay
K562,Top10 events recall,5.904677846425419,inDecay
iPSC,R2 of Frameshift ratio,0.7385358965558674,inDecay
CHO,R2 of Frameshift ratio,0.6603676154428283,inDecay
mESC,R2 of Frameshift ratio,0.7554595242198197,inDecay
HAP1,R2 of Frameshift ratio,0.710618844851899,inDecay
K562,R2 of Frameshift ratio,0.7277281997215136,inDecay
iPSC,KLD_IDL,0.5410970154175905,inDecay
CHO,KLD_IDL,0.3063254536933481,inDecay
mESC,KLD_IDL,0.3776570085749548,inDecay
HAP1,KLD_IDL,0.3134423402100902,inDecay
K562,KLD_IDL,0.3058890977467174,inDecay
iPSC,Top5_IDL,3.307149161518093,inDecay
CHO,Top5_IDL,3.46954986760812,inDecay
mESC,Top5_IDL,3.484554280670785,inDecay
HAP1,Top5_IDL,3.268314210061783,inDecay
K562,Top5_IDL,3.3989408649602826,inDecay
iPSC,Top10_IDL,6.768755516328332,inDecay
CHO,Top10_IDL,7.63459841129744,inDecay
mESC,Top10_IDL,7.781112091791703,inDecay
HAP1,Top10_IDL,7.16946160635481,inDecay
K562,Top10_IDL,7.172992056487202,inDecay
iPSC,W1-distance_IDL,0.1018755453026893,inDecay
CHO,W1-distance_IDL,0.0845847280913458,inDecay
mESC,W1-distance_IDL,0.0974559788393472,inDecay
HAP1,W1-distance_IDL,0.0837660285342834,inDecay
K562,W1-distance_IDL,0.0793890502230987,inDecay
iPSC,delratio_r2,0.6884373816978415,inDecay
CHO,delratio_r2,0.6555886870036951,inDecay
mESC,delratio_r2,0.6754619042679203,inDecay
HAP1,delratio_r2,0.7545705897988538,inDecay
K562,delratio_r2,0.7666293363463901,inDecay
iPSC,Kendall_tau_IDL,0.6357852165912586,inDecay
CHO,Kendall_tau_IDL,0.7323320821886581,inDecay
mESC,Kendall_tau_IDL,0.7028544420076732,inDecay
HAP1,Kendall_tau_IDL,0.7182383345989641,inDecay
K562,Kendall_tau_IDL,0.7142735535005715,inDecay
CHO,KL divergence,2.088003252106016,Lindel
HAP1,KL divergence,1.918625524124527,Lindel
K562,KL divergence,2.2540590569526904,Lindel
iPSC,KL divergence,2.979698414348867,Lindel
mESC,KL divergence,2.172378666837028,Lindel
CHO,Top5 events recall,1.852603706972639,Lindel
HAP1,Top5 events recall,1.9867608120035305,Lindel
K562,Top5 events recall,2.203000882612533,Lindel
iPSC,Top5 events recall,1.7766990291262137,Lindel
mESC,Top5 events recall,2.261253309796999,Lindel
CHO,Top10 events recall,4.253309796999117,Lindel
HAP1,Top10 events recall,4.373345101500441,Lindel
K562,Top10 events recall,4.977934686672551,Lindel
iPSC,Top10 events recall,3.7802294792586055,Lindel
mESC,Top10 events recall,4.908208296557811,Lindel
CHO,Kendall's $\tau$,0.3371941908820853,Lindel
HAP1,Kendall's $\tau$,0.3546195224367063,Lindel
K562,Kendall's $\tau$,0.3368460006124697,Lindel
iPSC,Kendall's $\tau$,0.2765667474562924,Lindel
mESC,Kendall's $\tau$,0.3048769959103475,Lindel
CHO,R2 of Frameshift ratio,0.6330227434461445,Lindel
HAP1,R2 of Frameshift ratio,0.6023642888182804,Lindel
K562,R2 of Frameshift ratio,0.6110698001101129,Lindel
iPSC,R2 of Frameshift ratio,0.6221456027734625,Lindel
mESC,R2 of Frameshift ratio,0.6220201318198265,Lindel
CHO,R2 of Deletion ratio,0.7372702911845149,Lindel
HAP1,R2 of Deletion ratio,0.690181182874621,Lindel
K562,R2 of Deletion ratio,0.6804810701421313,Lindel
iPSC,R2 of Deletion ratio,0.7883039414686572,Lindel
mESC,R2 of Deletion ratio,0.7964089732977011,Lindel
CHO,frameshift_r,0.7956272641420381,Lindel
HAP1,frameshift_r,0.7761213106327389,Lindel
K562,frameshift_r,0.7817095369189971,Lindel
iPSC,frameshift_r,0.7887620698115894,Lindel
mESC,frameshift_r,0.7886825291711657,Lindel
CHO,delratio_r,0.8586444498070869,Lindel
HAP1,delratio_r,0.8307714384080744,Lindel
K562,delratio_r,0.82491276517104,Lindel
iPSC,delratio_r,0.8878648216190668,Lindel
mESC,delratio_r,0.8924174882294167,Lindel
iPSC,KLD_IDL,0.9258214476332912,Lindel
CHO,KLD_IDL,0.587877819181431,Lindel
mESC,KLD_IDL,0.8129610900804691,Lindel
HAP1,KLD_IDL,0.5899562633566077,Lindel
K562,KLD_IDL,0.5590709109229837,Lindel
iPSC,Top5_IDL,3.23477493380406,Lindel
CHO,Top5_IDL,3.3971756398940864,Lindel
mESC,Top5_IDL,3.244483671668138,Lindel
HAP1,Top5_IDL,3.3380406001765226,Lindel
K562,Top5_IDL,3.3795233892321277,Lindel
iPSC,Top10_IDL,6.694616063548103,Lindel
CHO,Top10_IDL,7.595763459841129,Lindel
mESC,Top10_IDL,7.274492497793469,Lindel
HAP1,Top10_IDL,7.262135922330097,Lindel
K562,Top10_IDL,7.31332744924978,Lindel
iPSC,frameshift_r2,0.6330227434461445,Lindel
CHO,frameshift_r2,0.6023642888182804,Lindel
mESC,frameshift_r2,0.6110698001101129,Lindel
HAP1,frameshift_r2,0.6221456027734625,Lindel
K562,frameshift_r2,0.6220201318198265,Lindel
iPSC,delratio_r2,0.7372702911845149,Lindel
CHO,delratio_r2,0.690181182874621,Lindel
mESC,delratio_r2,0.6804810701421313,Lindel
HAP1,delratio_r2,0.7883039414686572,Lindel
K562,delratio_r2,0.7964089732977011,Lindel
iPSC,Kendall_tau_IDL,0.6078598825729856,Lindel
CHO,Kendall_tau_IDL,0.7128095678077103,Lindel
mESC,Kendall_tau_IDL,0.6684857680070024,Lindel
HAP1,Kendall_tau_IDL,0.694866103689481,Lindel
K562,Kendall_tau_IDL,0.6827791463450891,Lindel
iPSC,KLD_IDL,0.2503140592270151,replication
CHO,KLD_IDL,0.0638344493443522,replication
mESC,KLD_IDL,0.1087861419662242,replication
HAP1,KLD_IDL,0.0656802694167331,replication
K562,KLD_IDL,0.0515387417532997,replication
iPSC,Top5_IDL,3.828773168578994,replication
CHO,Top5_IDL,4.340688437775817,replication
mESC,Top5_IDL,4.274492497793469,replication
HAP1,Top5_IDL,4.218887908208297,replication
K562,Top5_IDL,4.328331862312445,replication
iPSC,Top10_IDL,7.226831421006178,replication
CHO,Top10_IDL,8.463371579876434,replication
mESC,Top10_IDL,8.361871138570168,replication
HAP1,Top10_IDL,8.247131509267431,replication
K562,Top10_IDL,8.323036187113857,replication
iPSC,W1-distance_IDL,0.0324536667824613,replication
CHO,W1-distance_IDL,0.0167709776602427,replication
mESC,W1-distance_IDL,0.0222082336270492,replication
HAP1,W1-distance_IDL,0.0191310080917074,replication
K562,W1-distance_IDL,0.0147505842999467,replication
iPSC,delratio_r2,0.9592909657395048,replication
CHO,delratio_r2,0.987130477633024,replication
mESC,delratio_r2,0.962689690324254,replication
HAP1,delratio_r2,0.9829965798755436,replication
K562,delratio_r2,0.986857548778863,replication
iPSC,Kendall_tau_IDL,0.7028555064199776,replication
CHO,Kendall_tau_IDL,0.8279971601654496,replication
mESC,Kendall_tau_IDL,0.7813148223303423,replication
HAP1,Kendall_tau_IDL,0.830868015330133,replication
K562,Kendall_tau_IDL,0.8466576565611309,replication
iPSC,KL divergence,2.0884206295013428,replication
CHO,KL divergence,1.7283461093902588,replication
mESC,KL divergence,1.511704444885254,replication
HAP1,KL divergence,1.3558635711669922,replication
K562,KL divergence,1.2073304653167725,replication
iPSC,Top5 events recall,3.6019418239593506,replication
CHO,Top5 events recall,4.142100811004639,replication
mESC,Top5 events recall,4.098852634429932,replication
HAP1,Top5 events recall,4.133274555206299,replication
K562,Top5 events recall,4.219770431518555,replication
iPSC,Top10 events recall,6.2330098152160645,replication
CHO,Top10 events recall,7.75904655456543,replication
mESC,Top10 events recall,7.591350555419922,replication
HAP1,Top10 events recall,7.661959171295166,replication
K562,Top10 events recall,7.928508281707764,replication
iPSC,R2 of Frameshift ratio,0.9370785467110936,replication
CHO,R2 of Frameshift ratio,0.9730787950395248,replication
mESC,R2 of Frameshift ratio,0.9702304590239365,replication
HAP1,R2 of Frameshift ratio,0.971157862837166,replication
K562,R2 of Frameshift ratio,0.980195,replication
