celltype,set,metric,value
iPSC,inDecay (ours),KL divergence,2.0558044977242824
CHO,inDecay (ours),KL divergence,1.2292307783362093
mESC,inDecay (ours),KL divergence,1.4248165854656476
HAP1,inDecay (ours),KL divergence,1.25830401723509
K562,inDecay (ours),KL divergence,1.1256785575836397
iPSC,inDecay (ours),Top5 events recall,3.1059135039717565
CHO,inDecay (ours),Top5 events recall,3.3477493380406003
mESC,inDecay (ours),Top5 events recall,3.2797881729920566
HAP1,inDecay (ours),Top5 events recall,3.2824360105913506
K562,inDecay (ours),Top5 events recall,3.3468667255075024
iPSC,inDecay (ours),Top10 events recall,5.813768755516328
CHO,inDecay (ours),Top10 events recall,6.762577228596646
mESC,inDecay (ours),Top10 events recall,6.51721094439541
HAP1,inDecay (ours),Top10 events recall,6.386584289496911
K562,inDecay (ours),Top10 events recall,6.5639894086496025
iPSC,inDecay (ours),R2 of Frameshift ratio,0.8483396926709718
CHO,inDecay (ours),R2 of Frameshift ratio,0.80335942826297
mESC,inDecay (ours),R2 of Frameshift ratio,0.8590375081820166
HAP1,inDecay (ours),R2 of Frameshift ratio,0.8490733802962077
K562,inDecay (ours),R2 of Frameshift ratio,0.845974866753245
iPSC,inDecay (ours),Coll_I_Top5,3.2171226831421005
CHO,inDecay (ours),Coll_I_Top5,3.4580759046778464
mESC,inDecay (ours),Coll_I_Top5,3.413945278022948
HAP1,inDecay (ours),Coll_I_Top5,3.4060017652250663
K562,inDecay (ours),Coll_I_Top5,3.407766990291262
iPSC,inDecay (ours),Coll_I_Top10,5.960282436010592
CHO,inDecay (ours),Coll_I_Top10,6.991173874669021
mESC,inDecay (ours),Coll_I_Top10,6.664607237422771
HAP1,inDecay (ours),Coll_I_Top10,6.5525154457193295
K562,inDecay (ours),Coll_I_Top10,6.677846425419241
iPSC,inDecay (ours),KLD_IDL,0.2383069396018982
CHO,inDecay (ours),KLD_IDL,0.1459725946187973
mESC,inDecay (ours),KLD_IDL,0.1967407315969467
HAP1,inDecay (ours),KLD_IDL,0.1550192534923553
K562,inDecay (ours),KLD_IDL,0.1502865701913833
iPSC,inDecay (ours),Top5_IDL,3.4607237422771404
CHO,inDecay (ours),Top5_IDL,3.6963812886142975
mESC,inDecay (ours),Top5_IDL,3.6548984995586937
HAP1,inDecay (ours),Top5_IDL,3.601941747572816
K562,inDecay (ours),Top5_IDL,3.648720211827008
iPSC,inDecay (ours),Top10_IDL,7.011473962930274
CHO,inDecay (ours),Top10_IDL,7.807590467784642
mESC,inDecay (ours),Top10_IDL,7.917034421888791
HAP1,inDecay (ours),Top10_IDL,7.496910856134157
K562,inDecay (ours),Top10_IDL,7.607237422771403
iPSC,inDecay (ours),W1-distance_IDL,0.0711695102997025
CHO,inDecay (ours),W1-distance_IDL,0.0566741544445236
mESC,inDecay (ours),W1-distance_IDL,0.0671017972459132
HAP1,inDecay (ours),W1-distance_IDL,0.0563591616042106
K562,inDecay (ours),W1-distance_IDL,0.054632684693375
iPSC,inDecay (ours),delratio_r2,0.7866196666906091
CHO,inDecay (ours),delratio_r2,0.780138382751638
mESC,inDecay (ours),delratio_r2,0.7747249971246084
HAP1,inDecay (ours),delratio_r2,0.8279228815695477
K562,inDecay (ours),delratio_r2,0.8476281465776626
iPSC,inDecay (ours),Kendall_tau_IDL,0.6741882763134552
CHO,inDecay (ours),Kendall_tau_IDL,0.7690713789358341
mESC,inDecay (ours),Kendall_tau_IDL,0.7452324150487075
HAP1,inDecay (ours),Kendall_tau_IDL,0.7632777899681574
K562,inDecay (ours),Kendall_tau_IDL,0.7664082009153732
iPSC,FORECasT,KL divergence,2.378638916513295
CHO,FORECasT,KL divergence,1.5166465488294532
mESC,FORECasT,KL divergence,1.7129226997165898
HAP1,FORECasT,KL divergence,1.631318720772744
K562,FORECasT,KL divergence,1.6263910204251046
iPSC,FORECasT,Top5 events recall,3.044130626654898
CHO,FORECasT,Top5 events recall,3.3106796116504853
mESC,FORECasT,Top5 events recall,3.201235657546337
HAP1,FORECasT,Top5 events recall,3.2533097969991176
K562,FORECasT,Top5 events recall,3.2842012356575463
iPSC,FORECasT,Top10 events recall,5.644307149161518
CHO,FORECasT,Top10 events recall,6.70432480141218
mESC,FORECasT,Top10 events recall,6.391879964695499
HAP1,FORECasT,Top10 events recall,6.229479258605473
K562,FORECasT,Top10 events recall,6.421888790820829
iPSC,FORECasT,R2 of Frameshift ratio,0.7859448338152305
CHO,FORECasT,R2 of Frameshift ratio,0.7097500625567481
mESC,FORECasT,R2 of Frameshift ratio,0.8041160537348881
HAP1,FORECasT,R2 of Frameshift ratio,0.7951595833706285
K562,FORECasT,R2 of Frameshift ratio,0.7731549739370832
iPSC,FORECasT,KLD_IDL,0.5564334155888818
CHO,FORECasT,KLD_IDL,0.3161119895185564
mESC,FORECasT,KLD_IDL,0.4096776720494158
HAP1,FORECasT,KLD_IDL,0.3700083786821365
K562,FORECasT,KLD_IDL,0.3846053421027342
iPSC,FORECasT,Top5_IDL,3.3371579876434248
CHO,FORECasT,Top5_IDL,3.63901147396293
mESC,FORECasT,Top5_IDL,3.585172109443954
HAP1,FORECasT,Top5_IDL,3.5489849955869373
K562,FORECasT,Top5_IDL,3.5992939099735217
iPSC,FORECasT,Top10_IDL,6.72639011473963
CHO,FORECasT,Top10_IDL,7.669020300088261
mESC,FORECasT,Top10_IDL,7.654015887025595
HAP1,FORECasT,Top10_IDL,7.255957634598412
K562,FORECasT,Top10_IDL,7.296557811120918
iPSC,FORECasT,W1-distance_IDL,0.0853900387793945
CHO,FORECasT,W1-distance_IDL,0.066067995930037
mESC,FORECasT,W1-distance_IDL,0.0775805294928104
HAP1,FORECasT,W1-distance_IDL,0.0666226532022179
K562,FORECasT,W1-distance_IDL,0.0650946296917343
iPSC,FORECasT,delratio_r2,0.7247582087905351
CHO,FORECasT,delratio_r2,0.7114032988888839
mESC,FORECasT,delratio_r2,0.7014837773951503
HAP1,FORECasT,delratio_r2,0.7710275099711248
K562,FORECasT,delratio_r2,0.7830063888027933
iPSC,FORECasT,Kendall_tau_IDL,0.6077873575856534
CHO,FORECasT,Kendall_tau_IDL,0.6913269801853789
