,Gene,Rep1_frameshift,Pred_frameshift_inDephi,Rep_delratio,Pred_delratio_inDephi,iDp_delratio,Pred_frameshift_inDecay,Pred_delratio_inDecay
0,Oligo17460,0.96092755,0.9739674274293724,0.9250318,0.8681189100535679,0.8685295412801584,0.9450883,0.9525458
1,Oligo42843,0.7301698,0.6919575241296557,0.92241085,0.8556060641805487,0.859246543850659,0.6935189,0.8461424
2,Oligo10580,0.8513514,0.7405692699364603,0.6586229,0.8956334623465982,0.8994022241912683,0.7819708,0.6677467
3,Oligo45007,0.9817756,0.9902218503985605,0.8555064,0.8394139531593167,0.8396129100061251,0.9548958,0.92685914
4,Oligo45802,0.723372,0.7856657691784162,0.9379101,0.9690911821200505,0.9699254170600959,0.6638235,0.97083354
5,Oligo10498,0.42765716,0.45420402903637735,0.86102855,0.8991480094875833,0.9013039241164073,0.4389272,0.8234325
6,Oligo47431,0.8882645,0.7443641619320158,0.7933884,0.8957028181016036,0.8989239743223818,0.7913115,0.66101706
7,Oligo5629,0.8452433,0.724996368374327,0.6378781,0.8195668490342689,0.8243520134692796,0.8623932,0.5578599
8,Oligo25814,0.8813504,0.7672418174474214,0.6742765,0.8390871411895098,0.8446515515082805,0.7488867,0.6904963
9,Oligo14538,0.70773333,0.5670175462154524,0.49573335,0.8422033251952663,0.8439199659250264,0.8573281,0.34221423
10,Oligo24329,0.9150052,0.9705600654428792,0.9933544,0.9777164706475605,0.977966360102337,0.8849077,0.965999
11,Oligo9002,0.38181818,0.5831758332326783,0.85513836,0.9119533230258386,0.9168012771745921,0.56928015,0.7715369
12,Oligo33843,0.869298,0.8162263265587744,0.7107732,0.8525974332553088,0.8550379417270878,0.9340566,0.42061278
13,Oligo18117,0.9530698,0.9257544916338403,0.96788085,0.8804716686215819,0.8812185109812961,0.88436604,0.9679751
14,Oligo339,0.76881355,0.7441473691364817,0.8308474,0.8986765727025932,0.9013721068474548,0.8230522,0.84566045
15,Oligo27593,0.6368856,0.7204605157977932,0.8263365,0.8220641146828964,0.8249596477693016,0.71438295,0.7880608
16,Oligo49702,0.60973394,0.6710552979884692,0.75483286,0.7627128281734648,0.7658438593855885,0.67324567,0.835528
17,Oligo44943,0.7901975,0.9080699598192685,0.9344146,0.9601382632524822,0.9609231237957032,0.8273374,0.9726262
18,Oligo28093,0.90251714,0.7707536554514093,0.7167047,0.772063898367972,0.77369498080973,0.836184,0.74649066
19,Oligo20595,0.252819,0.14288888972013453,0.9804154,0.9204460466026732,0.9209892511779436,0.13701956,0.98373365
20,Oligo23821,0.88473445,0.9150668498727309,0.97689927,0.969822968860155,0.9717387117481109,0.86700034,0.95061165
21,Oligo49326,0.87394047,0.6229971399268857,0.60269505,0.8481699502549395,0.8503954255994721,0.78152835,0.6226062
22,Oligo13678,0.631814,0.4418913167566109,0.9622326,0.9621844947859524,0.9639274599194182,0.6038086,0.927027
23,Oligo44475,0.8190559,0.7211080962837605,0.91958034,0.9358656543824799,0.9375430506081388,0.7670513,0.93570936
24,Oligo31076,0.7798581,0.6233050888142584,0.5531915,0.8447951886242823,0.8470361287924913,0.76758933,0.4896614
25,Oligo4651,0.13786994,0.07983375862210397,0.9581783,0.9488767432092687,0.9492209730007815,0.1285982,0.9849358
26,Oligo12009,0.57778174,0.6432661233565642,0.9665131,0.8389068556724797,0.8408019490463619,0.6391549,0.9306979
27,Oligo51267,0.772318,0.7642938492621172,0.93465394,0.8828461231992318,0.8850596109927262,0.72210634,0.8787692
28,Oligo8423,0.8864384,0.9055598840989301,0.8295609,0.8678518240768982,0.8710617807967478,0.8979525,0.8047532
29,Oligo20234,0.97863173,0.9303718110100214,0.5004686,0.8787692062340099,0.8800801970810003,0.9090314,0.6514241
30,Oligo14251,0.2539759,0.19416840029775426,0.87349397,0.8390917347900467,0.8396205498126378,0.14521393,0.95214534
31,Oligo37986,0.77890515,0.7498892910167045,0.82704103,0.8949938251229798,0.8979465852528722,0.7696607,0.69362444
32,Oligo38272,0.42568502,0.3778015985859097,0.85967344,0.8998018307458434,0.9011490559402923,0.5724745,0.90135914
33,Oligo48487,0.89788,0.9638040077320289,0.85756946,0.9261421096727658,0.9266318331426906,0.9350114,0.8684665
34,Oligo38665,0.25364223,0.2222324078533868,0.8065441,0.8066198064453498,0.806845070157418,0.20269303,0.9128327
35,Oligo51094,0.7674927,0.7601396489051503,0.82944614,0.939496614183287,0.9423134709005488,0.76739895,0.89247155
36,Oligo3913,0.78838706,0.7488971699800516,0.84,0.895832997828945,0.89874368002117,0.8127454,0.7826183
37,Oligo77311,0.43815354,0.5642085299762516,0.8658505,0.8392119903761641,0.8411197383202216,0.45937204,0.8118493
38,Oligo25917,0.76615447,0.6418583592191316,0.7385901,0.8414507092052552,0.8441531534967821,0.63891834,0.7719343
39,Oligo29934,0.80045354,0.8316647548179614,0.8702948,0.9566784149853574,0.959250135891711,0.84887266,0.92207617
40,Oligo24596,0.8468326,0.8780451475430052,0.95800245,0.9508288796162415,0.9529043290371788,0.85662097,0.9652819
41,Oligo37254,0.92946494,0.8230202627338924,0.8495483,0.8472972121515815,0.85064908895768,0.841,0.84430707
42,Oligo45508,0.6751807,0.9294432708940563,0.95349395,0.9116525380031807,0.913358691299023,0.83789176,0.9718348
43,Oligo12686,0.72174186,0.7444027024170314,0.9737492,0.8694330079687268,0.8726780098827674,0.73197705,0.92914116
44,Oligo83457,0.5096463,0.5312269757337061,0.9474812,0.9525061874751006,0.9545999925807442,0.53694797,0.9273041
45,Oligo74773,0.7615604,0.7023873454473046,0.7497261,0.8365903136809459,0.8412390594686023,0.78158915,0.6805385
46,Oligo1544,0.8679629,0.95520490909086,0.8958212,0.9006871063454494,0.9013933359275673,0.90436864,0.9355354
47,Oligo37455,0.9472813,0.7891142312987611,0.5288417,0.8226922459887193,0.8256334463211146,0.8995518,0.59856826
48,Oligo23430,0.5783627,0.6765988425894853,0.83165276,0.7843185155437188,0.7863060177806601,0.7804221,0.6097027
