,Top1 events recall,Top2 events recall,Top3 events recall,Top5 events recall,KL Divergence,CosineSimilarity,Kendall_Top3,Kendall_Top5,Kendall_Top10,abs_frameshift_error,Major0.2,Major0.25,Major0.3,Major0.35,Major0.4,OligoID,Rep1_frameshift,Pred_frameshift,Rep1_delratio,Pred_delratio,oligos,Coll_I_CosineSimilarity,Coll_I_Fuzzy_Top1,Coll_I_Major_Top1,Coll_I_Kendall_tau,Coll_I_Major0.2,Coll_I_Major0.25,Coll_I_Major0.3,Coll_I_Major0.35,Coll_I_Major0.4,Coll_I_Top1,Coll_I_Top2,Coll_I_Top3,Coll_I_Top5,Coll_I_Kendall_Top3,Coll_I_Kendall_Top5,Coll_I_Kendall_Top10,Coll_I_abs_error_top1,Coll_I_abs_error_top2,Coll_I_abs_error_top3,Coll_I_abs_error_top5,KLD_IDL,CosineSimilarity_IDL,delratio_r2,Kendall_tau_IDL,Major0.2_IDL,Major0.25_IDL,Major0.3_IDL,Major0.4_IDL,Major0.5_IDL,Top1_IDL,Top2_IDL,Top3_IDL,Top5_IDL,abs_error_top1_IDL,abs_error_top2_IDL,abs_error_top3_IDL,abs_error_top5_IDL,kfold_index,celltype,fix_setting
0,0.0,0.0,1.0,2.0,2.5125844478607178,0.40240601617511734,-0.33333333333333337,0.35856858280031806,0.023870495801314427,0.08186014621997495,0.0,0.0,0.0,0.0,,['mRagKO-sg1-4--0375'],[0.8888889],[0.9707490417316021],[],[],dict_keys(['mRagKO-sg1-4--0375']),0.3597086993610126,0.0,0.0,0.08684902109796921,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.35856858280031806,-0.26257545381445874,0.32138663516839344,0.4706687070856491,0.5816069392028522,1.1294989609966664,1.5822887420654297,0.34015120319910946,0,0.40785962817917626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.4313872035392974,0.5785378171065033,1.015390114748668,1.1766740791248997,0,mESC,fewshot
0,1.0,2.0,2.0,2.0,1.5599309206008911,0.8833903904770549,1.0,0.8366600265340755,0.35805743701971643,0.012353798418189399,1.0,1.0,1.0,1.0,,['mRagKO-sg1-4--0375'],[0.8888889],[0.8765350970934378],[],[],dict_keys(['mRagKO-sg1-4--0375']),0.891338752295776,1.0,1.0,0.0850604986641766,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,3.0,1.0,0.8366600265340755,0.3103164454170875,0.18074615313212078,0.25767670416831967,0.3682696108679391,0.5541458060155466,0.44531750679016113,0.9574014169649829,0,0.45981626871155534,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0732656716743536,0.1407787309783873,0.21591516350605525,0.3773947804052486,0,mESC,pretrained
0,1.0,1.0,1.0,2.0,3.1066994667053223,0.9010583128511392,1.0,0.8366600265340755,0.07161148740394328,0.163662749460876,1.0,1.0,0.0,0.0,,['mRagKO-sg1-4--0375'],[0.8888889],[0.7252261460507512],[],[],dict_keys(['mRagKO-sg1-4--0375']),0.9010583211330444,1.0,1.0,0.08344111561854098,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,2.0,1.0,0.8366600265340755,0.09656090991705352,0.10377647017029556,0.2034377406507403,0.3137378978526586,0.5326687949477276,2.1977686882019043,0.9508455479979383,0,0.31788107353292655,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.21114791397623422,0.26813746489392,0.37924857600503115,0.47595526525986326,0,mESC,Lindel
0,1.0,2.0,2.0,3.0,1.5983507633209229,0.9133211853572567,1.0,0.8366600265340755,0.4586643221060042,0.026489387281349197,1.0,1.0,1.0,1.0,,['mRagKO-sg1-4--0375'],[0.8888889],[0.862399508230278],[],[],dict_keys(['mRagKO-sg1-4--0375']),0.9253721620690436,1.0,1.0,0.104355934706259,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,3.0,1.0,0.8366600265340755,0.506944777064531,0.0852126205118296,0.1278796766796182,0.2384961252471445,0.36889015655073437,0.343759685754776,0.9816215608847335,0,0.46770420832954024,1.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,0.023919840424942385,0.06107970534693152,0.08044584672183902,0.23021877349386122,0,mESC,inDelphi
0,1.0,2.0,2.0,2.0,1.5728342533111572,0.8642318928255678,1.0,0.8819171036881968,0.20006252931214213,0.028571435194166717,1.0,1.0,1.0,1.0,,['mRagKO-sg1-4--0375'],[0.8888889],[0.8603174603174605],[],[],dict_keys(['mRagKO-sg1-4--0375']),0.8755917009408241,1.0,1.0,0.10345177341610445,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,3.0,1.0,0.629940788348712,0.29303177430330263,0.1066793650793651,0.23681746031746032,0.3468703703703704,0.5288809523809523,0.5914104580879211,0.9518113301888763,0,0.467402755376321,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0008592592592592263,0.11406613756613752,0.18602380952380948,0.3424592592592592,0,mESC,FORECasT
0,1.0,1.0,2.0,2.0,1.878506064414978,0.9096317589114488,1.0,0.9999999999999999,0.781126577552403,0.10146474302927899,1.0,0.0,0.0,0.0,0.0,['mDcbld2'],[0.8375274],[0.9389921373240178],[],[],dict_keys(['mDcbld2']),0.8358079041689424,0.0,0.0,0.07026275020918304,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,-0.33333333333333337,0.6,0.5291502622129182,0.20191054258258562,0.2385505149384932,0.3412454596645279,0.5718240946300079,0.8591339588165283,0.8508786470397628,0,0.4041939107755779,1.0,0.0,0.0,0.0,,0.0,1.0,3.0,3.0,0.1979532602382406,0.22923937145499226,0.331934316181027,0.5469574790696948,1,mESC,fewshot
0,1.0,2.0,2.0,2.0,1.671422004699707,0.8376454835418259,1.0,0.9999999999999999,0.781126577552403,0.036936742787020194,1.0,1.0,0.0,0.0,0.0,['mDcbld2'],[0.8375274],[0.874464137081759],[],[],dict_keys(['mDcbld2']),0.8602882719648522,1.0,1.0,0.0671747572956164,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,0.9999999999999999,0.629940788348712,0.1163070968142293,0.22258933217144886,0.34218977602478273,0.5717895436560656,0.6339254379272461,0.8813361073599675,0,0.4197398304207925,1.0,1.0,1.0,0.0,,1.0,2.0,2.0,3.0,0.10710859982292648,0.22593912257925922,0.3455395659669318,0.5329246027418565,1,mESC,pretrained
0,1.0,2.0,2.0,2.0,4.260446548461914,0.8838149222349061,1.0,0.6,0.495558504409436,0.014614529409389787,1.0,1.0,0.0,0.0,0.0,['mDcbld2'],[0.8375274],[0.822912864885349],[],[],dict_keys(['mDcbld2']),0.8838149169712816,1.0,1.0,0.10247605799028385,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.6,0.22677868380553634,0.1566547630897061,0.2411738377316456,0.40635644193864007,0.6364661197764945,3.299635648727417,0.924286569422298,0,0.23514055191901265,1.0,1.0,0.0,0.0,,1.0,2.0,2.0,2.0,0.12432744053119876,0.1957046089170542,0.36088721312404864,0.5323309911924673,1,mESC,Lindel
0,1.0,2.0,2.0,2.0,1.836086392402649,0.901964655111747,1.0,0.9999999999999999,0.8506397826736707,0.036037371426876574,1.0,1.0,0.0,0.0,0.0,['mDcbld2'],[0.8375274],[0.8735647657216153],[],[],dict_keys(['mDcbld2']),0.9363530374116206,1.0,1.0,0.06835210977942521,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.33333333333333337,0.7999999999999999,0.5928701515604371,0.1283597664918168,0.1836916082361389,0.1982960117539009,0.42846529249607357,0.5936660170555115,0.962126281351954,0,0.4273819697267752,1.0,1.0,0.0,0.0,,1.0,1.0,3.0,3.0,0.12316473642919917,0.16337603262653808,0.17798043614430012,0.3654366126071178,1,mESC,inDelphi
0,1.0,2.0,2.0,2.0,2.430297613143921,0.873559213750574,1.0,0.9486832980505137,0.60324934681779,0.10162234978435303,0.0,0.0,0.0,0.0,0.0,['mDcbld2'],[0.8375274],[0.7359050445103857],[],[],dict_keys(['mDcbld2']),0.9076999684028245,1.0,,0.065007269616686,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,0.9486832980505137,0.4871987657646901,0.3217001676869955,0.43231499575134225,0.5341939402155078,0.7636003956478734,1.1165517568588257,0.9661950223263336,0,0.36933608848711713,0.0,0.0,0.0,0.0,,1.0,2.0,2.0,4.0,0.30785249211825166,0.40264140524689124,0.5045203497110569,0.6617210682492581,1,mESC,FORECasT
