Gene,Rep1_frameshift,Pred_frameshift,Rep_delratio,Pred_delratio,Baseline_frameshift,Baseline_delratio,inDephi_frameshift,inDephi_delratio,Lindel_frameshift,Lindel_delratio,FORE_frameshift,FORE_delratio,kfold_index,celltype
mRagKO-sg1-4--0375,0.8888889,0.9707491,0.8888889,0.38046294,0.8765352,0.9574147,0.862399508230278,0.9082550302637966,0.7252261460507512,1.0,0.8603174603174605,0.9555555555555555,0,mESC
mDcbld2,0.8375274,0.93899214,0.8348174,0.6980902,0.87446415,0.94643456,0.8735647657216153,0.8494217993107676,0.822912864885349,1.0,0.7359050445103857,0.9297725024727991,1,mESC
mGM-sg1,0.9755378,0.9428436,0.6917025,0.8005928,0.85717964,0.86624104,0.8180900794202757,0.8842138422267606,0.7398332116647804,1.0,0.8209109730848863,0.7091097308488611,2,mESC
mAdam6,1.0,0.9826451,0.80750626,0.90124226,0.9478324,0.91558325,0.9220594117681902,0.9293774279275622,0.8845993924777762,0.9999999999999997,0.8921775898520088,0.8995771670190276,3,mESC
mH2AB1-sg1,0.94083565,0.9901704,0.9341265,0.9680361,0.94127697,0.9567247,0.9219964247977301,0.9121718193584184,0.7210437483662748,1.0000000000000002,0.8499475341028331,0.9443861490031479,5,mESC
mIL21R,0.9726398,0.95281154,0.61748254,0.86049664,0.8415244,0.97055167,0.8832861424116542,0.9736134975283365,0.8232220827786998,1.0,0.7918890074706512,0.9807897545357525,7,mESC
mHCAR2,0.9067747,0.9049844,0.7284929,0.8155204,0.9104737,0.95067847,0.9216754505577834,0.9590420280737181,0.8248695286258164,0.9999999999999999,0.8350515463917525,0.9154639175257734,9,mESC
mCD44,0.9580156,0.98189765,0.7626288,0.8960372,0.9529364,0.94463336,0.9093137469333432,0.8807916795698872,0.8186782399551733,1.0,0.7848837209302326,0.8653100775193799,11,mESC
mGpbar1,0.95540434,0.99250853,0.8080566,0.9601123,0.9540536,0.96125036,0.9364090436776344,0.9100572942240552,0.8772177112584625,1.0,0.8232217573221756,0.9403765690376571,12,mESC
mSTARD10,0.94113505,0.9445841,0.6642847,0.4766133,0.8769469,0.78035164,0.8244588038571515,0.880756213417615,0.5975344052112137,1.0,0.7444764649375599,0.893371757925072,15,mESC
mSRY,0.99052054,0.9773643,1.0,0.9448272,0.92812324,0.98560745,0.9322206846415632,0.9048865032875613,0.7430228179662081,1.0000000000000002,0.8804232804232804,0.9904761904761907,16,mESC
mNAT2,1.0,0.8623896,0.77441335,0.869401,0.8262913,0.9226288,0.8589336829537906,0.9113625941147965,0.790640668127503,1.0,0.8089304257528557,0.9106957424714435,19,mESC
mHSP90,0.744916,0.99022,0.88800335,0.97968733,0.9229338,0.93900985,0.8183329387339041,0.8778309430858331,0.7767979792274111,0.9999999999999999,0.7907692307692307,0.8728205128205127,20,mESC
mMTAP,1.0,0.953699,0.24288061,0.6371193,0.90121657,0.91813517,0.879897041049547,0.9247544553252531,0.8095292691219084,1.0,0.7775590551181102,0.9025590551181102,21,mESC
mRNASE1,0.96355,0.93597513,0.99999994,0.99184215,0.85626835,0.99068934,0.8244441228338151,0.9624568772469819,0.7988698418344748,1.0,0.8419936373276773,0.9819724284199364,22,mESC
mFABP4,0.95009965,0.95702887,0.79177344,0.8821565,0.8687738,0.94516474,0.8321305188513843,0.8982658321231917,0.7800366597619259,1.0,0.7893081761006291,0.8983228511530399,24,mESC
mMettl14-sg2,0.8363463,0.9356633,0.8947116,0.42733404,0.83390385,0.9152011,0.8007683494913269,0.8351324785256042,0.6790735712498439,0.9999999999999999,0.7174329501915708,0.9137931034482759,27,mESC
mSorl1,0.7679232,0.805938,0.6921308,0.5472641,0.6283632,0.8188249,0.7297338520161991,0.8335620270028646,0.6286065272691361,1.0,0.7367303609341826,0.7590233545647559,28,mESC
mHV5-sg7,0.855108,0.95909995,1.0,0.9062308,0.89259946,0.9466426,0.9048180999406172,0.9659944691568602,0.8338771862123963,1.0000000000000002,0.8231083844580778,0.9222903885480571,29,mESC
mKat2a,0.87137806,0.97691566,0.91563874,0.78052014,0.92055637,0.9628407,0.9003361709352012,0.9149011541304815,0.7786176607828987,1.0,0.865528281750267,0.9413020277481328,30,mESC
mMettl14-sg1,0.9155895,0.9352171,0.8159672,0.74826145,0.84232914,0.93565637,0.8399301633054127,0.8608960108886565,0.8324658083752063,1.0,0.7921291624621595,0.8910191725529768,31,mESC
mCD74,0.9755306,0.9513012,1.0,0.9760902,0.869388,0.98384845,0.8997829216750965,0.9551400774028614,0.8293760239116473,1.0000000000000002,0.8333333333333335,0.9755838641188961,32,mESC
mAdgre1,1.0,0.92787534,0.13959235,0.31920874,0.7750456,0.8143412,0.7333775303092589,0.896955304505183,0.7131559331492257,1.0,0.7793103448275862,0.7586206896551724,35,mESC
mIL7,0.92740005,0.9771259,0.6918,0.9371351,0.92494446,0.95639634,0.9346391025364844,0.8475849611392179,0.8709421046922577,1.0000000000000002,0.8818565400843881,0.9156118143459914,37,mESC
mSlc7a10,0.9591836,0.8817213,0.9112425,0.9104329,0.8417169,0.96436036,0.9077242640160594,0.8383696542063561,0.7112128039982428,0.9999999999999999,0.8456725755995829,0.9447340980187694,39,mESC
mPDL1,0.99769807,0.97232217,0.89201736,0.9412596,0.9084261,0.9713729,0.9436458455925155,0.9351933633855373,0.8609388219950136,1.0,0.8016877637130804,0.9335443037974684,40,mESC
mGM-sg2,1.0,0.95212746,1.0,0.77329195,0.86377066,0.95087713,0.8587071796617384,0.9168292110510506,0.8202773946451235,1.0,0.8045977011494254,0.9111807732497388,41,mESC
mCTNNB1,0.89537036,0.96322155,0.93382436,0.981024,0.87869817,0.98566985,0.8650281748568737,0.9775064352336952,0.884948004324586,1.0000000000000002,0.8195329087048832,0.978768577494692,42,mESC
mIL2rg,1.0000001,0.9749475,0.9318572,0.8727045,0.8730585,0.92549205,0.8881879151994686,0.9199461189191271,0.8347201255325306,0.9999999999999999,0.8317853457172343,0.9060887512899898,43,mESC
mRag1,0.81515515,0.9693552,0.61027116,0.7151781,0.9364752,0.85410213,0.929534263154834,0.9291590054922166,0.8492368310619601,1.0,0.8993710691823898,0.762054507337526,44,mESC
mH2AB1-sg2,0.8219543,0.92061126,0.95086706,0.89935577,0.8669598,0.98920435,0.8972077555675112,0.9893554051307326,0.747132521800066,1.0,0.7539432176656152,0.9684542586750791,45,mESC
