,variable,value,model
0,Major(0.25) event recall,0.0,pretrained
1,Major(0.25) event recall,1.0,pretrained
2,Major(0.25) event recall,1.0,pretrained
3,Major(0.25) event recall,0.0,pretrained
4,Major(0.25) event recall,0.0,pretrained
5,Major(0.25) event recall,0.0,pretrained
6,Major(0.25) event recall,1.0,pretrained
7,Major(0.25) event recall,1.0,pretrained
8,Major(0.25) event recall,0.0,pretrained
9,Top1 event recall,0.0,pretrained
10,Top1 event recall,1.0,pretrained
11,Top1 event recall,1.0,pretrained
12,Top1 event recall,0.0,pretrained
13,Top1 event recall,0.0,pretrained
14,Top1 event recall,0.0,pretrained
15,Top1 event recall,1.0,pretrained
16,Top1 event recall,1.0,pretrained
17,Top1 event recall,0.0,pretrained
18,abs frameshift error,0.5235040291311179,pretrained
19,abs frameshift error,0.1385112354928424,pretrained
20,abs frameshift error,0.11581807951642986,pretrained
21,abs frameshift error,0.039790423484191706,pretrained
22,abs frameshift error,0.04971592478841558,pretrained
23,abs frameshift error,0.1293878712967853,pretrained
24,abs frameshift error,0.13193559746559913,pretrained
25,abs frameshift error,0.0698334369362783,pretrained
26,abs frameshift error,0.14103363502908906,pretrained
27,KLD_IDL,1.508858323097229,pretrained
28,KLD_IDL,0.8559861779212952,pretrained
29,KLD_IDL,1.0100135803222656,pretrained
30,KLD_IDL,0.764869749546051,pretrained
31,KLD_IDL,0.9677804112434387,pretrained
32,KLD_IDL,0.5976172685623169,pretrained
33,KLD_IDL,0.9595009684562683,pretrained
34,KLD_IDL,0.45706796646118164,pretrained
35,KLD_IDL,1.00556218624115,pretrained
36,Major(0.25) event recall,1.0,fewshot
37,Major(0.25) event recall,1.0,fewshot
38,Major(0.25) event recall,1.0,fewshot
39,Major(0.25) event recall,0.5,fewshot
40,Major(0.25) event recall,0.5,fewshot
41,Major(0.25) event recall,1.0,fewshot
42,Major(0.25) event recall,1.0,fewshot
43,Major(0.25) event recall,1.0,fewshot
44,Major(0.25) event recall,0.5,fewshot
45,Top1 event recall,1.0,fewshot
46,Top1 event recall,1.0,fewshot
47,Top1 event recall,1.0,fewshot
48,Top1 event recall,0.0,fewshot
49,Top1 event recall,1.0,fewshot
50,Top1 event recall,1.0,fewshot
51,Top1 event recall,1.0,fewshot
52,Top1 event recall,1.0,fewshot
53,Top1 event recall,1.0,fewshot
54,abs frameshift error,0.3260210613837202,fewshot
55,abs frameshift error,0.052819288205682824,fewshot
56,abs frameshift error,0.05339239411870267,fewshot
57,abs frameshift error,0.02942201219195084,fewshot
58,abs frameshift error,0.022831856784499394,fewshot
59,abs frameshift error,0.08405761781335741,fewshot
60,abs frameshift error,0.052377725045545276,fewshot
61,abs frameshift error,0.012173826733445914,fewshot
62,abs frameshift error,0.17799194820747744,fewshot
63,KLD_IDL,1.1539452075958252,fewshot
64,KLD_IDL,0.5790613293647766,fewshot
65,KLD_IDL,0.2138068526983261,fewshot
66,KLD_IDL,0.5493319630622864,fewshot
67,KLD_IDL,0.5137360692024231,fewshot
68,KLD_IDL,0.4648416042327881,fewshot
69,KLD_IDL,0.39617061614990234,fewshot
70,KLD_IDL,0.8580303192138672,fewshot
