folder,num,files
mSlc7a10_20250110,18,"[('mSlc7a10_20250110---SLC-5_embryo-editing-data.csv', 0.9178512749588598), ('mSlc7a10_20250110---SLC-9_embryo-editing-data.csv', 0.9886475507314572), ('mSlc7a10_20250110---SLC-4_embryo-editing-data.csv', 0.996678299395788), ('mSlc7a10_20250110---SLC-8_embryo-editing-data.csv', 0.953547042362794), ('mSlc7a10_20250110---SLC-13_embryo-editing-data.csv', 0.9302826306284496), ('mSlc7a10_20250110---SLC-16_embryo-editing-data.csv', 0.9974535282553668), ('mSlc7a10_20250110---SLC-11_embryo-editing-data.csv', 0.9947445493466062), ('mSlc7a10_20250110---SLC-17_embryo-editing-data.csv', 0.0861318063887645), ('mSlc7a10_20250110---SLC-6_embryo-editing-data.csv', 0.9656160045214648), ('mSlc7a10_20250110---SLC-2_embryo-editing-data.csv', 0.9614589563560352), ('mSlc7a10_20250110---SLC-18_embryo-editing-data.csv', 0.9477057458595456), ('mSlc7a10_20250110---SLC-7_embryo-editing-data.csv', 0.9870368059768868), ('mSlc7a10_20250110---SLC-14_embryo-editing-data.csv', 0.9420772301322028), ('mSlc7a10_20250110---SLC-3_embryo-editing-data.csv', 0.9644523919558974), ('mSlc7a10_20250110---SLC-12_embryo-editing-data.csv', 0.9364901235520626), ('mSlc7a10_20250110---SLC-10_embryo-editing-data.csv', 0.9634389788646978), ('mSlc7a10_20250110---SLC-1_embryo-editing-data.csv', 0.9969824879795042), ('mSlc7a10_20250110---SLC-15_embryo-editing-data.csv', 0.9459652867502264)]"
mSRY_20240513,1,"[('mSRY_20240513---Sry-edited-embryonic-data.csv', 0.9956965863788269)]"
mSTARD10_20241211,2,"[('mSTARD10_20241211---mSTARD10-2-embryo-editing-data.csv', 0.5721735289492196), ('mSTARD10_20241211---mSTARD10-1-embryo-editing-data.csv', 0.6695270406689391)]"
cRAG2_20241127,1,"[('cRAG2_20241127---CRAG2-SF-embryo-editing-data.csv', 0.7377496860968596)]"
mAdam6_20220803R,3,"[('mAdam6_20220803R---Adam6KO-1__Z220801-0388-Adam6-R__A04_2208002025G.csv', 0.9577684104502332), ('mAdam6_20220803R---Adam6KO-2__Z220801-0388-Adam6-R__B04_2208002026G.csv', 0.95999839651356), ('mAdam6_20220803R---Adam6KO-4__Z220801-0388-Adam6-R__D04_2208002028G.csv', 0.6918844647299075)]"
sSOCS2-sg83_20240812R,1,"[('sSOCS2-sg83_20240812R---12-F.csv', 0.9676951672883042)]"
mTPO_20240601,1,"[('mTPO_20240601---TPO-embryonic-data-repeat.csv', 0.7481661642414946)]"
mSTARD10_20241217,11,"[('mSTARD10_20241217---STARD10-14_embryo-editing-data.csv', 0.956634193654911), ('mSTARD10_20241217---STARD10-5_embryo-editing-data.csv', 0.8837546312220012), ('mSTARD10_20241217---STARD10-6_embryo-editing-data.csv', 0.9999999432206804), ('mSTARD10_20241217---STARD10-12_embryo-editing-data.csv', 0.9999756565704686), ('mSTARD10_20241217---STARD10-4_embryo-editing-data.csv', 0.998624695329992), ('mSTARD10_20241217---STARD10-13_embryo-editing-data.csv', 0.9260176255830648), ('mSTARD10_20241217---STARD10-10_embryo-editing-data.csv', 0.9999999999999992), ('mSTARD10_20241217---STARD10-1_embryo-editing-data.csv', 0.8940889179214655), ('mSTARD10_20241217---STARD10-2_embryo-editing-data.csv', 0.7852995226945666), ('mSTARD10_20241217---STARD10-11_embryo-editing-data.csv', 0.9796718472929352), ('mSTARD10_20241217---STARD10-7_embryo-editing-data.csv', 0.8633671854897341)]"
mEPHA2_20240425,1,"[('mEPHA2_20240425---EPHA2_embryonic_edited_data_Apr25.csv', 0.9981490706656708)]"
mIL2rg_20231112,7,"[('mIL2rg_20231112---IL2g-4.csv', 0.998833132142154), ('mIL2rg_20231112---IL2g-5.csv', 0.9986014833803551), ('mIL2rg_20231112---IL2g-1.csv', 0.9987771173305078), ('mIL2rg_20231112---IL2g-9.csv', 0.9516824636475982), ('mIL2rg_20231112---IL2g-2.csv', 0.9985418689933226), ('mIL2rg_20231112---IL2g-6.csv', 0.9988164600843152), ('mIL2rg_20231112---IL2g-8.csv', 0.998806113280893)]"
mAdam6_20220816M,12,"[('mAdam6_20220816M---Adam6KO-10__Z220801-0857-Adam6-M__B05_2208005936G.csv', 0.999532437463478), ('mAdam6_20220816M---Adam6KO-1__Z220801-0857-Adam6-M__A02_2208005941G.csv', 0.9731329287659032), ('mAdam6_20220816M---Adam6KO-9__Z220801-0857-Adam6-M__A05_2208005935G.csv', 0.9327744148097984), ('mAdam6_20220816M---Adam6KO-3__Z220801-0857-Adam6-M__C02_2208005943G.csv', 0.967927834910436), ('mAdam6_20220816M---Adam6KO-8__Z220801-0857-Adam6-M__H02_2208005948G.csv', 0.9790449519511814), ('mAdam6_20220816M---Adam6KO-B1__Z220801-0857-Adam6-M__C05_2208005937G.csv', 0.8433984735678801), ('mAdam6_20220816M---Adam6KO-B2__Z220801-0857-Adam6-M__D05_2208005938G.csv', 0.948754485289106), ('mAdam6_20220816M---Adam6KO-6__Z220801-0857-Adam6-M__F02_2208005946G.csv', 0.9961949518508632), ('mAdam6_20220816M---Adam6KO-7__Z220801-0857-Adam6-M__G02_2208005947G.csv', 0.9929127682512664), ('mAdam6_20220816M---Adam6KO-5__Z220801-0857-Adam6-M__E02_2208005945G.csv', 0.2981695926288691), ('mAdam6_20220816M---Adam6KO-4__Z220801-0857-Adam6-M__D02_2208005944G.csv', 0.9995131419426722), ('mAdam6_20220816M---Adam6KO-2__Z220801-0857-Adam6-M__B02_2208005942G.csv', 0.972457469242586)]"
mIL7_20240428,1,"[('mIL7_20240428---IL7_embryo.csv', 0.9735749730780534)]"
mH2D1-sg2_20220412R,5,"[('mH2D1-sg2_20220412R---H2D1-sg2-6__Z220401-0546-H2D1sgR1__C01_2204003784G.csv', 0.8931817973195382), ('mH2D1-sg2_20220412R---H2D1-sg2-4__Z220401-0546-H2D1sgR1__G12_2204003782G.csv', 0.87764616092696), ('mH2D1-sg2_20220412R---H2D1-sg2-5__Z220401-0546-H2D1sgR1__B01_2204003783G.csv', 0.7581103972440414), ('mH2D1-sg2_20220412R---H2D1-sg2-3__Z220401-0546-H2D1sgR1__F12_2204003781G.csv', 0.8074406803400422), ('mH2D1-sg2_20220412R---H2D1-sg2-7__Z220401-0546-H2D1sgR1__D01_2204003785G.csv', 0.7997430578169897)]"
