,Identifier,drop,count,ratio
0,I1_L-3C2R0,-,102,9.883720930232558
1,D4_L-4C2R3,-,74,7.170542635658915
2,D10_L-11C2R2,-,51,4.941860465116279
3,D1_L-1R1,-,40,3.875968992248062
4,D22_L-19C5R9,-,33,3.1976744186046515
5,D1_L-3C1R0,-,23,2.2286821705426356
6,I1_L-1C1R1,-,23,2.2286821705426356
7,D2_L-3R0,-,22,2.131782945736434
8,D21_L-16C4R10,-,19,1.8410852713178296
9,D2_L-1R2,-,17,1.6472868217054266
10,D30_L-3C3R31,-,14,1.3565891472868217
11,D3_L-2C1R3,-,13,1.2596899224806202
12,D28_L-30C3R2,-,12,1.1627906976744187
13,D6_L-1C1R7,-,11,1.065891472868217
14,D7_L-8C1R1,-,11,1.065891472868217
15,D4_L-1R4,-,11,1.065891472868217
16,I1_L-1R0,-,10,0.9689922480620154
17,D4_L-6C1R0,-,9,0.872093023255814
18,D5_L-1R5,-,9,0.872093023255814
19,D7_L-1C1R8,-,8,0.7751937984496124
20,D25_L-26C2R2,-,8,0.7751937984496124
21,D6_L-4C1R4,-,8,0.7751937984496124
22,D3_L-4R0,-,8,0.7751937984496124
23,D18_L-7C3R15,-,8,0.7751937984496124
24,D5_L-6R0,-,7,0.6782945736434108
25,D13_L-14C2R2,-,7,0.6782945736434108
26,D18_L-11C2R10,-,7,0.6782945736434108
27,D8_L-1C2R10,-,6,0.5813953488372093
28,D12_L-2C1R12,-,6,0.5813953488372093
29,D17_L-9C2R11,-,5,0.4844961240310077
30,D10_L-1C1R11,-,5,0.4844961240310077
31,D25_L-22C2R6,-,5,0.4844961240310077
32,D29_L-10C3R23,-,5,0.4844961240310077
33,D21_L-4C2R20,-,5,0.4844961240310077
34,D16_L-12C2R7,-,5,0.4844961240310077
35,D12_L-4C1R10,-,5,0.4844961240310077
36,D17_L-3C2R17,-,5,0.4844961240310077
37,D15_L-13C2R5,-,5,0.4844961240310077
38,D6_L-7R0,-,5,0.4844961240310077
39,D14_L-2C1R14,-,5,0.4844961240310077
40,D11_L-12R0,-,4,0.3875968992248062
41,D9_L-1R9,-,4,0.3875968992248062
42,D27_L-4C2R26,-,4,0.3875968992248062
43,D7_L-6C1R3,-,4,0.3875968992248062
44,D26_L-23C2R6,-,4,0.3875968992248062
45,D16_L-6C2R13,-,4,0.3875968992248062
46,D9_L-9C1R2,-,4,0.3875968992248062
47,D8_L-5C1R5,-,4,0.3875968992248062
48,D23_L-17C2R9,-,4,0.3875968992248062
49,D12_L-13R0,-,4,0.3875968992248062
50,D10_L-7C1R5,-,4,0.3875968992248062
51,I2_L-3C2R0,-,3,0.29069767441860467
52,D2_L-2R1,-,3,0.29069767441860467
53,D9_L-5C1R6,-,3,0.29069767441860467
54,D8_L-9R0,-,3,0.29069767441860467
55,D11_L-1R11,-,3,0.29069767441860467
56,I2_L-2C2R1,-,3,0.29069767441860467
57,D15_L-3C1R14,-,3,0.29069767441860467
58,I2_L-1C1R1,-,3,0.29069767441860467
59,D20_L-7C2R16,-,3,0.29069767441860467
60,D11_L-9C1R4,-,3,0.29069767441860467
61,D12_L-10C1R4,-,3,0.29069767441860467
62,I2_L-1C2R2,-,3,0.29069767441860467
63,I2_L-2C1R0,-,3,0.29069767441860467
64,D30_L-20C2R13,-,3,0.29069767441860467
65,I2_L-1R0,-,3,0.29069767441860467
66,D3_L-3R1,-,3,0.29069767441860467
67,D11_L-7C1R6,-,3,0.29069767441860467
68,D9_L-10R0,-,3,0.29069767441860467
69,D14_L-15C1R1,-,3,0.29069767441860467
70,D26_L-27C1R1,-,3,0.29069767441860467
71,D20_L-15C2R8,-,2,0.1937984496124031
72,D13_L-3C1R12,-,2,0.1937984496124031
73,D6_L-2R5,-,2,0.1937984496124031
74,D30_L-6C2R27,-,2,0.1937984496124031
75,D20_L-4C1R18,-,2,0.1937984496124031
76,D23_L-24C1R1,-,2,0.1937984496124031
77,D18_L-3C1R17,-,2,0.1937984496124031
78,D13_L-1R13,-,2,0.1937984496124031
79,D27_L-1R27,-,2,0.1937984496124031
80,D24_L-2C1R24,-,2,0.1937984496124031
81,D15_L-16C1R1,-,2,0.1937984496124031
82,D16_L-17C1R1,-,2,0.1937984496124031
83,D26_L-10C2R19,-,2,0.1937984496124031
84,D21_L-1R21,-,2,0.1937984496124031
85,D23_L-12C1R13,-,2,0.1937984496124031
86,D5_L-5R1,-,2,0.1937984496124031
87,D22_L-1C1R23,-,2,0.1937984496124031
88,D23_L-1R23,-,2,0.1937984496124031
89,D23_L-19C1R6,-,2,0.1937984496124031
90,D20_L-2C1R20,-,2,0.1937984496124031
91,D23_L-14C1R11,-,2,0.1937984496124031
92,D8_L-3R6,-,2,0.1937984496124031
93,D7_L-3R5,-,2,0.1937984496124031
94,D17_L-11C1R8,-,2,0.1937984496124031
95,D24_L-4C1R22,-,2,0.1937984496124031
96,D21_L-18C1R5,-,2,0.1937984496124031
97,D6_L-6R1,-,2,0.1937984496124031
