,Identifier,drop,count,ratio
0,D4_L-5C5R5,-,682,71.78947368421052
1,D1_L-2C1R1,-,65,6.842105263157896
2,D7_L-7C3R4,-,24,2.526315789473684
3,D21_L-20C4R6,-,10,1.0526315789473684
4,D2_L-3R0,-,9,0.9473684210526316
5,D22_L-19C4R8,-,9,0.9473684210526316
6,D6_L-2C3R8,-,7,0.7368421052631579
7,D10_L-5C2R8,-,7,0.7368421052631579
8,D5_L-2C2R6,-,5,0.5263157894736842
9,D16_L-18C3R2,-,5,0.5263157894736842
10,D2_L-1R2,-,5,0.5263157894736842
11,I1_L-2C2R1,-,4,0.42105263157894735
12,D15_L-4C2R14,-,4,0.42105263157894735
13,D11_L-2C1R11,-,4,0.42105263157894735
14,D3_L-7C3R0,-,4,0.42105263157894735
15,D22_L-13C3R13,-,4,0.42105263157894735
16,D6_L-7R0,-,3,0.3157894736842105
17,D12_L-13C1R1,-,3,0.3157894736842105
18,D7_L-8R0,-,3,0.3157894736842105
19,D18_L-8C3R14,-,3,0.3157894736842105
20,D30_L-16C4R19,-,3,0.3157894736842105
21,D7_L-2C1R7,-,3,0.3157894736842105
22,D17_L-11C3R10,-,3,0.3157894736842105
23,D5_L-6R0,-,2,0.21052631578947367
24,D3_L-1C1R4,-,2,0.21052631578947367
25,I1_L-1R0,-,2,0.21052631578947367
26,D23_L-10C3R17,-,2,0.21052631578947367
27,D11_L-4C1R9,-,2,0.21052631578947367
28,D19_L-3C2R19,-,2,0.21052631578947367
29,D17_L-20C3R1,-,2,0.21052631578947367
30,D11_L-14C2R0,-,1,0.10526315789473684
31,D15_L-14C2R4,-,1,0.10526315789473684
32,D12_L-4C1R10,-,1,0.10526315789473684
33,D29_L-30C1R1,-,1,0.10526315789473684
34,D18_L-11C2R10,-,1,0.10526315789473684
35,D23_L-19C2R7,-,1,0.10526315789473684
36,D11_L-11C1R2,-,1,0.10526315789473684
37,D10_L-11R0,-,1,0.10526315789473684
38,D2_L-2R1,-,1,0.10526315789473684
39,D8_L-9R0,-,1,0.10526315789473684
40,D12_L-1R12,-,1,0.10526315789473684
41,D25_L-26C1R1,-,1,0.10526315789473684
42,D8_L-1R8,-,1,0.10526315789473684
43,D10_L-1C1R11,-,1,0.10526315789473684
44,D9_L-10R0,-,1,0.10526315789473684
45,D9_L-9C1R2,-,1,0.10526315789473684
46,D9_L-5C1R6,-,1,0.10526315789473684
47,D16_L-10C2R9,-,1,0.10526315789473684
48,D3_L-3R1,-,1,0.10526315789473684
49,D18_L-19C1R1,-,1,0.10526315789473684
50,D8_L-5C1R5,-,1,0.10526315789473684
51,D9_L-1R9,-,1,0.10526315789473684
52,D24_L-11C2R16,-,1,0.10526315789473684
53,D10_L-10C1R2,-,1,0.10526315789473684
54,D22_L-6C2R19,-,1,0.10526315789473684
55,D20_L-18C2R5,-,1,0.10526315789473684
56,D15_L-7C1R10,-,1,0.10526315789473684
57,D24_L-16C1R10,-,1,0.10526315789473684
58,D14_L-5C1R11,-,1,0.10526315789473684
59,D14_L-1R14,-,1,0.10526315789473684
60,D23_L-16C1R9,-,1,0.10526315789473684
61,D17_L-4C1R15,-,1,0.10526315789473684
62,D18_L-4C1R16,-,1,0.10526315789473684
63,D25_L-15C1R12,-,1,0.10526315789473684
64,D26_L-17C1R11,-,1,0.10526315789473684
65,D27_L-18C1R11,-,1,0.10526315789473684
66,D30_L-8C2R25,-,1,0.10526315789473684
67,D17_L-13C1R6,-,1,0.10526315789473684
68,D13_L-1R13,-,1,0.10526315789473684
69,D28_L-19C1R11,-,1,0.10526315789473684
70,D28_L-9C2R22,-,1,0.10526315789473684
71,I2_L-1R0,-,1,0.10526315789473684
72,D24_L-3C1R23,-,1,0.10526315789473684
73,D30_L-34C3R0,-,1,0.10526315789473684
74,D21_L-3C1R20,-,1,0.10526315789473684
75,D30_L-26C1R6,-,1,0.10526315789473684
76,D7_L-3R5,-,1,0.10526315789473684
77,D18_L-13C1R7,-,1,0.10526315789473684
78,D27_L-16C1R13,-,1,0.10526315789473684
79,D26_L-1R26,-,1,0.10526315789473684
80,D5_L-4R2,-,1,0.10526315789473684
81,D6_L-3R4,-,1,0.10526315789473684
82,D3_L-2R2,-,1,0.10526315789473684
83,I2_L-1C2R2,-,1,0.10526315789473684
84,I2_L-2C1R0,-,1,0.10526315789473684
85,D26_L-14C1R14,-,1,0.10526315789473684
86,I2_L-3C2R0,-,1,0.10526315789473684
87,D27_L-1R27,-,1,0.10526315789473684
88,D26_L-27R0,-,1,0.10526315789473684
89,I2_L-1C1R1,-,1,0.10526315789473684
90,D5_L-5R1,-,1,0.10526315789473684
91,D21_L-10C1R13,-,1,0.10526315789473684
92,D21_L-22R0,-,1,0.10526315789473684
93,D18_L-1C1R19,-,1,0.10526315789473684
94,D19_L-20R0,-,1,0.10526315789473684
95,D19_L-11C1R10,-,1,0.10526315789473684
96,I2_L-2C2R1,-,1,0.10526315789473684
