,Identifier,drop,count,ratio
0,D7_L-4C4R8,-,166,17.40041928721174
1,D1_L-2C1R1,-,138,14.465408805031446
2,I1_L-2C2R1,-,80,8.385744234800839
3,D12_L-12C3R4,-,42,4.40251572327044
4,D8_L-6C3R6,-,38,3.9832285115303985
5,D2_L-1R2,-,27,2.8301886792452833
6,D2_L-3R0,-,20,2.0964360587002098
7,D8_L-2C1R8,-,13,1.3626834381551363
8,D3_L-4R0,-,12,1.257861635220126
9,D18_L-9C4R14,-,11,1.1530398322851152
10,D6_L-7R0,-,9,0.9433962264150944
11,D3_L-1R3,-,9,0.9433962264150944
12,D10_L-8C2R5,-,9,0.9433962264150944
13,D5_L-6R0,-,9,0.9433962264150944
14,D23_L-3C3R24,-,8,0.8385744234800839
15,I1_L-1R0,-,8,0.8385744234800839
16,D4_L-5R0,-,8,0.8385744234800839
17,D5_L-1R5,-,8,0.8385744234800839
18,D4_L-1R4,-,7,0.7337526205450734
19,D19_L-11C3R12,-,7,0.7337526205450734
20,D6_L-1C1R7,-,7,0.7337526205450734
21,D26_L-27C2R2,-,6,0.628930817610063
22,D29_L-19C3R14,-,6,0.628930817610063
23,D20_L-13C2R10,-,6,0.628930817610063
24,D20_L-16C2R7,-,5,0.5241090146750524
25,D6_L-3C1R5,-,5,0.5241090146750524
26,D7_L-8R0,-,4,0.41928721174004197
27,D2_L-2R1,-,4,0.41928721174004197
28,D23_L-21C2R5,-,4,0.41928721174004197
29,D25_L-2C3R27,-,4,0.41928721174004197
30,D21_L-23C2R1,-,4,0.41928721174004197
31,D21_L-19C2R5,-,4,0.41928721174004197
32,D12_L-13R0,-,4,0.41928721174004197
33,D10_L-3C1R9,-,4,0.41928721174004197
34,D24_L-14C2R13,-,4,0.41928721174004197
35,D9_L-1R9,-,3,0.3144654088050315
36,D11_L-4C1R9,-,3,0.3144654088050315
37,D16_L-14C2R5,-,3,0.3144654088050315
38,D27_L-17C2R13,-,3,0.3144654088050315
39,D19_L-17C2R5,-,3,0.3144654088050315
40,D10_L-1R10,-,3,0.3144654088050315
41,D3_L-3R1,-,3,0.3144654088050315
