,Identifier,drop,count,ratio
0,D1_L-2C1R1,-,160,16.718913270637408
1,D8_L-4C3R8,-,109,11.389759665621735
2,I1_L-2C2R1,-,71,7.41901776384535
3,D7_L-4C2R6,-,45,4.702194357366771
4,D2_L-3R0,-,44,4.597701149425287
5,D11_L-13C3R2,-,40,4.179728317659352
6,D2_L-1R2,-,23,2.4033437826541273
7,D5_L-6C1R1,-,23,2.4033437826541273
8,D3_L-4R0,-,16,1.671891327063741
9,D4_L-2C1R4,-,12,1.2539184952978055
10,D12_L-11C2R4,-,11,1.1494252873563218
11,D12_L-13C1R1,-,10,1.044932079414838
12,D6_L-7R0,-,9,0.9404388714733543
13,D4_L-6C1R0,-,9,0.9404388714733543
14,D3_L-1C1R4,-,8,0.8359456635318705
15,D8_L-10C2R1,-,8,0.8359456635318705
16,D13_L-3C2R13,-,8,0.8359456635318705
17,D9_L-10C1R1,-,7,0.7314524555903866
18,D14_L-5C2R12,-,7,0.7314524555903866
19,D5_L-1R5,-,6,0.6269592476489028
20,D6_L-1R6,-,6,0.6269592476489028
21,I1_L-1R0,-,6,0.6269592476489028
22,D6_L-3C1R5,-,6,0.6269592476489028
23,D30_L-31C2R2,-,6,0.6269592476489028
24,D7_L-1C1R8,-,5,0.522466039707419
25,D15_L-14C2R4,-,4,0.41797283176593525
26,D27_L-15C2R15,-,4,0.41797283176593525
27,D3_L-3R1,-,4,0.41797283176593525
28,D20_L-9C2R14,-,4,0.41797283176593525
29,D29_L-23C2R9,-,4,0.41797283176593525
30,D3_L-2R2,-,4,0.41797283176593525
31,D2_L-2R1,-,4,0.41797283176593525
32,D28_L-20C2R11,-,4,0.41797283176593525
33,D19_L-17C2R5,-,4,0.41797283176593525
34,D12_L-1C1R13,-,4,0.41797283176593525
35,D23_L-17C2R9,-,4,0.41797283176593525
36,D9_L-4C1R7,-,4,0.41797283176593525
37,D25_L-23C2R5,-,4,0.41797283176593525
38,D4_L-3R2,-,4,0.41797283176593525
39,D28_L-26C2R5,-,3,0.3134796238244514
40,D9_L-1R9,-,3,0.3134796238244514
41,D30_L-4C2R29,-,3,0.3134796238244514
42,D10_L-3C1R9,-,3,0.3134796238244514
43,D11_L-4C1R9,-,3,0.3134796238244514
44,D17_L-6C2R14,-,3,0.3134796238244514
45,D22_L-5C2R20,-,3,0.3134796238244514
46,D7_L-9C1R0,-,3,0.3134796238244514
47,D24_L-5C2R22,-,3,0.3134796238244514
48,D11_L-1R11,-,3,0.3134796238244514
49,D10_L-1R10,-,3,0.3134796238244514
50,D8_L-6C1R4,-,3,0.3134796238244514
51,D24_L-2C1R24,-,3,0.3134796238244514
52,D6_L-6R1,-,2,0.20898641588296762
53,D4_L-4R1,-,2,0.20898641588296762
54,D10_L-12C1R0,-,2,0.20898641588296762
55,D22_L-23C1R1,-,2,0.20898641588296762
56,D5_L-4R2,-,2,0.20898641588296762
57,D5_L-3R3,-,2,0.20898641588296762
58,D19_L-11C1R10,-,2,0.20898641588296762
59,D14_L-1R14,-,2,0.20898641588296762
60,D16_L-17C1R1,-,2,0.20898641588296762
61,D11_L-9C1R4,-,2,0.20898641588296762
62,D30_L-1C3R33,-,2,0.20898641588296762
63,D25_L-26C1R1,-,2,0.20898641588296762
64,D6_L-5R2,-,2,0.20898641588296762
65,D22_L-14C1R10,-,2,0.20898641588296762
66,I2_L-2C2R1,-,2,0.20898641588296762
67,D12_L-6C1R8,-,2,0.20898641588296762
68,D28_L-17C1R13,-,2,0.20898641588296762
69,D29_L-15C2R17,-,2,0.20898641588296762
70,D28_L-7C2R24,-,2,0.20898641588296762
71,D29_L-25C1R6,-,2,0.20898641588296762
72,D19_L-7C1R14,-,2,0.20898641588296762
73,D24_L-13C1R13,-,2,0.20898641588296762
74,D27_L-2C1R27,-,2,0.20898641588296762
75,D21_L-10C1R13,-,2,0.20898641588296762
76,D17_L-8C1R11,-,2,0.20898641588296762
77,D23_L-12C1R13,-,2,0.20898641588296762
78,I2_L-2C1R0,-,2,0.20898641588296762
79,D23_L-3C1R22,-,2,0.20898641588296762
80,D30_L-18C1R14,-,2,0.20898641588296762
81,D6_L-4R3,-,2,0.20898641588296762
82,D7_L-6R2,-,2,0.20898641588296762
83,I2_L-1C1R1,-,1,0.10449320794148381
84,D24_L-11C1R15,-,1,0.10449320794148381
