,Identifier,drop,count,ratio
0,D5_L-6C3R3,-,333,35.31283138918346
1,D4_L-5C2R2,-,114,12.089077412513255
2,D2_L-1C1R3,-,38,4.029692470837752
3,D1_L-2R0,-,29,3.0752916224814424
4,D1_L-1C2R3,-,25,2.651113467656416
5,D3_L-4C1R1,-,21,2.2269353128313893
6,D14_L-4C3R14,-,21,2.2269353128313893
7,D6_L-6C2R3,-,20,2.1208907741251326
8,D5_L-2C1R5,-,16,1.6967126193001063
9,D2_L-3R0,-,16,1.6967126193001063
10,D6_L-2C1R6,-,13,1.378579003181336
11,D25_L-16C4R14,-,12,1.2725344644750796
12,D3_L-1R3,-,11,1.166489925768823
13,D11_L-2C2R12,-,10,1.0604453870625663
14,D13_L-12C3R5,-,10,1.0604453870625663
15,D6_L-7R0,-,8,0.8483563096500532
16,D11_L-15C4R1,-,8,0.8483563096500532
17,D10_L-2C1R10,-,6,0.6362672322375398
18,D7_L-2C1R7,-,6,0.6362672322375398
19,D30_L-20C3R14,-,5,0.5302226935312832
20,D4_L-1R4,-,5,0.5302226935312832
21,I1_L-2C1R0,-,5,0.5302226935312832
22,D7_L-8R0,-,5,0.5302226935312832
23,I1_L-1R0,-,4,0.4241781548250266
24,D14_L-17C3R1,-,4,0.4241781548250266
25,D18_L-11C2R10,-,3,0.3181336161187699
26,D29_L-2C2R30,-,3,0.3181336161187699
27,D26_L-2C2R27,-,3,0.3181336161187699
28,D21_L-6C3R19,-,3,0.3181336161187699
29,D22_L-13C2R12,-,3,0.3181336161187699
30,D15_L-2C1R15,-,3,0.3181336161187699
31,D15_L-10C2R8,-,3,0.3181336161187699
32,D9_L-1R9,-,3,0.3181336161187699
33,D8_L-10C1R0,-,3,0.3181336161187699
34,D12_L-1R12,-,3,0.3181336161187699
35,D28_L-30C2R1,-,3,0.3181336161187699
36,D8_L-1R8,-,3,0.3181336161187699
37,D28_L-17C2R14,-,3,0.3181336161187699
38,D12_L-13R0,-,2,0.2120890774125133
39,D10_L-11R0,-,2,0.2120890774125133
40,D7_L-6C1R3,-,2,0.2120890774125133
41,D19_L-20C1R1,-,2,0.2120890774125133
42,D9_L-10R0,-,2,0.2120890774125133
43,D16_L-1C4R20,-,2,0.2120890774125133
44,D12_L-12C1R2,-,2,0.2120890774125133
45,D26_L-7C3R23,-,2,0.2120890774125133
46,D3_L-2R2,-,2,0.2120890774125133
47,I1_L-1C3R3,-,2,0.2120890774125133
48,D22_L-23C1R1,-,2,0.2120890774125133
49,D21_L-1C2R23,-,2,0.2120890774125133
50,D2_L-2R1,-,2,0.2120890774125133
51,D17_L-1C2R19,-,2,0.2120890774125133
52,D16_L-20C3R0,-,2,0.2120890774125133
53,D23_L-10C2R16,-,2,0.2120890774125133
54,D19_L-1R19,-,2,0.2120890774125133
55,D20_L-5C2R18,-,2,0.2120890774125133
56,D22_L-1C1R23,-,2,0.2120890774125133
57,D13_L-1R13,-,2,0.2120890774125133
58,D11_L-9C1R4,-,2,0.2120890774125133
59,D25_L-5C2R23,-,2,0.2120890774125133
60,D29_L-12C2R20,-,2,0.2120890774125133
61,D22_L-3C1R21,-,2,0.2120890774125133
62,D20_L-1R20,-,1,0.10604453870625664
63,D26_L-18C1R10,-,1,0.10604453870625664
64,D18_L-1C1R19,-,1,0.10604453870625664
65,D24_L-1R24,-,1,0.10604453870625664
66,D25_L-29C3R0,-,1,0.10604453870625664
67,D30_L-29C1R3,-,1,0.10604453870625664
68,D23_L-1R23,-,1,0.10604453870625664
69,D21_L-13C1R10,-,1,0.10604453870625664
70,D25_L-1R25,-,1,0.10604453870625664
71,D27_L-9C2R21,-,1,0.10604453870625664
72,D16_L-15C1R3,-,1,0.10604453870625664
73,D24_L-16C1R10,-,1,0.10604453870625664
74,D27_L-1R27,-,1,0.10604453870625664
75,D6_L-3R4,-,1,0.10604453870625664
76,D27_L-18C1R11,-,1,0.10604453870625664
77,D17_L-18R0,-,1,0.10604453870625664
78,D23_L-24R0,-,1,0.10604453870625664
79,D19_L-10C1R11,-,1,0.10604453870625664
80,D15_L-16R0,-,1,0.10604453870625664
81,D28_L-1R28,-,1,0.10604453870625664
82,D21_L-22R0,-,1,0.10604453870625664
83,D24_L-25R0,-,1,0.10604453870625664
84,D18_L-19R0,-,1,0.10604453870625664
85,D22_L-6C2R19,-,1,0.10604453870625664
86,D21_L-16C1R7,-,1,0.10604453870625664
87,D18_L-13C1R7,-,1,0.10604453870625664
88,D21_L-20C1R3,-,1,0.10604453870625664
89,D29_L-29C1R2,-,1,0.10604453870625664
90,D16_L-9C1R9,-,1,0.10604453870625664
91,D20_L-21R0,-,1,0.10604453870625664
92,D15_L-15C1R2,-,1,0.10604453870625664
93,D16_L-6C1R12,-,1,0.10604453870625664
94,D4_L-2R3,-,1,0.10604453870625664
95,D14_L-10C1R6,-,1,0.10604453870625664
96,D23_L-23C1R2,-,1,0.10604453870625664
97,D22_L-10C1R14,-,1,0.10604453870625664
98,D29_L-4C1R27,-,1,0.10604453870625664
99,D15_L-5C1R12,-,1,0.10604453870625664
100,D30_L-1R30,-,1,0.10604453870625664
101,I2_L-1R0,-,1,0.10604453870625664
102,D30_L-31C1R1,-,1,0.10604453870625664
103,D20_L-16C1R6,-,1,0.10604453870625664
104,D22_L-18C1R6,-,1,0.10604453870625664
105,D20_L-20C1R2,-,1,0.10604453870625664
106,D26_L-27R0,-,1,0.10604453870625664
107,D13_L-14R0,-,1,0.10604453870625664
108,D24_L-23C1R3,-,1,0.10604453870625664
109,D7_L-3R5,-,1,0.10604453870625664
110,D21_L-18C1R5,-,1,0.10604453870625664
111,I2_L-2C2R1,-,1,0.10604453870625664
112,I2_L-1C3R3,-,1,0.10604453870625664
113,D29_L-16C1R15,-,1,0.10604453870625664
114,D17_L-11C1R8,-,1,0.10604453870625664
115,D17_L-13C1R6,-,1,0.10604453870625664
116,D26_L-13C1R15,-,1,0.10604453870625664
117,I2_L-2C1R0,-,1,0.10604453870625664
118,D23_L-18C1R7,-,1,0.10604453870625664
119,I2_L-1C1R1,-,1,0.10604453870625664
120,I2_L-3C2R0,-,1,0.10604453870625664
121,D29_L-30R0,-,1,0.10604453870625664
122,D7_L-7R1,-,1,0.10604453870625664
123,D18_L-7C1R13,-,1,0.10604453870625664
124,D30_L-27C1R5,-,1,0.10604453870625664
125,D19_L-8C1R13,-,1,0.10604453870625664
126,D27_L-28R0,-,1,0.10604453870625664
127,D25_L-11C1R16,-,1,0.10604453870625664
128,D16_L-13C1R5,-,1,0.10604453870625664
129,D19_L-16C1R5,-,1,0.10604453870625664
130,D30_L-24C1R8,-,1,0.10604453870625664
131,D28_L-26C1R4,-,1,0.10604453870625664
132,D8_L-8R1,-,1,0.10604453870625664
133,D11_L-3R9,-,1,0.10604453870625664
134,D16_L-3R14,-,1,0.10604453870625664
135,D24_L-4C1R22,-,1,0.10604453870625664
136,D8_L-7R2,-,1,0.10604453870625664
137,D9_L-9R1,-,1,0.10604453870625664
138,D11_L-10R2,-,1,0.10604453870625664
139,D8_L-3R6,-,1,0.10604453870625664
140,D10_L-9R2,-,1,0.10604453870625664
141,D30_L-15C1R17,-,1,0.10604453870625664
142,D9_L-8R2,-,1,0.10604453870625664
143,D27_L-12C1R17,-,1,0.10604453870625664
144,D10_L-3R8,-,1,0.10604453870625664
145,D9_L-3R7,-,1,0.10604453870625664
146,D26_L-3R24,-,1,0.10604453870625664
147,D26_L-24C1R4,-,1,0.10604453870625664
148,D13_L-3R11,-,1,0.10604453870625664
149,D28_L-12C1R18,-,1,0.10604453870625664
150,D30_L-5C1R27,-,1,0.10604453870625664
151,D19_L-4C1R17,-,1,0.10604453870625664
152,D12_L-8R5,-,1,0.10604453870625664
153,D9_L-5R5,-,1,0.10604453870625664
