,Identifier,drop,count,ratio
0,D7_L-7C5R6,-,275,29.008438818565402
1,I1_L-2C1R0,-,44,4.641350210970464
2,D2_L-1C1R3,-,32,3.375527426160337
3,D2_L-3R0,-,31,3.2700421940928273
4,D10_L-10C2R3,-,28,2.9535864978902953
5,D1_L-2R0,-,26,2.7426160337552745
6,D1_L-1R1,-,21,2.2151898734177213
7,D3_L-3C1R2,-,20,2.109704641350211
8,D4_L-2C1R4,-,15,1.5822784810126582
9,D15_L-18C4R2,-,13,1.3713080168776373
10,D5_L-6C1R1,-,13,1.3713080168776373
11,D20_L-9C4R16,-,12,1.2658227848101267
12,D21_L-20C3R5,-,11,1.160337552742616
13,D23_L-10C6R20,-,11,1.160337552742616
14,D28_L-27C3R5,-,11,1.160337552742616
15,D12_L-2C2R13,-,10,1.0548523206751055
16,D6_L-1C2R8,-,10,1.0548523206751055
17,D11_L-7C2R7,-,10,1.0548523206751055
18,D21_L-16C3R9,-,9,0.949367088607595
19,D4_L-4C1R2,-,9,0.949367088607595
20,D3_L-1R3,-,8,0.8438818565400843
21,D8_L-9C1R1,-,8,0.8438818565400843
22,D3_L-5C1R0,-,8,0.8438818565400843
23,D7_L-1R7,-,7,0.7383966244725738
24,I1_L-1R0,-,7,0.7383966244725738
25,D4_L-5R0,-,7,0.7383966244725738
26,D29_L-6C3R27,-,7,0.7383966244725738
27,I1_L-1C1R1,-,6,0.6329113924050633
28,D14_L-10C2R7,-,6,0.6329113924050633
29,D12_L-13C1R1,-,5,0.5274261603375527
30,D6_L-3C1R5,-,5,0.5274261603375527
31,D5_L-1R5,-,5,0.5274261603375527
32,D9_L-1R9,-,5,0.5274261603375527
33,D8_L-1R8,-,5,0.5274261603375527
34,D27_L-17C2R13,-,4,0.42194092827004215
35,D6_L-7R0,-,4,0.42194092827004215
36,D10_L-1R10,-,4,0.42194092827004215
37,D30_L-2C3R32,-,4,0.42194092827004215
38,D7_L-8R0,-,4,0.42194092827004215
39,D10_L-12C1R0,-,4,0.42194092827004215
40,D14_L-13C2R4,-,4,0.42194092827004215
41,D9_L-3C1R8,-,3,0.31645569620253167
42,D19_L-21C2R1,-,3,0.31645569620253167
43,D8_L-4C1R6,-,3,0.31645569620253167
44,D13_L-11C2R5,-,3,0.31645569620253167
45,D9_L-11C1R0,-,3,0.31645569620253167
46,D23_L-22C2R4,-,3,0.31645569620253167
47,D10_L-4C1R8,-,3,0.31645569620253167
48,D11_L-12R0,-,3,0.31645569620253167
49,D21_L-22C1R1,-,3,0.31645569620253167
50,D20_L-2C1R20,-,3,0.31645569620253167
51,D2_L-2R1,-,3,0.31645569620253167
52,D11_L-1R11,-,2,0.21097046413502107
53,D23_L-2C1R23,-,2,0.21097046413502107
54,D13_L-1R13,-,2,0.21097046413502107
55,D10_L-7C1R5,-,2,0.21097046413502107
56,D22_L-2C1R22,-,2,0.21097046413502107
57,D30_L-13C2R20,-,2,0.21097046413502107
58,D24_L-1C1R25,-,2,0.21097046413502107
59,D16_L-3C1R15,-,2,0.21097046413502107
60,D27_L-1C1R28,-,2,0.21097046413502107
61,D28_L-1R28,-,2,0.21097046413502107
62,D26_L-27C1R1,-,2,0.21097046413502107
63,D26_L-2C1R26,-,2,0.21097046413502107
64,D29_L-30C1R1,-,2,0.21097046413502107
65,D16_L-1R16,-,2,0.21097046413502107
66,D15_L-1C1R16,-,2,0.21097046413502107
67,D21_L-1R21,-,2,0.21097046413502107
68,D18_L-1C1R19,-,2,0.21097046413502107
69,D22_L-14C1R10,-,2,0.21097046413502107
70,D17_L-6C1R13,-,2,0.21097046413502107
71,D19_L-1R19,-,2,0.21097046413502107
72,D17_L-4C1R15,-,2,0.21097046413502107
73,D14_L-1R14,-,2,0.21097046413502107
74,D18_L-18C1R2,-,2,0.21097046413502107
75,D16_L-8C1R10,-,2,0.21097046413502107
76,D26_L-10C2R19,-,2,0.21097046413502107
77,D20_L-4C1R18,-,2,0.21097046413502107
78,D25_L-1R25,-,2,0.21097046413502107
79,D22_L-12C1R12,-,2,0.21097046413502107
80,D17_L-1R17,-,2,0.21097046413502107
81,D23_L-14C1R11,-,1,0.10548523206751054
82,D29_L-1R29,-,1,0.10548523206751054
83,D24_L-13C1R13,-,1,0.10548523206751054
84,D21_L-11C1R12,-,1,0.10548523206751054
85,D6_L-5R2,-,1,0.10548523206751054
86,D28_L-3C1R27,-,1,0.10548523206751054
87,D5_L-4R2,-,1,0.10548523206751054
88,D17_L-8C1R11,-,1,0.10548523206751054
89,D6_L-6R1,-,1,0.10548523206751054
90,I2_L-2C1R0,-,1,0.10548523206751054
91,D17_L-19C1R0,-,1,0.10548523206751054
92,D15_L-5C1R12,-,1,0.10548523206751054
93,D25_L-26R0,-,1,0.10548523206751054
94,D25_L-25C1R2,-,1,0.10548523206751054
95,D26_L-14C1R14,-,1,0.10548523206751054
96,D30_L-31C1R1,-,1,0.10548523206751054
97,D17_L-16C1R3,-,1,0.10548523206751054
98,D29_L-19C1R12,-,1,0.10548523206751054
99,D16_L-10C1R8,-,1,0.10548523206751054
100,D5_L-3R3,-,1,0.10548523206751054
101,D24_L-26C1R0,-,1,0.10548523206751054
102,D23_L-24R0,-,1,0.10548523206751054
103,D14_L-15R0,-,1,0.10548523206751054
104,D29_L-25C1R6,-,1,0.10548523206751054
105,D19_L-15C1R6,-,1,0.10548523206751054
106,D15_L-8C1R9,-,1,0.10548523206751054
107,D22_L-25C2R0,-,1,0.10548523206751054
108,D30_L-23C1R9,-,1,0.10548523206751054
109,D18_L-13C1R7,-,1,0.10548523206751054
110,D27_L-22C1R7,-,1,0.10548523206751054
111,D19_L-17C1R4,-,1,0.10548523206751054
112,D13_L-7C1R8,-,1,0.10548523206751054
113,D19_L-3C1R18,-,1,0.10548523206751054
114,D28_L-15C1R15,-,1,0.10548523206751054
115,I2_L-1C3R3,-,1,0.10548523206751054
116,D18_L-19R0,-,1,0.10548523206751054
117,D22_L-18C1R6,-,1,0.10548523206751054
118,D18_L-15C1R5,-,1,0.10548523206751054
119,I2_L-1C1R1,-,1,0.10548523206751054
120,I2_L-3C2R0,-,1,0.10548523206751054
121,I2_L-2C2R1,-,1,0.10548523206751054
122,D25_L-20C1R7,-,1,0.10548523206751054
123,I2_L-1R0,-,1,0.10548523206751054
124,D24_L-18C1R8,-,1,0.10548523206751054
125,D16_L-17R0,-,1,0.10548523206751054
126,D26_L-24C1R4,-,1,0.10548523206751054
127,D5_L-2R4,-,1,0.10548523206751054
