,Identifier,drop,count,ratio
0,D5_L-4C3R5,-,117,11.987704918032787
1,D27_L-21C7R14,-,103,10.55327868852459
2,D2_L-3R0,-,59,6.045081967213115
3,D9_L-3C3R10,-,55,5.635245901639344
4,D23_L-24C5R5,-,49,5.020491803278689
5,D10_L-11C2R2,-,33,3.3811475409836067
6,D1_L-2R0,-,32,3.278688524590164
7,D4_L-8C4R1,-,29,2.971311475409836
8,D9_L-8C3R5,-,26,2.663934426229508
9,D2_L-2C1R2,-,21,2.151639344262295
10,D1_L-1R1,-,20,2.0491803278688523
11,I1_L-2C1R0,-,19,1.9467213114754098
12,D5_L-6R0,-,12,1.2295081967213115
13,D14_L-10C3R8,-,10,1.0245901639344261
14,I1_L-1C1R1,-,10,1.0245901639344261
15,D6_L-2C1R6,-,10,1.0245901639344261
16,D13_L-7C3R10,-,9,0.9221311475409836
17,D4_L-3C1R3,-,9,0.9221311475409836
18,D6_L-7R0,-,8,0.819672131147541
19,D12_L-13C1R1,-,7,0.7172131147540983
20,D3_L-4R0,-,7,0.7172131147540983
21,I1_L-1R0,-,6,0.6147540983606558
22,D24_L-11C3R17,-,6,0.6147540983606558
23,D29_L-3C2R29,-,6,0.6147540983606558
24,D3_L-1R3,-,6,0.6147540983606558
25,D7_L-8R0,-,5,0.5122950819672131
26,D6_L-6C1R2,-,5,0.5122950819672131
27,D4_L-1R4,-,5,0.5122950819672131
28,D24_L-15C2R12,-,5,0.5122950819672131
29,D22_L-13C2R12,-,5,0.5122950819672131
30,D18_L-22C4R1,-,5,0.5122950819672131
31,D23_L-12C2R14,-,4,0.4098360655737705
32,D8_L-10C1R0,-,4,0.4098360655737705
33,D25_L-14C2R14,-,4,0.4098360655737705
34,D6_L-4C1R4,-,4,0.4098360655737705
35,D10_L-1C1R11,-,4,0.4098360655737705
36,D9_L-10R0,-,4,0.4098360655737705
37,D7_L-1R7,-,4,0.4098360655737705
38,D10_L-4C1R8,-,4,0.4098360655737705
39,D10_L-6C1R6,-,3,0.3073770491803279
40,D11_L-12R0,-,3,0.3073770491803279
41,D12_L-1R12,-,3,0.3073770491803279
42,D10_L-8C1R4,-,3,0.3073770491803279
43,D14_L-1C2R16,-,3,0.3073770491803279
44,D8_L-1R8,-,3,0.3073770491803279
45,D3_L-3R1,-,3,0.3073770491803279
46,D11_L-1R11,-,2,0.20491803278688525
47,D3_L-2R2,-,2,0.20491803278688525
48,D13_L-1C1R14,-,2,0.20491803278688525
49,D17_L-18C1R1,-,2,0.20491803278688525
50,D8_L-7C1R3,-,2,0.20491803278688525
51,D14_L-15C1R1,-,2,0.20491803278688525
52,D22_L-23R0,-,2,0.20491803278688525
53,D23_L-15C1R10,-,2,0.20491803278688525
54,D21_L-13C1R10,-,2,0.20491803278688525
55,D19_L-11C1R10,-,2,0.20491803278688525
56,D28_L-29R0,-,2,0.20491803278688525
57,D20_L-11C1R11,-,2,0.20491803278688525
58,D5_L-5R1,-,2,0.20491803278688525
59,I2_L-1C1R1,-,2,0.20491803278688525
60,D27_L-23C1R6,-,2,0.20491803278688525
61,D25_L-26C1R1,-,2,0.20491803278688525
62,D21_L-23C1R0,-,2,0.20491803278688525
63,D26_L-16C1R12,-,2,0.20491803278688525
64,D19_L-20R0,-,2,0.20491803278688525
65,D19_L-9C1R12,-,2,0.20491803278688525
66,D29_L-12C2R20,-,2,0.20491803278688525
67,I2_L-2C1R0,-,2,0.20491803278688525
68,D29_L-30R0,-,2,0.20491803278688525
69,I2_L-3C2R0,-,2,0.20491803278688525
70,D21_L-1C2R23,-,2,0.20491803278688525
71,D30_L-1C1R31,-,2,0.20491803278688525
72,I2_L-2C3R2,-,2,0.20491803278688525
73,D20_L-9C1R13,-,2,0.20491803278688525
74,D28_L-19C1R11,-,2,0.20491803278688525
75,D26_L-13C1R15,-,2,0.20491803278688525
76,I2_L-1R0,-,1,0.10245901639344263
77,D30_L-4C1R28,-,1,0.10245901639344263
