,Identifier,drop,count,ratio
0,D5_L-6C2R2,-,95,9.23226433430515
1,D2_L-2C1R2,-,90,8.746355685131196
2,D14_L-11C6R10,-,57,5.539358600583091
3,I1_L-2C1R0,-,42,4.081632653061225
4,D7_L-4C2R6,-,34,3.3041788143828956
5,D17_L-4C3R17,-,23,2.2351797862001943
6,D1_L-1R1,-,21,2.0408163265306123
7,D2_L-3R0,-,18,1.749271137026239
8,D1_L-2R0,-,17,1.6520894071914478
9,D6_L-7C1R1,-,16,1.5549076773566568
10,D11_L-13C2R1,-,13,1.2633624878522838
11,D3_L-1R3,-,12,1.1661807580174928
12,D4_L-1R4,-,12,1.1661807580174928
13,D11_L-9C2R5,-,11,1.0689990281827018
14,I1_L-1C1R1,-,10,0.9718172983479106
15,I1_L-1R0,-,10,0.9718172983479106
16,D29_L-18C3R15,-,10,0.9718172983479106
17,D5_L-1R5,-,10,0.9718172983479106
18,D7_L-1R7,-,10,0.9718172983479106
19,D6_L-1R6,-,10,0.9718172983479106
20,D3_L-5C1R0,-,9,0.8746355685131195
21,D9_L-1C1R10,-,9,0.8746355685131195
22,D8_L-1C1R9,-,9,0.8746355685131195
23,D24_L-12C3R16,-,9,0.8746355685131195
24,D4_L-5R0,-,8,0.7774538386783284
25,D19_L-19C2R3,-,6,0.5830903790087464
26,D6_L-3C1R5,-,6,0.5830903790087464
27,D20_L-16C2R7,-,6,0.5830903790087464
28,D27_L-23C2R7,-,6,0.5830903790087464
29,D10_L-1R10,-,6,0.5830903790087464
30,D16_L-15C2R4,-,6,0.5830903790087464
31,D9_L-3C1R8,-,5,0.4859086491739553
32,D21_L-21C2R3,-,5,0.4859086491739553
33,D8_L-4C1R6,-,5,0.4859086491739553
34,D11_L-1R11,-,5,0.4859086491739553
35,D25_L-15C2R13,-,5,0.4859086491739553
36,D24_L-15C2R12,-,5,0.4859086491739553
37,D3_L-2R2,-,4,0.3887269193391642
38,D30_L-8C3R26,-,4,0.3887269193391642
39,D22_L-2C2R23,-,4,0.3887269193391642
40,D7_L-8R0,-,4,0.3887269193391642
41,D12_L-1R12,-,4,0.3887269193391642
42,D3_L-3R1,-,3,0.2915451895043732
43,D4_L-3R2,-,3,0.2915451895043732
44,D16_L-17C1R1,-,3,0.2915451895043732
45,D10_L-4C1R8,-,3,0.2915451895043732
46,D10_L-11R0,-,3,0.2915451895043732
47,D12_L-13R0,-,3,0.2915451895043732
48,D10_L-9C1R3,-,3,0.2915451895043732
49,D6_L-5R2,-,3,0.2915451895043732
50,D9_L-10R0,-,3,0.2915451895043732
51,D8_L-9R0,-,3,0.2915451895043732
52,D13_L-1C1R14,-,3,0.2915451895043732
53,D23_L-24C1R1,-,3,0.2915451895043732
54,D30_L-34C4R1,-,3,0.2915451895043732
55,D29_L-20C1R11,-,3,0.2915451895043732
56,D25_L-17C1R10,-,3,0.2915451895043732
57,D24_L-1C1R25,-,3,0.2915451895043732
58,D12_L-8C1R6,-,2,0.1943634596695821
59,D24_L-25C1R1,-,2,0.1943634596695821
60,D28_L-1C1R29,-,2,0.1943634596695821
61,D25_L-26C1R1,-,2,0.1943634596695821
62,D21_L-2C1R21,-,2,0.1943634596695821
63,D27_L-1C1R28,-,2,0.1943634596695821
64,D26_L-27C1R1,-,2,0.1943634596695821
65,D26_L-1R26,-,2,0.1943634596695821
66,D19_L-16C1R5,-,2,0.1943634596695821
67,D25_L-1C1R26,-,2,0.1943634596695821
68,D29_L-1R29,-,2,0.1943634596695821
69,D25_L-3C1R24,-,2,0.1943634596695821
70,D18_L-1R18,-,2,0.1943634596695821
71,D27_L-28C1R1,-,2,0.1943634596695821
72,D23_L-1R23,-,2,0.1943634596695821
73,D16_L-3C1R15,-,2,0.1943634596695821
74,D5_L-3R3,-,2,0.1943634596695821
75,D30_L-20C1R12,-,2,0.1943634596695821
76,D4_L-4R1,-,2,0.1943634596695821
77,D23_L-22C1R3,-,2,0.1943634596695821
78,D6_L-4R3,-,2,0.1943634596695821
79,D7_L-6R2,-,2,0.1943634596695821
80,D28_L-3C1R27,-,2,0.1943634596695821
81,D24_L-17C1R9,-,2,0.1943634596695821
82,D22_L-16C1R8,-,2,0.1943634596695821
83,D20_L-12C1R10,-,2,0.1943634596695821
84,D27_L-18C1R11,-,2,0.1943634596695821
85,D15_L-1R15,-,2,0.1943634596695821
86,D11_L-10R2,-,2,0.1943634596695821
87,D16_L-1R16,-,2,0.1943634596695821
88,D20_L-18C1R4,-,2,0.1943634596695821
89,D4_L-2R3,-,2,0.1943634596695821
90,D14_L-1R14,-,2,0.1943634596695821
91,D13_L-13C1R2,-,2,0.1943634596695821
92,D29_L-23C1R8,-,2,0.1943634596695821
93,D28_L-18C1R12,-,2,0.1943634596695821
94,D19_L-9C1R12,-,2,0.1943634596695821
95,D25_L-20C1R7,-,2,0.1943634596695821
96,D19_L-1R19,-,2,0.1943634596695821
97,D15_L-7C1R10,-,2,0.1943634596695821
98,D19_L-7C1R14,-,2,0.1943634596695821
99,D5_L-2R4,-,2,0.1943634596695821
100,D20_L-9C1R13,-,2,0.1943634596695821
101,D18_L-9C1R11,-,2,0.1943634596695821
102,D13_L-10C1R5,-,2,0.1943634596695821
103,D19_L-14C1R7,-,2,0.1943634596695821
104,D26_L-23C1R5,-,2,0.1943634596695821
105,I2_L-1C1R1,-,2,0.1943634596695821
106,D16_L-10C1R8,-,2,0.1943634596695821
107,D29_L-4C1R27,-,2,0.1943634596695821
108,D19_L-21C1R0,-,2,0.1943634596695821
109,D17_L-11C1R8,-,2,0.1943634596695821
110,D24_L-22C1R4,-,2,0.1943634596695821
111,D15_L-11C1R6,-,1,0.09718172983479105
112,D21_L-8C1R15,-,1,0.09718172983479105
113,D30_L-1R30,-,1,0.09718172983479105
