,Identifier,drop,count,ratio
0,D7_L-5C5R8,-,471,49.84126984126984
1,D8_L-6C3R6,-,36,3.8095238095238098
2,D2_L-2C1R2,-,25,2.6455026455026456
3,I1_L-2C1R0,-,23,2.433862433862434
4,D3_L-2C1R3,-,16,1.6931216931216932
5,D6_L-4C2R5,-,15,1.5873015873015872
6,D1_L-1R1,-,14,1.4814814814814816
7,D2_L-3R0,-,13,1.3756613756613756
8,D1_L-2R0,-,13,1.3756613756613756
9,D10_L-2C1R10,-,9,0.9523809523809524
10,I1_L-1C1R1,-,9,0.9523809523809524
11,D26_L-23C3R7,-,9,0.9523809523809524
12,D13_L-10C3R7,-,8,0.8465608465608466
13,D9_L-6C2R6,-,7,0.7407407407407408
14,D8_L-1C2R10,-,7,0.7407407407407408
15,D17_L-3C3R18,-,6,0.6349206349206349
16,D29_L-4C3R29,-,6,0.6349206349206349
17,D3_L-4R0,-,6,0.6349206349206349
18,D12_L-10C2R5,-,6,0.6349206349206349
19,D25_L-18C3R11,-,6,0.6349206349206349
20,D17_L-18C2R2,-,6,0.6349206349206349
21,D21_L-13C3R12,-,5,0.5291005291005291
22,D5_L-1R5,-,5,0.5291005291005291
23,D24_L-3C3R25,-,5,0.5291005291005291
24,D4_L-1R4,-,5,0.5291005291005291
25,I1_L-1R0,-,5,0.5291005291005291
26,D20_L-8C3R16,-,5,0.5291005291005291
27,D6_L-1R6,-,5,0.5291005291005291
28,D4_L-5R0,-,5,0.5291005291005291
29,D5_L-6R0,-,4,0.4232804232804233
30,D6_L-10C3R0,-,4,0.4232804232804233
31,D13_L-2C1R13,-,4,0.4232804232804233
32,D8_L-8C1R2,-,4,0.4232804232804233
33,D9_L-8C1R3,-,4,0.4232804232804233
34,D29_L-17C2R15,-,3,0.31746031746031744
35,D9_L-1R9,-,3,0.31746031746031744
36,D28_L-20C2R11,-,3,0.31746031746031744
37,D21_L-21C2R3,-,3,0.31746031746031744
38,D18_L-14C2R7,-,3,0.31746031746031744
39,D14_L-2C1R14,-,3,0.31746031746031744
40,D11_L-1R11,-,3,0.31746031746031744
41,D5_L-3C1R4,-,3,0.31746031746031744
42,D7_L-8R0,-,3,0.31746031746031744
43,D25_L-13C2R15,-,3,0.31746031746031744
44,D12_L-1R12,-,3,0.31746031746031744
45,D30_L-2C1R30,-,3,0.31746031746031744
46,D9_L-10R0,-,3,0.31746031746031744
47,D11_L-14C2R0,-,3,0.31746031746031744
48,D8_L-9R0,-,3,0.31746031746031744
49,D16_L-8C2R11,-,2,0.21164021164021166
50,D10_L-11R0,-,2,0.21164021164021166
51,D12_L-13R0,-,2,0.21164021164021166
52,D25_L-23C2R5,-,2,0.21164021164021166
53,D27_L-28C1R1,-,2,0.21164021164021166
54,D14_L-15C1R1,-,2,0.21164021164021166
55,D24_L-11C2R16,-,2,0.21164021164021166
56,D10_L-6C1R6,-,2,0.21164021164021166
57,D28_L-17C1R13,-,2,0.21164021164021166
58,D30_L-5C2R28,-,2,0.21164021164021166
59,D8_L-2R7,-,2,0.21164021164021166
60,D25_L-20C1R7,-,1,0.10582010582010583
61,D29_L-19C1R12,-,1,0.10582010582010583
62,D28_L-14C2R17,-,1,0.10582010582010583
63,D20_L-1C1R21,-,1,0.10582010582010583
64,D25_L-1C1R26,-,1,0.10582010582010583
65,D24_L-13C1R13,-,1,0.10582010582010583
66,D26_L-27C1R1,-,1,0.10582010582010583
67,D3_L-3R1,-,1,0.10582010582010583
68,D11_L-9C1R4,-,1,0.10582010582010583
69,D29_L-21C1R10,-,1,0.10582010582010583
70,D9_L-3R7,-,1,0.10582010582010583
71,D21_L-1C1R22,-,1,0.10582010582010583
72,D23_L-9C2R17,-,1,0.10582010582010583
73,D18_L-1R18,-,1,0.10582010582010583
74,D19_L-1C1R20,-,1,0.10582010582010583
75,D4_L-3R2,-,1,0.10582010582010583
76,D26_L-16C1R12,-,1,0.10582010582010583
77,D30_L-9C2R24,-,1,0.10582010582010583
78,D26_L-1R26,-,1,0.10582010582010583
79,D21_L-22R0,-,1,0.10582010582010583
80,D19_L-8C1R13,-,1,0.10582010582010583
81,D5_L-5R1,-,1,0.10582010582010583
82,I2_L-1C1R1,-,1,0.10582010582010583
83,D14_L-13C1R3,-,1,0.10582010582010583
84,D15_L-1R15,-,1,0.10582010582010583
85,D22_L-23R0,-,1,0.10582010582010583
86,D27_L-23C1R6,-,1,0.10582010582010583
87,D22_L-17C1R7,-,1,0.10582010582010583
88,D13_L-13C1R2,-,1,0.10582010582010583
89,D16_L-1R16,-,1,0.10582010582010583
90,D27_L-1R27,-,1,0.10582010582010583
91,D6_L-5R2,-,1,0.10582010582010583
92,D18_L-17C1R3,-,1,0.10582010582010583
93,D21_L-15C1R8,-,1,0.10582010582010583
94,D22_L-12C1R12,-,1,0.10582010582010583
95,D15_L-17C1R0,-,1,0.10582010582010583
96,D24_L-25R0,-,1,0.10582010582010583
97,I2_L-1R0,-,1,0.10582010582010583
98,D28_L-1R28,-,1,0.10582010582010583
99,D23_L-24R0,-,1,0.10582010582010583
100,D18_L-20C1R0,-,1,0.10582010582010583
101,D22_L-1R22,-,1,0.10582010582010583
102,I2_L-2C3R2,-,1,0.10582010582010583
103,I2_L-3C2R0,-,1,0.10582010582010583
104,D14_L-10C1R6,-,1,0.10582010582010583
105,D27_L-25C1R4,-,1,0.10582010582010583
106,D9_L-2R8,-,1,0.10582010582010583
107,D6_L-6R1,-,1,0.10582010582010583
108,D24_L-18C1R8,-,1,0.10582010582010583
109,D22_L-15C1R9,-,1,0.10582010582010583
110,I2_L-2C1R0,-,1,0.10582010582010583
111,D10_L-3R8,-,1,0.10582010582010583
112,D17_L-7C1R12,-,1,0.10582010582010583
113,D20_L-3C1R19,-,1,0.10582010582010583
114,D28_L-29R0,-,1,0.10582010582010583
115,D25_L-26R0,-,1,0.10582010582010583
116,D4_L-4R1,-,1,0.10582010582010583
117,D5_L-4R2,-,1,0.10582010582010583
118,D29_L-25C1R6,-,1,0.10582010582010583
119,D10_L-4R7,-,1,0.10582010582010583
120,D28_L-25C1R5,-,1,0.10582010582010583
121,D17_L-14C1R5,-,1,0.10582010582010583
122,D13_L-14R0,-,1,0.10582010582010583
123,D12_L-2R11,-,1,0.10582010582010583
124,D19_L-23C3R0,-,1,0.10582010582010583
125,D22_L-21C1R3,-,1,0.10582010582010583
126,D11_L-3R9,-,1,0.10582010582010583
127,D16_L-14C1R4,-,1,0.10582010582010583
128,D20_L-20C1R2,-,1,0.10582010582010583
129,D18_L-4C1R16,-,1,0.10582010582010583
130,D29_L-30R0,-,1,0.10582010582010583
131,D4_L-2R3,-,1,0.10582010582010583
132,D23_L-1R23,-,1,0.10582010582010583
133,D11_L-2R10,-,1,0.10582010582010583
134,D12_L-11R2,-,1,0.10582010582010583
135,D12_L-7R6,-,1,0.10582010582010583
136,D20_L-11C1R11,-,1,0.10582010582010583
137,D7_L-6R2,-,1,0.10582010582010583
138,D28_L-3C1R27,-,1,0.10582010582010583
139,D21_L-4C1R19,-,1,0.10582010582010583
140,D20_L-21R0,-,1,0.10582010582010583
141,D11_L-11R1,-,1,0.10582010582010583
142,D11_L-10R2,-,1,0.10582010582010583
143,D9_L-9R1,-,1,0.10582010582010583
144,D25_L-4C1R23,-,1,0.10582010582010583
145,D14_L-3R12,-,1,0.10582010582010583
146,D7_L-7R1,-,1,0.10582010582010583
