,Identifier,drop,count,ratio
0,D5_L-6C2R2,-,98,9.36007640878701
1,D2_L-2C1R2,-,92,8.787010506208214
2,D14_L-11C6R10,-,59,5.635148042024833
3,I1_L-2C1R0,-,43,4.106972301814708
4,D7_L-4C2R6,-,35,3.3428844317096464
5,D1_L-1R1,-,21,2.005730659025788
6,D2_L-3R0,-,19,1.8147086914995225
7,D1_L-2R0,-,17,1.6236867239732569
8,D6_L-7C1R1,-,16,1.5281757402101241
9,D11_L-13C2R1,-,13,1.241642788920726
10,D3_L-1R3,-,13,1.241642788920726
11,D4_L-1R4,-,12,1.146131805157593
12,D11_L-9C2R5,-,11,1.0506208213944603
13,I1_L-1C1R1,-,11,1.0506208213944603
14,I1_L-1R0,-,11,1.0506208213944603
15,D5_L-1R5,-,10,0.9551098376313276
16,D7_L-1R7,-,10,0.9551098376313276
17,D6_L-1R6,-,10,0.9551098376313276
18,D3_L-5C1R0,-,10,0.9551098376313276
19,D9_L-1C1R10,-,10,0.9551098376313276
20,D8_L-1C1R9,-,9,0.8595988538681949
21,D4_L-5R0,-,8,0.7640878701050621
22,D24_L-12C3R16,-,8,0.7640878701050621
23,D17_L-4C2R16,-,8,0.7640878701050621
24,D6_L-3C1R5,-,7,0.6685768863419294
25,D16_L-15C2R4,-,7,0.6685768863419294
26,D20_L-16C2R7,-,7,0.6685768863419294
27,D27_L-23C2R7,-,6,0.5730659025787965
28,D10_L-1R10,-,6,0.5730659025787965
29,D9_L-3C1R8,-,5,0.4775549188156638
30,D8_L-4C1R6,-,5,0.4775549188156638
31,D24_L-15C2R12,-,5,0.4775549188156638
32,D11_L-1R11,-,5,0.4775549188156638
33,D22_L-2C2R23,-,5,0.4775549188156638
34,D25_L-15C2R13,-,5,0.4775549188156638
35,D21_L-21C2R3,-,5,0.4775549188156638
36,D3_L-2R2,-,5,0.4775549188156638
37,D30_L-8C3R26,-,4,0.38204393505253104
38,D16_L-18C2R1,-,4,0.38204393505253104
39,D29_L-17C2R15,-,4,0.38204393505253104
40,D7_L-8R0,-,4,0.38204393505253104
41,D12_L-1R12,-,4,0.38204393505253104
42,D3_L-3R1,-,3,0.28653295128939826
43,D4_L-3R2,-,3,0.28653295128939826
44,D10_L-4C1R8,-,3,0.28653295128939826
45,D10_L-11R0,-,3,0.28653295128939826
46,D12_L-13R0,-,3,0.28653295128939826
47,D10_L-9C1R3,-,3,0.28653295128939826
48,D6_L-5R2,-,3,0.28653295128939826
49,D9_L-10R0,-,3,0.28653295128939826
50,D8_L-9R0,-,3,0.28653295128939826
51,D13_L-1C1R14,-,3,0.28653295128939826
52,D23_L-24C1R1,-,3,0.28653295128939826
53,D21_L-2C1R21,-,3,0.28653295128939826
54,D24_L-1C1R25,-,3,0.28653295128939826
55,D30_L-32C2R1,-,3,0.28653295128939826
56,D12_L-8C1R6,-,3,0.28653295128939826
57,D28_L-1C1R29,-,2,0.19102196752626552
58,D27_L-28C1R1,-,2,0.19102196752626552
59,D24_L-25C1R1,-,2,0.19102196752626552
60,D27_L-1C1R28,-,2,0.19102196752626552
61,D16_L-1C1R17,-,2,0.19102196752626552
62,D25_L-17C1R10,-,2,0.19102196752626552
63,D25_L-26C1R1,-,2,0.19102196752626552
64,D26_L-1R26,-,2,0.19102196752626552
65,D16_L-3C1R15,-,2,0.19102196752626552
66,D25_L-1C1R26,-,2,0.19102196752626552
67,D22_L-8C2R17,-,2,0.19102196752626552
68,D29_L-1R29,-,2,0.19102196752626552
69,D17_L-1R17,-,2,0.19102196752626552
70,D19_L-19C1R2,-,2,0.19102196752626552
71,D25_L-3C1R24,-,2,0.19102196752626552
72,D20_L-2C1R20,-,2,0.19102196752626552
73,D23_L-1R23,-,2,0.19102196752626552
74,D5_L-3R3,-,2,0.19102196752626552
75,D18_L-1R18,-,2,0.19102196752626552
76,D4_L-4R1,-,2,0.19102196752626552
77,D15_L-1R15,-,2,0.19102196752626552
78,D29_L-20C1R11,-,2,0.19102196752626552
79,D23_L-22C1R3,-,2,0.19102196752626552
80,D6_L-4R3,-,2,0.19102196752626552
81,D7_L-6R2,-,2,0.19102196752626552
82,D28_L-3C1R27,-,2,0.19102196752626552
83,D14_L-1R14,-,2,0.19102196752626552
84,D20_L-12C1R10,-,2,0.19102196752626552
85,D19_L-16C1R5,-,2,0.19102196752626552
86,D11_L-10R2,-,2,0.19102196752626552
87,D4_L-2R3,-,2,0.19102196752626552
88,D24_L-17C1R9,-,2,0.19102196752626552
