,Identifier,drop,count,ratio
0,D11_L-12C7R7,-,658,69.62962962962963
1,D3_L-2C3R5,-,23,2.433862433862434
2,D8_L-10C3R2,-,22,2.328042328042328
3,D2_L-3C1R1,-,18,1.9047619047619049
4,D15_L-16C3R3,-,13,1.3756613756613756
5,D3_L-4C1R1,-,11,1.164021164021164
6,D1_L-2R0,-,10,1.0582010582010581
7,D12_L-2C2R13,-,8,0.8465608465608466
8,D22_L-25C4R2,-,7,0.7407407407407408
9,D1_L-1R1,-,6,0.6349206349206349
10,D2_L-1R2,-,6,0.6349206349206349
11,D29_L-31C3R2,-,5,0.5291005291005291
12,D25_L-24C3R5,-,5,0.5291005291005291
13,D9_L-2C1R9,-,4,0.4232804232804233
14,I1_L-2C1R0,-,4,0.4232804232804233
15,D21_L-3C3R22,-,4,0.4232804232804233
16,D8_L-2C1R8,-,4,0.4232804232804233
17,D12_L-8C2R7,-,4,0.4232804232804233
18,D10_L-7C2R6,-,3,0.31746031746031744
19,I1_L-1C1R1,-,3,0.31746031746031744
20,D15_L-4C2R14,-,3,0.31746031746031744
21,D5_L-1R5,-,3,0.31746031746031744
22,D21_L-14C2R10,-,3,0.31746031746031744
23,D6_L-6C1R2,-,3,0.31746031746031744
24,D28_L-17C3R15,-,3,0.31746031746031744
25,D6_L-7R0,-,2,0.21164021164021166
26,D24_L-27C3R1,-,2,0.21164021164021166
27,D4_L-5R0,-,2,0.21164021164021166
28,D18_L-19C1R1,-,2,0.21164021164021166
29,D16_L-11C2R8,-,2,0.21164021164021166
30,D20_L-15C2R8,-,2,0.21164021164021166
31,D5_L-6R0,-,2,0.21164021164021166
32,D4_L-1R4,-,2,0.21164021164021166
33,I1_L-1R0,-,2,0.21164021164021166
34,D17_L-18C1R1,-,2,0.21164021164021166
35,D23_L-3C2R23,-,2,0.21164021164021166
36,D14_L-12C2R5,-,2,0.21164021164021166
37,D5_L-3C1R4,-,2,0.21164021164021166
38,D7_L-7C1R2,-,2,0.21164021164021166
39,D16_L-17C1R1,-,2,0.21164021164021166
40,D20_L-10C2R13,-,2,0.21164021164021166
41,D27_L-26C2R4,-,2,0.21164021164021166
42,D30_L-16C3R18,-,2,0.21164021164021166
43,D13_L-1C2R15,-,2,0.21164021164021166
44,D26_L-12C3R18,-,2,0.21164021164021166
45,D9_L-10R0,-,2,0.21164021164021166
46,D6_L-1R6,-,1,0.10582010582010583
47,D11_L-1R11,-,1,0.10582010582010583
48,D24_L-12C2R15,-,1,0.10582010582010583
49,D20_L-21C1R1,-,1,0.10582010582010583
50,D26_L-27C1R1,-,1,0.10582010582010583
51,D7_L-1R7,-,1,0.10582010582010583
52,D21_L-9C2R15,-,1,0.10582010582010583
53,D10_L-1R10,-,1,0.10582010582010583
54,D12_L-14C1R0,-,1,0.10582010582010583
55,D6_L-4C1R4,-,1,0.10582010582010583
56,D10_L-11R0,-,1,0.10582010582010583
57,D18_L-16C2R5,-,1,0.10582010582010583
58,D19_L-2C2R20,-,1,0.10582010582010583
59,D30_L-19C2R14,-,1,0.10582010582010583
60,D25_L-2C1R25,-,1,0.10582010582010583
61,D15_L-1C3R18,-,1,0.10582010582010583
62,D7_L-8R0,-,1,0.10582010582010583
