,Identifier,drop,count,ratio
0,D5_L-5C3R4,-,163,16.043307086614174
1,I1_L-2C1R0,-,61,6.003937007874016
2,D2_L-2C1R2,-,47,4.625984251968504
3,D1_L-2R0,-,27,2.65748031496063
4,D2_L-3R0,-,26,2.559055118110236
5,D1_L-1R1,-,25,2.4606299212598426
6,D29_L-26C4R8,-,21,2.066929133858268
7,D11_L-4C2R10,-,19,1.8700787401574805
8,D27_L-16C4R16,-,18,1.7716535433070866
9,I1_L-1C1R1,-,18,1.7716535433070866
10,D11_L-10C2R4,-,16,1.574803149606299
11,D6_L-10C4R1,-,13,1.279527559055118
12,D14_L-4C2R13,-,10,0.984251968503937
13,D4_L-1R4,-,10,0.984251968503937
14,I1_L-1R0,-,10,0.984251968503937
15,D6_L-1R6,-,10,0.984251968503937
16,D28_L-27C3R5,-,10,0.984251968503937
17,D5_L-1R5,-,10,0.984251968503937
18,D6_L-3C1R5,-,10,0.984251968503937
19,D3_L-5C1R0,-,10,0.984251968503937
20,D17_L-11C3R10,-,10,0.984251968503937
21,D4_L-5R0,-,8,0.7874015748031495
22,D16_L-12C3R8,-,8,0.7874015748031495
23,D12_L-13C1R1,-,7,0.6889763779527559
24,D3_L-1R3,-,6,0.5905511811023622
25,D7_L-3C1R6,-,6,0.5905511811023622
26,D5_L-6R0,-,6,0.5905511811023622
27,D7_L-8R0,-,6,0.5905511811023622
28,D7_L-1R7,-,5,0.4921259842519685
29,D27_L-19C2R11,-,5,0.4921259842519685
30,D22_L-19C2R6,-,5,0.4921259842519685
31,D29_L-8C3R25,-,5,0.4921259842519685
32,D19_L-4C2R18,-,4,0.39370078740157477
33,D8_L-9R0,-,4,0.39370078740157477
34,D14_L-1C1R15,-,4,0.39370078740157477
35,D9_L-1R9,-,4,0.39370078740157477
36,D20_L-10C2R13,-,4,0.39370078740157477
37,D11_L-12R0,-,4,0.39370078740157477
38,D12_L-11C1R3,-,4,0.39370078740157477
39,D12_L-3C1R11,-,4,0.39370078740157477
40,D30_L-24C2R9,-,4,0.39370078740157477
41,D9_L-10R0,-,4,0.39370078740157477
42,D21_L-12C2R12,-,4,0.39370078740157477
43,D20_L-22C2R1,-,4,0.39370078740157477
44,D11_L-1R11,-,4,0.39370078740157477
45,D8_L-8C1R2,-,4,0.39370078740157477
46,D12_L-9C1R5,-,4,0.39370078740157477
47,D10_L-11R0,-,4,0.39370078740157477
48,D10_L-1R10,-,4,0.39370078740157477
49,D12_L-1R12,-,4,0.39370078740157477
50,D21_L-19C2R5,-,4,0.39370078740157477
51,D8_L-1R8,-,4,0.39370078740157477
52,D26_L-14C2R15,-,3,0.2952755905511811
53,D3_L-2R2,-,3,0.2952755905511811
54,D11_L-6C1R7,-,3,0.2952755905511811
55,D9_L-4C1R7,-,3,0.2952755905511811
56,D13_L-1C1R14,-,3,0.2952755905511811
57,D10_L-4C1R8,-,3,0.2952755905511811
58,D28_L-15C2R16,-,3,0.2952755905511811
59,D23_L-2C2R24,-,3,0.2952755905511811
60,D7_L-6C1R3,-,3,0.2952755905511811
61,D12_L-6C1R8,-,3,0.2952755905511811
62,D3_L-3R1,-,2,0.19685039370078738
63,D14_L-15C1R1,-,2,0.19685039370078738
64,D28_L-12C2R19,-,2,0.19685039370078738
65,D13_L-14C1R1,-,2,0.19685039370078738
66,D27_L-28C1R1,-,2,0.19685039370078738
67,D19_L-20C1R1,-,2,0.19685039370078738
68,D21_L-7C2R17,-,2,0.19685039370078738
69,D29_L-3C1R28,-,2,0.19685039370078738
70,D22_L-22C1R2,-,2,0.19685039370078738
71,D24_L-16C1R10,-,2,0.19685039370078738
72,D30_L-32C2R1,-,2,0.19685039370078738
73,I2_L-1C1R1,-,2,0.19685039370078738
74,D21_L-1C2R23,-,2,0.19685039370078738
75,D4_L-3R2,-,2,0.19685039370078738
76,D29_L-1C2R31,-,2,0.19685039370078738
77,D25_L-10C2R18,-,2,0.19685039370078738
78,D15_L-1C1R16,-,2,0.19685039370078738
79,D20_L-1C1R21,-,2,0.19685039370078738
80,D21_L-4C1R19,-,2,0.19685039370078738
81,D20_L-12C1R10,-,2,0.19685039370078738
82,I2_L-1R0,-,2,0.19685039370078738
83,I2_L-2C3R2,-,2,0.19685039370078738
84,I2_L-3C2R0,-,2,0.19685039370078738
85,D6_L-5R2,-,2,0.19685039370078738
86,D19_L-1C1R20,-,2,0.19685039370078738
87,I2_L-2C1R0,-,2,0.19685039370078738
88,D27_L-1R27,-,2,0.19685039370078738
89,D18_L-9C1R11,-,2,0.19685039370078738
90,D20_L-16C1R6,-,2,0.19685039370078738
91,D28_L-19C1R11,-,2,0.19685039370078738
92,D30_L-26C1R6,-,2,0.19685039370078738
93,D6_L-4R3,-,2,0.19685039370078738
94,D20_L-7C1R15,-,2,0.19685039370078738
95,D19_L-7C1R14,-,2,0.19685039370078738
96,D13_L-9C1R6,-,2,0.19685039370078738
97,D16_L-6C1R12,-,2,0.19685039370078738
98,D28_L-23C1R7,-,2,0.19685039370078738
99,D29_L-18C1R13,-,2,0.19685039370078738
100,D25_L-16C1R11,-,2,0.19685039370078738
101,D26_L-18C1R10,-,2,0.19685039370078738
102,D30_L-19C1R13,-,2,0.19685039370078738
103,D26_L-1C1R27,-,2,0.19685039370078738
104,D24_L-25R0,-,2,0.19685039370078738
105,D25_L-26R0,-,2,0.19685039370078738
106,D7_L-4R4,-,2,0.19685039370078738
107,D28_L-4C1R26,-,2,0.19685039370078738
108,D24_L-1R24,-,2,0.19685039370078738
109,D4_L-4R1,-,2,0.19685039370078738
110,D4_L-2R3,-,1,0.09842519685039369
111,D16_L-1R16,-,1,0.09842519685039369
112,D17_L-18R0,-,1,0.09842519685039369
113,D25_L-13C1R14,-,1,0.09842519685039369
114,D28_L-29R0,-,1,0.09842519685039369
115,D30_L-1R30,-,1,0.09842519685039369
116,D13_L-6C1R9,-,1,0.09842519685039369
117,D17_L-17C1R2,-,1,0.09842519685039369
118,D22_L-1R22,-,1,0.09842519685039369
119,D23_L-12C1R13,-,1,0.09842519685039369
120,D25_L-1R25,-,1,0.09842519685039369
121,D28_L-1R28,-,1,0.09842519685039369
122,D15_L-18C2R0,-,1,0.09842519685039369
123,D18_L-1R18,-,1,0.09842519685039369
124,D19_L-16C1R5,-,1,0.09842519685039369
125,D21_L-22R0,-,1,0.09842519685039369
126,D18_L-19R0,-,1,0.09842519685039369
127,D17_L-1R17,-,1,0.09842519685039369
128,D18_L-16C1R4,-,1,0.09842519685039369
129,D15_L-12C1R5,-,1,0.09842519685039369
130,D20_L-18C1R4,-,1,0.09842519685039369
131,D26_L-11C1R17,-,1,0.09842519685039369
132,D14_L-12C1R4,-,1,0.09842519685039369
133,D18_L-11C1R9,-,1,0.09842519685039369
134,D15_L-10C1R7,-,1,0.09842519685039369
135,D12_L-7R6,-,1,0.09842519685039369
136,D29_L-30R0,-,1,0.09842519685039369
137,D23_L-24R0,-,1,0.09842519685039369
