,Identifier,drop,count,ratio
0,D3_L-5C2R1,-,54,5.079962370649106
1,D2_L-1C2R4,-,44,4.13922859830668
2,D1_L-2R0,-,42,3.951081843838194
3,D1_L-1C3R4,-,33,3.1044214487300095
4,D2_L-3R0,-,32,3.0103480714957667
5,D5_L-7C2R1,-,31,2.916274694261524
6,D6_L-2C1R6,-,30,2.8222013170272815
7,D5_L-2C1R5,-,22,2.06961429915334
8,D26_L-24C3R6,-,21,1.975540921919097
9,D12_L-9C2R6,-,18,1.6933207902163687
10,D5_L-4C1R3,-,17,1.5992474129821261
11,D14_L-12C3R6,-,16,1.5051740357478833
12,D11_L-8C2R6,-,15,1.4111006585136407
13,D3_L-1C1R4,-,14,1.317027281279398
14,D8_L-3C1R7,-,13,1.2229539040451554
15,D8_L-6C2R5,-,13,1.2229539040451554
16,I1_L-2C1R0,-,12,1.1288805268109126
17,D4_L-4C1R2,-,12,1.1288805268109126
18,I1_L-1C4R4,-,11,1.03480714957667
19,D24_L-17C3R11,-,10,0.940733772342427
20,D4_L-5R0,-,9,0.8466603951081844
21,D6_L-6C1R2,-,9,0.8466603951081844
22,D4_L-1R4,-,9,0.8466603951081844
23,D11_L-12C1R1,-,9,0.8466603951081844
24,D25_L-15C3R14,-,9,0.8466603951081844
25,D6_L-8C1R0,-,9,0.8466603951081844
26,D29_L-19C3R14,-,8,0.7525870178739417
27,D7_L-1C1R8,-,8,0.7525870178739417
28,D6_L-4C1R4,-,8,0.7525870178739417
29,I1_L-1R0,-,7,0.658513640639699
30,D13_L-10C2R6,-,6,0.5644402634054563
31,D28_L-6C3R26,-,6,0.5644402634054563
32,D11_L-3C1R10,-,6,0.5644402634054563
33,D7_L-9C1R0,-,6,0.5644402634054563
34,D13_L-2C1R13,-,5,0.4703668861712135
35,D26_L-20C2R9,-,5,0.4703668861712135
36,D12_L-14C1R0,-,5,0.4703668861712135
37,D9_L-11C1R0,-,5,0.4703668861712135
38,D12_L-6C1R8,-,5,0.4703668861712135
39,D8_L-1R8,-,5,0.4703668861712135
40,D12_L-12C1R2,-,5,0.4703668861712135
41,D7_L-6C1R3,-,5,0.4703668861712135
42,D10_L-1R10,-,4,0.37629350893697083
43,D9_L-1R9,-,4,0.37629350893697083
44,D10_L-4C1R8,-,4,0.37629350893697083
45,D23_L-25C2R1,-,4,0.37629350893697083
46,D19_L-2C2R20,-,4,0.37629350893697083
47,D8_L-10C1R0,-,4,0.37629350893697083
48,D10_L-11R0,-,4,0.37629350893697083
49,D2_L-2R1,-,4,0.37629350893697083
50,D9_L-5C1R6,-,4,0.37629350893697083
51,D12_L-1R12,-,4,0.37629350893697083
52,D11_L-1R11,-,4,0.37629350893697083
53,D22_L-5C2R20,-,4,0.37629350893697083
54,D3_L-2R2,-,4,0.37629350893697083
55,D30_L-7C3R27,-,3,0.28222013170272814
56,D25_L-2C2R26,-,3,0.28222013170272814
57,D28_L-1C2R30,-,3,0.28222013170272814
58,D14_L-1R14,-,3,0.28222013170272814
59,D10_L-7C1R5,-,3,0.28222013170272814
60,D19_L-20C1R1,-,3,0.28222013170272814
61,D13_L-12C1R3,-,2,0.18814675446848542
62,D29_L-1C1R30,-,2,0.18814675446848542
63,D22_L-1R22,-,2,0.18814675446848542
64,D20_L-1R20,-,2,0.18814675446848542
65,D27_L-2C1R27,-,2,0.18814675446848542
66,D20_L-22C1R0,-,2,0.18814675446848542
67,D15_L-1R15,-,2,0.18814675446848542
68,D25_L-24C1R3,-,2,0.18814675446848542
69,D4_L-2R3,-,2,0.18814675446848542
70,D24_L-25R0,-,2,0.18814675446848542
71,D22_L-18C1R6,-,2,0.18814675446848542
72,D21_L-23C1R0,-,2,0.18814675446848542
73,D24_L-1R24,-,2,0.18814675446848542
74,D28_L-21C1R9,-,2,0.18814675446848542
75,D21_L-20C1R3,-,2,0.18814675446848542
76,D24_L-24C1R2,-,2,0.18814675446848542
77,D21_L-16C1R7,-,2,0.18814675446848542
78,D26_L-1R26,-,2,0.18814675446848542
79,D27_L-15C1R14,-,2,0.18814675446848542
80,D29_L-25C1R6,-,2,0.18814675446848542
81,D30_L-17C1R15,-,2,0.18814675446848542
82,D18_L-14C1R6,-,2,0.18814675446848542
83,D21_L-1C1R22,-,2,0.18814675446848542
84,D26_L-17C1R11,-,2,0.18814675446848542
85,D20_L-20C1R2,-,2,0.18814675446848542
86,D24_L-7C2R20,-,2,0.18814675446848542
87,D28_L-25C1R5,-,2,0.18814675446848542
88,D13_L-14R0,-,2,0.18814675446848542
89,D24_L-4C1R22,-,2,0.18814675446848542
90,D18_L-1R18,-,2,0.18814675446848542
91,D20_L-13C1R9,-,2,0.18814675446848542
92,D30_L-21C1R11,-,2,0.18814675446848542
93,D27_L-23C1R6,-,2,0.18814675446848542
94,D28_L-19C1R11,-,2,0.18814675446848542
95,D16_L-1R16,-,2,0.18814675446848542
96,D22_L-13C1R11,-,2,0.18814675446848542
97,D17_L-18R0,-,2,0.18814675446848542
98,D21_L-18C1R5,-,2,0.18814675446848542
99,D28_L-15C1R15,-,2,0.18814675446848542
100,D22_L-11C1R13,-,2,0.18814675446848542
101,D16_L-18C1R0,-,2,0.18814675446848542
102,D30_L-24C1R8,-,2,0.18814675446848542
103,D16_L-5C1R13,-,2,0.18814675446848542
104,D22_L-15C1R9,-,2,0.18814675446848542
105,D23_L-13C1R12,-,2,0.18814675446848542
106,D17_L-14C1R5,-,2,0.18814675446848542
107,D17_L-1R17,-,2,0.18814675446848542
108,I2_L-1C4R4,-,2,0.18814675446848542
109,D25_L-26R0,-,2,0.18814675446848542
110,D29_L-31C1R0,-,2,0.18814675446848542
111,D18_L-12C1R8,-,2,0.18814675446848542
112,D27_L-17C1R12,-,2,0.18814675446848542
113,D7_L-2R6,-,2,0.18814675446848542
114,D26_L-13C1R15,-,2,0.18814675446848542
115,D14_L-15R0,-,2,0.18814675446848542
116,I2_L-1C1R1,-,2,0.18814675446848542
117,D7_L-7R1,-,2,0.18814675446848542
118,D15_L-11C1R6,-,2,0.18814675446848542
119,D30_L-1R30,-,2,0.18814675446848542
120,D23_L-1C1R24,-,2,0.18814675446848542
121,I2_L-3C2R0,-,2,0.18814675446848542
122,D18_L-7C1R13,-,2,0.18814675446848542
123,D21_L-10C1R13,-,2,0.18814675446848542
124,D18_L-19R0,-,2,0.18814675446848542
125,D7_L-3R5,-,2,0.18814675446848542
126,I2_L-2C2R1,-,2,0.18814675446848542
127,D29_L-15C1R16,-,2,0.18814675446848542
128,D19_L-8C1R13,-,2,0.18814675446848542
129,D20_L-9C1R13,-,2,0.18814675446848542
130,D22_L-20C1R4,-,2,0.18814675446848542
131,I2_L-2C1R0,-,1,0.09407337723424271
132,D30_L-32C1R0,-,1,0.09407337723424271
133,D9_L-3R7,-,1,0.09407337723424271
134,I2_L-1R0,-,1,0.09407337723424271
135,D28_L-30C1R0,-,1,0.09407337723424271
136,D22_L-23R0,-,1,0.09407337723424271
137,D25_L-22C1R5,-,1,0.09407337723424271
138,D26_L-4C1R24,-,1,0.09407337723424271
139,D8_L-7R2,-,1,0.09407337723424271
140,D8_L-8R1,-,1,0.09407337723424271
141,D15_L-16R0,-,1,0.09407337723424271
142,D10_L-5R6,-,1,0.09407337723424271
143,D30_L-15C1R17,-,1,0.09407337723424271
144,D10_L-2R9,-,1,0.09407337723424271
145,D29_L-13C1R18,-,1,0.09407337723424271
146,D27_L-29C1R0,-,1,0.09407337723424271
