,Identifier,drop,count,ratio
0,D14_L-11C8R12,-,202,21.08559498956159
1,D7_L-9C4R3,-,170,17.745302713987474
2,D3_L-3C2R3,-,86,8.977035490605429
3,D9_L-6C3R7,-,32,3.3402922755741122
4,D10_L-3C2R10,-,25,2.6096033402922756
5,D2_L-1R2,-,19,1.9832985386221296
6,D1_L-2R0,-,18,1.8789144050104383
7,D1_L-1R1,-,16,1.6701461377870561
8,D7_L-2C4R10,-,15,1.5657620041753653
9,D8_L-5C2R6,-,11,1.1482254697286012
10,D11_L-13C2R1,-,11,1.1482254697286012
11,D2_L-4C1R0,-,11,1.1482254697286012
12,I1_L-2C1R0,-,11,1.1482254697286012
13,D10_L-6C2R7,-,9,0.9394572025052191
14,D5_L-2C1R5,-,8,0.8350730688935281
15,D12_L-2C1R12,-,7,0.7306889352818371
16,D6_L-2C1R6,-,7,0.7306889352818371
17,D4_L-7C2R0,-,7,0.7306889352818371
18,D28_L-21C3R11,-,6,0.6263048016701461
19,D11_L-2C1R11,-,6,0.6263048016701461
20,D3_L-5C1R0,-,6,0.6263048016701461
21,D16_L-3C2R16,-,6,0.6263048016701461
22,D19_L-11C3R12,-,6,0.6263048016701461
23,I1_L-1R0,-,5,0.5219206680584552
24,D5_L-4C1R3,-,5,0.5219206680584552
25,D5_L-6R0,-,5,0.5219206680584552
26,D21_L-21C2R3,-,5,0.5219206680584552
27,D13_L-5C2R11,-,4,0.41753653444676403
28,D18_L-18C2R3,-,4,0.41753653444676403
29,D24_L-20C2R7,-,4,0.41753653444676403
30,D7_L-4C1R5,-,4,0.41753653444676403
31,D6_L-7R0,-,4,0.41753653444676403
32,D6_L-5C1R3,-,3,0.31315240083507306
33,D23_L-20C2R6,-,3,0.31315240083507306
34,D29_L-24C2R8,-,3,0.31315240083507306
35,D8_L-1R8,-,3,0.31315240083507306
36,D4_L-1R4,-,3,0.31315240083507306
37,D15_L-11C2R7,-,3,0.31315240083507306
38,D25_L-18C2R10,-,3,0.31315240083507306
39,D11_L-10C1R3,-,3,0.31315240083507306
40,D29_L-20C2R12,-,3,0.31315240083507306
41,D22_L-17C2R8,-,3,0.31315240083507306
42,D18_L-13C2R8,-,3,0.31315240083507306
43,D24_L-4C2R23,-,3,0.31315240083507306
44,I1_L-1C1R1,-,3,0.31315240083507306
45,D26_L-15C2R14,-,3,0.31315240083507306
46,D12_L-13R0,-,3,0.31315240083507306
47,D9_L-1R9,-,3,0.31315240083507306
48,D18_L-10C2R11,-,3,0.31315240083507306
49,D13_L-10C2R6,-,3,0.31315240083507306
50,D12_L-11C1R3,-,3,0.31315240083507306
51,D22_L-24C2R1,-,2,0.20876826722338201
52,D16_L-14C2R5,-,2,0.20876826722338201
53,D15_L-6C2R12,-,2,0.20876826722338201
54,D10_L-11R0,-,2,0.20876826722338201
55,D20_L-7C2R16,-,2,0.20876826722338201
56,D13_L-1R13,-,2,0.20876826722338201
57,D10_L-9C1R3,-,2,0.20876826722338201
58,D20_L-11C2R12,-,2,0.20876826722338201
59,D9_L-11C1R0,-,2,0.20876826722338201
60,D29_L-1C2R31,-,2,0.20876826722338201
61,D12_L-4C1R10,-,2,0.20876826722338201
62,D2_L-2R1,-,2,0.20876826722338201
63,D18_L-22C3R0,-,2,0.20876826722338201
64,D22_L-2C1R22,-,2,0.20876826722338201
65,D8_L-10C1R0,-,2,0.20876826722338201
66,D27_L-2C1R27,-,2,0.20876826722338201
67,D15_L-20C5R1,-,2,0.20876826722338201
68,D24_L-25C1R1,-,2,0.20876826722338201
69,D14_L-13C1R3,-,2,0.20876826722338201
70,D24_L-1C1R25,-,2,0.20876826722338201
71,D23_L-22C1R3,-,2,0.20876826722338201
72,D14_L-1R14,-,2,0.20876826722338201
73,D11_L-6C1R7,-,1,0.10438413361169101
74,D30_L-22C1R10,-,1,0.10438413361169101
75,D12_L-9C1R5,-,1,0.10438413361169101
76,D20_L-19C1R3,-,1,0.10438413361169101
77,D27_L-22C1R7,-,1,0.10438413361169101
78,D27_L-17C1R12,-,1,0.10438413361169101
79,D26_L-17C1R11,-,1,0.10438413361169101
