,Identifier,drop,count,ratio
0,D9_L-5C4R9,-,132,13.147410358565736
1,D5_L-6C2R2,-,82,8.167330677290837
2,D2_L-3R0,-,53,5.278884462151394
3,D1_L-2R0,-,33,3.286852589641434
4,D3_L-2C4R6,-,32,3.187250996015936
5,D11_L-3C2R11,-,28,2.788844621513944
6,D2_L-2C1R2,-,27,2.689243027888446
7,D1_L-1R1,-,20,1.9920318725099602
8,D12_L-5C2R10,-,14,1.394422310756972
9,D17_L-11C4R11,-,14,1.394422310756972
10,D22_L-26C5R2,-,12,1.1952191235059761
11,D25_L-24C3R5,-,11,1.0956175298804782
12,I1_L-2C1R0,-,11,1.0956175298804782
13,D5_L-2C1R5,-,11,1.0956175298804782
14,D8_L-6C2R5,-,11,1.0956175298804782
15,D14_L-5C2R12,-,10,0.9960159362549801
16,D3_L-5C1R0,-,10,0.9960159362549801
17,D8_L-8C1R2,-,10,0.9960159362549801
18,D11_L-12C1R1,-,10,0.9960159362549801
19,D16_L-4C2R15,-,9,0.8964143426294822
20,I1_L-1C1R1,-,9,0.8964143426294822
21,D6_L-2C1R6,-,9,0.8964143426294822
22,D6_L-9C2R0,-,9,0.8964143426294822
23,D23_L-3C3R24,-,8,0.796812749003984
24,D4_L-5R0,-,7,0.697211155378486
25,D8_L-11C2R0,-,7,0.697211155378486
26,D19_L-11C3R12,-,7,0.697211155378486
27,D8_L-3C1R7,-,6,0.5976095617529881
28,I1_L-1R0,-,6,0.5976095617529881
29,D4_L-1R4,-,6,0.5976095617529881
30,D22_L-5C2R20,-,5,0.49800796812749004
31,D26_L-16C2R13,-,5,0.49800796812749004
32,D27_L-3C2R27,-,5,0.49800796812749004
33,D7_L-8R0,-,5,0.49800796812749004
34,D19_L-3C2R19,-,5,0.49800796812749004
35,D20_L-22C2R1,-,5,0.49800796812749004
36,D11_L-10C1R3,-,5,0.49800796812749004
37,D23_L-12C2R14,-,4,0.398406374501992
38,D9_L-10R0,-,4,0.398406374501992
39,D7_L-1R7,-,4,0.398406374501992
40,D12_L-1C1R13,-,4,0.398406374501992
41,D10_L-11R0,-,4,0.398406374501992
42,D12_L-13R0,-,4,0.398406374501992
43,D6_L-5C1R3,-,4,0.398406374501992
44,D14_L-15C1R1,-,4,0.398406374501992
45,D14_L-10C2R7,-,4,0.398406374501992
46,D9_L-8C1R3,-,4,0.398406374501992
47,D30_L-3C2R30,-,4,0.398406374501992
48,D29_L-16C2R16,-,4,0.398406374501992
49,D10_L-10C1R2,-,4,0.398406374501992
50,D15_L-9C2R9,-,4,0.398406374501992
51,D3_L-3R1,-,4,0.398406374501992
52,D23_L-22C2R4,-,4,0.398406374501992
53,D27_L-11C3R20,-,4,0.398406374501992
54,D8_L-1R8,-,3,0.29880478087649404
55,D10_L-4C1R8,-,3,0.29880478087649404
56,D13_L-3C1R12,-,3,0.29880478087649404
57,D15_L-3C1R14,-,3,0.29880478087649404
58,D13_L-14C1R1,-,3,0.29880478087649404
59,D12_L-8C1R6,-,3,0.29880478087649404
60,D5_L-3R3,-,3,0.29880478087649404
61,D11_L-8C1R5,-,3,0.29880478087649404
62,D17_L-18C1R1,-,3,0.29880478087649404
63,D17_L-4C1R15,-,2,0.199203187250996
64,D19_L-20C1R1,-,2,0.199203187250996
65,D10_L-1R10,-,2,0.199203187250996
66,D6_L-6R1,-,2,0.199203187250996
67,D23_L-24R0,-,2,0.199203187250996
68,D28_L-29C1R1,-,2,0.199203187250996
69,D28_L-16C1R14,-,2,0.199203187250996
70,D28_L-14C2R17,-,2,0.199203187250996
71,D29_L-18C1R13,-,2,0.199203187250996
72,D13_L-1R13,-,2,0.199203187250996
73,D29_L-32C2R0,-,2,0.199203187250996
74,D29_L-9C2R23,-,2,0.199203187250996
75,D17_L-6C1R13,-,2,0.199203187250996
76,D21_L-3C1R20,-,2,0.199203187250996
77,D4_L-3R2,-,2,0.199203187250996
78,D24_L-16C1R10,-,2,0.199203187250996
79,D6_L-3R4,-,2,0.199203187250996
80,I2_L-1C1R1,-,2,0.199203187250996
81,D24_L-24C1R2,-,2,0.199203187250996
82,D21_L-11C1R12,-,2,0.199203187250996
83,D25_L-14C1R13,-,2,0.199203187250996
84,I2_L-2C1R0,-,2,0.199203187250996
85,D16_L-1R16,-,2,0.199203187250996
86,D25_L-9C2R19,-,2,0.199203187250996
87,D29_L-22C1R9,-,2,0.199203187250996
88,I2_L-3C2R0,-,2,0.199203187250996
89,D4_L-2R3,-,2,0.199203187250996
90,D21_L-9C1R14,-,2,0.199203187250996
91,I2_L-2C3R2,-,2,0.199203187250996
92,D20_L-1C1R21,-,2,0.199203187250996
93,D24_L-25R0,-,2,0.199203187250996
94,D4_L-4R1,-,2,0.199203187250996
95,D14_L-1R14,-,2,0.199203187250996
96,D20_L-4C1R18,-,2,0.199203187250996
97,D25_L-26R0,-,2,0.199203187250996
98,D24_L-11C1R15,-,2,0.199203187250996
99,I2_L-1R0,-,2,0.199203187250996
100,D22_L-9C1R15,-,1,0.099601593625498
101,D24_L-1R24,-,1,0.099601593625498
102,D26_L-22C1R6,-,1,0.099601593625498
103,D21_L-1R21,-,1,0.099601593625498
104,D22_L-16C1R8,-,1,0.099601593625498
105,D28_L-1R28,-,1,0.099601593625498
106,D15_L-16R0,-,1,0.099601593625498
107,D27_L-24C1R5,-,1,0.099601593625498
108,D13_L-10C1R5,-,1,0.099601593625498
109,D18_L-19R0,-,1,0.099601593625498
110,D14_L-12C1R4,-,1,0.099601593625498
111,D21_L-22R0,-,1,0.099601593625498
112,D7_L-3R5,-,1,0.099601593625498
113,D28_L-4C1R26,-,1,0.099601593625498
114,D17_L-1R17,-,1,0.099601593625498
115,D21_L-16C1R7,-,1,0.099601593625498
116,D30_L-5C1R27,-,1,0.099601593625498
117,D15_L-1C1R16,-,1,0.099601593625498
118,D28_L-24C1R6,-,1,0.099601593625498
119,D26_L-27R0,-,1,0.099601593625498
120,D24_L-4C1R22,-,1,0.099601593625498
121,D30_L-31R0,-,1,0.099601593625498
122,D16_L-11C1R7,-,1,0.099601593625498
123,D16_L-17R0,-,1,0.099601593625498
124,D25_L-6C1R21,-,1,0.099601593625498
125,D22_L-20C1R4,-,1,0.099601593625498
126,D25_L-1R25,-,1,0.099601593625498
127,D29_L-1R29,-,1,0.099601593625498
128,D7_L-7R1,-,1,0.099601593625498
129,D12_L-6R7,-,1,0.099601593625498
130,D12_L-2R11,-,1,0.099601593625498
131,D16_L-14C1R4,-,1,0.099601593625498
132,D30_L-25C1R7,-,1,0.099601593625498
133,D22_L-7C1R17,-,1,0.099601593625498
134,D17_L-15C1R4,-,1,0.099601593625498
135,D29_L-11C1R20,-,1,0.099601593625498
136,D26_L-12C1R16,-,1,0.099601593625498
137,D27_L-28R0,-,1,0.099601593625498
138,D9_L-9R1,-,1,0.099601593625498
139,D9_L-6R4,-,1,0.099601593625498
140,D7_L-2R6,-,1,0.099601593625498
141,D12_L-12R1,-,1,0.099601593625498
142,D20_L-6C1R16,-,1,0.099601593625498
143,D22_L-1R22,-,1,0.099601593625498
144,D28_L-6C1R24,-,1,0.099601593625498
145,D10_L-2R9,-,1,0.099601593625498
146,D20_L-18C1R4,-,1,0.099601593625498
147,D18_L-1R18,-,1,0.099601593625498
148,D7_L-6R2,-,1,0.099601593625498
149,D26_L-5C1R23,-,1,0.099601593625498
150,D30_L-7C1R25,-,1,0.099601593625498
151,D10_L-8R3,-,1,0.099601593625498
152,D10_L-6R5,-,1,0.099601593625498
153,D11_L-4R8,-,1,0.099601593625498
154,D26_L-1R26,-,1,0.099601593625498
155,D23_L-13R11,-,1,0.099601593625498
156,D11_L-6R6,-,1,0.099601593625498
157,D26_L-13R14,-,1,0.099601593625498
158,D11_L-5R7,-,1,0.099601593625498
159,D29_L-19R11,-,1,0.099601593625498
160,D23_L-23R1,-,1,0.099601593625498
161,D12_L-10R3,-,1,0.099601593625498
162,D25_L-16R10,-,1,0.099601593625498
163,D12_L-9R4,-,1,0.099601593625498
164,D10_L-7R4,-,1,0.099601593625498
165,D10_L-5R6,-,1,0.099601593625498
166,D29_L-3R27,-,1,0.099601593625498
167,D28_L-18R11,-,1,0.099601593625498
168,D26_L-17R10,-,1,0.099601593625498
169,D7_L-4R4,-,1,0.099601593625498
170,D15_L-4R12,-,1,0.099601593625498
171,D12_L-11R2,-,1,0.099601593625498
172,D15_L-5R11,-,1,0.099601593625498
173,D21_L-12R10,-,1,0.099601593625498
174,D24_L-12R13,-,1,0.099601593625498
175,D16_L-5R12,-,1,0.099601593625498
176,D24_L-13R12,-,1,0.099601593625498
177,D16_L-6R11,-,1,0.099601593625498
178,D26_L-3R24,-,1,0.099601593625498
179,D29_L-20R10,-,1,0.099601593625498
180,D28_L-2R27,-,1,0.099601593625498
181,D24_L-14R11,-,1,0.099601593625498
182,D22_L-13R10,-,1,0.099601593625498
183,D14_L-7R8,-,1,0.099601593625498
184,D20_L-7R14,-,1,0.099601593625498
185,D25_L-3R23,-,1,0.099601593625498
186,D19_L-12R8,-,1,0.099601593625498
187,D23_L-14R10,-,1,0.099601593625498
188,D17_L-12R6,-,1,0.099601593625498
189,D19_L-7R13,-,1,0.099601593625498
190,D13_L-4R10,-,1,0.099601593625498
191,D20_L-2R19,-,1,0.099601593625498
192,D15_L-6R10,-,1,0.099601593625498
193,D27_L-18R10,-,1,0.099601593625498
194,D14_L-6R9,-,1,0.099601593625498
195,D14_L-2R13,-,1,0.099601593625498
196,D30_L-18R13,-,1,0.099601593625498
197,D28_L-19R10,-,1,0.099601593625498
198,D27_L-16R12,-,1,0.099601593625498
199,D25_L-15R11,-,1,0.099601593625498
200,D18_L-3R16,-,1,0.099601593625498
201,D25_L-12R14,-,1,0.099601593625498
202,D22_L-12R11,-,1,0.099601593625498
203,D25_L-25R1,-,1,0.099601593625498
204,D27_L-21R7,-,1,0.099601593625498
205,D30_L-20R11,-,1,0.099601593625498
206,D30_L-21R10,-,1,0.099601593625498
207,D27_L-14R14,-,1,0.099601593625498
208,D13_L-7R7,-,1,0.099601593625498
209,D28_L-17R12,-,1,0.099601593625498
210,D22_L-10R13,-,1,0.099601593625498
211,D22_L-11R12,-,1,0.099601593625498
212,D26_L-19R8,-,1,0.099601593625498
213,D18_L-7R12,-,1,0.099601593625498
214,D13_L-12R2,-,1,0.099601593625498
215,D27_L-17R11,-,1,0.099601593625498
216,D20_L-19R2,-,1,0.099601593625498
217,D14_L-13R2,-,1,0.099601593625498
218,D18_L-6R13,-,1,0.099601593625498
219,D25_L-20R6,-,1,0.099601593625498
220,D20_L-9R12,-,1,0.099601593625498
221,D28_L-21R8,-,1,0.099601593625498
222,D17_L-16R2,-,1,0.099601593625498
223,D19_L-6R14,-,1,0.099601593625498
224,D21_L-14R8,-,1,0.099601593625498
225,D30_L-19R12,-,1,0.099601593625498
226,D21_L-13R9,-,1,0.099601593625498
227,D29_L-23R7,-,1,0.099601593625498
228,D17_L-2R16,-,1,0.099601593625498
229,D19_L-4R16,-,1,0.099601593625498
230,D23_L-4R20,-,1,0.099601593625498
231,D30_L-17R14,-,1,0.099601593625498
232,D25_L-19R7,-,1,0.099601593625498
233,D20_L-11R10,-,1,0.099601593625498
234,D29_L-13R17,-,1,0.099601593625498
235,D16_L-15R2,-,1,0.099601593625498
236,D29_L-29R1,-,1,0.099601593625498
237,D25_L-10R16,-,1,0.099601593625498
238,D24_L-17R8,-,1,0.099601593625498
239,D23_L-16R8,-,1,0.099601593625498
240,D7_L-5R3,-,1,0.099601593625498
241,D27_L-22R6,-,1,0.099601593625498
242,D27_L-4R24,-,1,0.099601593625498
243,D19_L-13R7,-,1,0.099601593625498
244,D13_L-6R8,-,1,0.099601593625498
245,D24_L-2R23,-,1,0.099601593625498
246,D26_L-20R7,-,1,0.099601593625498
247,D24_L-18R7,-,1,0.099601593625498
248,D22_L-17R6,-,1,0.099601593625498
249,D20_L-10R11,-,1,0.099601593625498
250,D18_L-5R14,-,1,0.099601593625498
251,D28_L-22R7,-,1,0.099601593625498
252,D27_L-20R8,-,1,0.099601593625498
253,D16_L-16R1,-,1,0.099601593625498
254,D20_L-13R8,-,1,0.099601593625498
255,D23_L-18R6,-,1,0.099601593625498
256,D20_L-8R13,-,1,0.099601593625498
257,D24_L-19R6,-,1,0.099601593625498
258,D16_L-7R10,-,1,0.099601593625498
259,D15_L-10R6,-,1,0.099601593625498
260,D22_L-14R9,-,1,0.099601593625498
261,D18_L-9R10,-,1,0.099601593625498
262,D25_L-18R8,-,1,0.099601593625498
263,D16_L-12R5,-,1,0.099601593625498
264,D27_L-12R16,-,1,0.099601593625498
265,D27_L-15R13,-,1,0.099601593625498
266,D30_L-30R1,-,1,0.099601593625498
267,D26_L-18R9,-,1,0.099601593625498
268,D29_L-12R18,-,1,0.099601593625498
269,D18_L-8R11,-,1,0.099601593625498
270,D19_L-18R2,-,1,0.099601593625498
271,D27_L-27R1,-,1,0.099601593625498
272,D22_L-18R5,-,1,0.099601593625498
273,D17_L-13R5,-,1,0.099601593625498
274,D18_L-18R1,-,1,0.099601593625498
275,D15_L-15R1,-,1,0.099601593625498
276,D30_L-23R8,-,1,0.099601593625498
277,D18_L-13R6,-,1,0.099601593625498
278,D21_L-21R1,-,1,0.099601593625498
279,D20_L-14R7,-,1,0.099601593625498
280,D30_L-22R9,-,1,0.099601593625498
281,D27_L-26R2,-,1,0.099601593625498
282,D23_L-5R19,-,1,0.099601593625498
283,D13_L-5R9,-,1,0.099601593625498
284,D23_L-9R15,-,1,0.099601593625498
285,D25_L-2R24,-,1,0.099601593625498
