,Identifier,drop,count,ratio
0,D2_L-3C2R2,-,248,25.17766497461929
1,D1_L-3C3R2,-,133,13.50253807106599
2,I1_L-3C4R2,-,67,6.802030456852792
3,D16_L-12C6R11,-,46,4.67005076142132
4,D7_L-7C2R3,-,29,2.9441624365482233
5,D3_L-3C1R2,-,16,1.6243654822335025
6,D12_L-4C2R11,-,14,1.4213197969543148
7,D6_L-7C1R1,-,12,1.2182741116751268
8,D23_L-17C3R10,-,11,1.116751269035533
9,D22_L-18C3R8,-,9,0.9137055837563453
10,D4_L-1R4,-,8,0.8121827411167513
11,D3_L-4R0,-,7,0.7106598984771574
12,D6_L-1R6,-,7,0.7106598984771574
13,D5_L-1R5,-,7,0.7106598984771574
14,I1_L-1R0,-,6,0.6091370558375634
15,D4_L-5R0,-,6,0.6091370558375634
16,D3_L-1R3,-,6,0.6091370558375634
17,D5_L-7C1R0,-,6,0.6091370558375634
18,D13_L-6C2R10,-,6,0.6091370558375634
19,D25_L-15C3R14,-,6,0.6091370558375634
20,D11_L-2C1R11,-,5,0.5076142131979695
21,D15_L-5C2R13,-,5,0.5076142131979695
22,D28_L-21C2R10,-,5,0.5076142131979695
23,D22_L-22C2R3,-,5,0.5076142131979695
24,D16_L-5C2R14,-,5,0.5076142131979695
25,D28_L-12C4R21,-,5,0.5076142131979695
26,D7_L-1R7,-,4,0.40609137055837563
27,D12_L-1R12,-,4,0.40609137055837563
28,D7_L-8R0,-,4,0.40609137055837563
29,D24_L-24C2R3,-,4,0.40609137055837563
30,D10_L-1C1R11,-,4,0.40609137055837563
31,D17_L-11C2R9,-,3,0.3045685279187817
32,D30_L-20C2R13,-,3,0.3045685279187817
33,D11_L-12R0,-,3,0.3045685279187817
34,D8_L-1R8,-,3,0.3045685279187817
35,D19_L-6C2R16,-,3,0.3045685279187817
36,D15_L-10C2R8,-,3,0.3045685279187817
37,D26_L-15C2R14,-,3,0.3045685279187817
38,D12_L-6C1R8,-,3,0.3045685279187817
39,D10_L-11R0,-,3,0.3045685279187817
40,D24_L-14C2R13,-,3,0.3045685279187817
41,D29_L-11C3R22,-,3,0.3045685279187817
42,D12_L-13R0,-,3,0.3045685279187817
43,D29_L-16C2R16,-,3,0.3045685279187817
44,D9_L-1R9,-,3,0.3045685279187817
45,D4_L-3R2,-,2,0.20304568527918782
46,D14_L-1R14,-,2,0.20304568527918782
47,D22_L-9C2R16,-,2,0.20304568527918782
48,D12_L-11C1R3,-,2,0.20304568527918782
49,D8_L-9R0,-,2,0.20304568527918782
50,D22_L-14C1R10,-,2,0.20304568527918782
51,D9_L-10R0,-,2,0.20304568527918782
52,D11_L-10C1R3,-,2,0.20304568527918782
53,D6_L-3R4,-,2,0.20304568527918782
54,D13_L-1R13,-,2,0.20304568527918782
55,D11_L-6C1R7,-,2,0.20304568527918782
56,D5_L-4R2,-,2,0.20304568527918782
57,D18_L-1R18,-,2,0.20304568527918782
58,D10_L-9C1R3,-,2,0.20304568527918782
59,D21_L-22C1R1,-,2,0.20304568527918782
60,D4_L-4R1,-,2,0.20304568527918782
61,D24_L-11C1R15,-,2,0.20304568527918782
62,D23_L-1R23,-,2,0.20304568527918782
63,D30_L-17C1R15,-,2,0.20304568527918782
64,D22_L-1R22,-,2,0.20304568527918782
65,D5_L-2R4,-,2,0.20304568527918782
66,D23_L-24C1R1,-,2,0.20304568527918782
67,D30_L-2C1R30,-,2,0.20304568527918782
68,D24_L-1R24,-,2,0.20304568527918782
69,D19_L-1R19,-,2,0.20304568527918782
70,D16_L-1R16,-,2,0.20304568527918782
71,D6_L-5R2,-,2,0.20304568527918782
72,D27_L-19C1R10,-,2,0.20304568527918782
73,D5_L-5R1,-,2,0.20304568527918782
74,D17_L-1R17,-,2,0.20304568527918782
75,D5_L-3R3,-,2,0.20304568527918782
76,D20_L-1R20,-,2,0.20304568527918782
77,D21_L-13C1R10,-,2,0.20304568527918782
78,D28_L-23C1R7,-,1,0.10152284263959391
79,D29_L-1C1R30,-,1,0.10152284263959391
80,D30_L-11C2R22,-,1,0.10152284263959391
81,D27_L-21C1R8,-,1,0.10152284263959391
82,D25_L-1R25,-,1,0.10152284263959391
83,D21_L-1R21,-,1,0.10152284263959391
84,D14_L-4C1R12,-,1,0.10152284263959391
85,D4_L-2R3,-,1,0.10152284263959391
86,D19_L-8C1R13,-,1,0.10152284263959391
87,D29_L-23C1R8,-,1,0.10152284263959391
88,D17_L-5C1R14,-,1,0.10152284263959391
89,D22_L-24C1R0,-,1,0.10152284263959391
90,D6_L-4R3,-,1,0.10152284263959391
91,D15_L-1R15,-,1,0.10152284263959391
92,D24_L-17C1R9,-,1,0.10152284263959391
93,D26_L-1R26,-,1,0.10152284263959391
94,I2_L-1R0,-,1,0.10152284263959391
95,D30_L-23C1R9,-,1,0.10152284263959391
96,D20_L-8C1R14,-,1,0.10152284263959391
97,D15_L-12C1R5,-,1,0.10152284263959391
98,D6_L-2R5,-,1,0.10152284263959391
99,D27_L-1R27,-,1,0.10152284263959391
100,D28_L-1R28,-,1,0.10152284263959391
101,D18_L-8C1R12,-,1,0.10152284263959391
102,D24_L-25R0,-,1,0.10152284263959391
103,D23_L-13C1R12,-,1,0.10152284263959391
104,D27_L-10C2R20,-,1,0.10152284263959391
105,I2_L-3C4R2,-,1,0.10152284263959391
106,D29_L-28C1R3,-,1,0.10152284263959391
107,D26_L-21C1R7,-,1,0.10152284263959391
108,D27_L-15C1R14,-,1,0.10152284263959391
109,D21_L-16C1R7,-,1,0.10152284263959391
110,D7_L-4R4,-,1,0.10152284263959391
111,D17_L-18R0,-,1,0.10152284263959391
112,D18_L-17C1R3,-,1,0.10152284263959391
113,D23_L-10C1R15,-,1,0.10152284263959391
114,D18_L-11C1R9,-,1,0.10152284263959391
115,D30_L-31C1R1,-,1,0.10152284263959391
116,D29_L-19C1R12,-,1,0.10152284263959391
117,D30_L-29C1R3,-,1,0.10152284263959391
118,D21_L-18C1R5,-,1,0.10152284263959391
119,I2_L-1C1R1,-,1,0.10152284263959391
120,D13_L-14R0,-,1,0.10152284263959391
121,D18_L-19R0,-,1,0.10152284263959391
122,D17_L-16C1R3,-,1,0.10152284263959391
123,D25_L-26R0,-,1,0.10152284263959391
124,D26_L-27R0,-,1,0.10152284263959391
125,D14_L-9C1R7,-,1,0.10152284263959391
126,D16_L-17R0,-,1,0.10152284263959391
127,I2_L-2C1R0,-,1,0.10152284263959391
128,D14_L-15R0,-,1,0.10152284263959391
129,D7_L-3R5,-,1,0.10152284263959391
130,D27_L-28R0,-,1,0.10152284263959391
131,D15_L-16R0,-,1,0.10152284263959391
132,D29_L-31C1R0,-,1,0.10152284263959391
133,D20_L-22C1R0,-,1,0.10152284263959391
134,D9_L-2R8,-,1,0.10152284263959391
135,D30_L-4C1R28,-,1,0.10152284263959391
