,Identifier,drop,count,ratio
0,D12_L-13C2R2,-,65,6.280193236714976
1,D9_L-6C3R7,-,65,6.280193236714976
2,D2_L-3C1R1,-,58,5.603864734299517
3,D3_L-2C2R4,-,49,4.734299516908213
4,D10_L-8C3R6,-,37,3.5748792270531404
5,D1_L-2R0,-,30,2.898550724637681
6,D20_L-4C4R21,-,27,2.608695652173913
7,D27_L-27C3R4,-,22,2.1256038647342996
8,D11_L-2C2R12,-,21,2.0289855072463765
9,D1_L-1R1,-,19,1.8357487922705313
10,D2_L-1R2,-,16,1.5458937198067633
11,D15_L-9C3R10,-,14,1.3526570048309179
12,D23_L-24C2R2,-,14,1.3526570048309179
13,I1_L-2C1R0,-,14,1.3526570048309179
14,D13_L-3C2R13,-,14,1.3526570048309179
15,D4_L-4C1R2,-,12,1.1594202898550725
16,D26_L-20C3R10,-,11,1.0628019323671498
17,D21_L-10C3R15,-,10,0.966183574879227
18,D7_L-8C1R1,-,9,0.8695652173913043
19,D5_L-1R5,-,8,0.7729468599033816
20,D17_L-3C2R17,-,8,0.7729468599033816
21,I1_L-1C1R1,-,8,0.7729468599033816
22,D10_L-3C1R9,-,7,0.6763285024154589
23,D4_L-1R4,-,7,0.6763285024154589
24,D29_L-29C2R3,-,7,0.6763285024154589
25,D5_L-3C1R4,-,7,0.6763285024154589
26,D19_L-11C2R11,-,7,0.6763285024154589
27,D4_L-5R0,-,7,0.6763285024154589
28,D3_L-4R0,-,7,0.6763285024154589
29,D5_L-6R0,-,6,0.5797101449275363
30,D11_L-10C1R3,-,6,0.5797101449275363
31,D8_L-1C1R9,-,6,0.5797101449275363
32,D27_L-8C4R24,-,6,0.5797101449275363
33,D23_L-21C2R5,-,6,0.5797101449275363
34,D21_L-22C1R1,-,6,0.5797101449275363
35,D28_L-21C2R10,-,5,0.4830917874396135
36,D21_L-19C2R5,-,5,0.4830917874396135
37,D22_L-18C2R7,-,5,0.4830917874396135
38,D24_L-26C2R1,-,5,0.4830917874396135
39,D10_L-11R0,-,5,0.4830917874396135
40,D11_L-12R0,-,5,0.4830917874396135
