,Identifier,drop,count,ratio
0,D8_L-7C5R7,-,260,27.60084925690021
1,D1_L-2C3R3,-,128,13.588110403397028
2,D2_L-2C2R3,-,62,6.581740976645436
3,D11_L-3C4R13,-,50,5.3078556263269645
4,D26_L-27C5R5,-,43,4.564755838641188
5,D28_L-5C5R29,-,37,3.9278131634819533
6,D3_L-2C1R3,-,32,3.397027600849257
7,I1_L-2C4R3,-,14,1.48619957537155
8,D2_L-3R0,-,11,1.167728237791932
9,D27_L-15C4R17,-,11,1.167728237791932
10,D18_L-17C3R5,-,10,1.0615711252653928
11,D6_L-7C1R1,-,9,0.9554140127388535
12,D4_L-1R4,-,8,0.8492569002123143
13,D12_L-2C2R13,-,7,0.743099787685775
14,D16_L-12C3R8,-,7,0.743099787685775
15,D5_L-1R5,-,7,0.743099787685775
16,D7_L-1R7,-,6,0.6369426751592357
17,D3_L-4R0,-,5,0.5307855626326964
18,D6_L-1R6,-,5,0.5307855626326964
19,D7_L-7C1R2,-,5,0.5307855626326964
20,D8_L-1R8,-,5,0.5307855626326964
21,D22_L-22C2R3,-,4,0.42462845010615713
22,D4_L-5R0,-,4,0.42462845010615713
23,D20_L-19C2R4,-,4,0.42462845010615713
24,D25_L-27C3R2,-,4,0.42462845010615713
25,D27_L-27C2R3,-,4,0.42462845010615713
26,D15_L-9C2R9,-,4,0.42462845010615713
27,D10_L-1C3R13,-,4,0.42462845010615713
28,I1_L-1R0,-,4,0.42462845010615713
29,D5_L-7C1R0,-,4,0.42462845010615713
30,D21_L-22C2R2,-,4,0.42462845010615713
31,D13_L-10C2R6,-,4,0.42462845010615713
32,D15_L-2C1R15,-,3,0.3184713375796179
33,D9_L-1R9,-,3,0.3184713375796179
34,D18_L-13C2R8,-,3,0.3184713375796179
35,D10_L-4C1R8,-,3,0.3184713375796179
36,D8_L-9R0,-,3,0.3184713375796179
37,D23_L-7C3R20,-,2,0.21231422505307856
38,D13_L-2C1R13,-,2,0.21231422505307856
39,D7_L-8R0,-,2,0.21231422505307856
40,D3_L-3R1,-,2,0.21231422505307856
41,D11_L-5C1R8,-,2,0.21231422505307856
42,D7_L-4C1R5,-,2,0.21231422505307856
43,D14_L-1C1R15,-,2,0.21231422505307856
44,D9_L-10R0,-,2,0.21231422505307856
45,D22_L-4C2R21,-,2,0.21231422505307856
46,D10_L-11R0,-,2,0.21231422505307856
47,D27_L-5C2R25,-,2,0.21231422505307856
48,D18_L-19C1R1,-,2,0.21231422505307856
49,D20_L-22C2R1,-,2,0.21231422505307856
50,D4_L-3R2,-,2,0.21231422505307856
51,D26_L-5C2R24,-,2,0.21231422505307856
52,D18_L-2C1R18,-,2,0.21231422505307856
53,D12_L-14C1R0,-,2,0.21231422505307856
54,D16_L-4C1R14,-,2,0.21231422505307856
55,D29_L-2C1R29,-,2,0.21231422505307856
56,D30_L-15C2R18,-,2,0.21231422505307856
57,D11_L-12R0,-,2,0.21231422505307856
58,D27_L-17C1R12,-,2,0.21231422505307856
59,D19_L-19C1R2,-,1,0.10615711252653928
60,D16_L-17C1R1,-,1,0.10615711252653928
61,D25_L-11C2R17,-,1,0.10615711252653928
