,Identifier,drop,count,ratio
0,D4_L-6C5R4,-,411,43.446088794926006
1,D1_L-2C1R1,-,84,8.879492600422834
2,D12_L-14C3R2,-,35,3.699788583509514
3,D7_L-5C3R6,-,33,3.488372093023256
4,I1_L-2C2R1,-,29,3.06553911205074
5,D9_L-10C2R2,-,22,2.3255813953488373
6,D13_L-3C3R14,-,16,1.6913319238900635
7,D28_L-18C4R15,-,12,1.2684989429175475
8,D2_L-1R2,-,10,1.0570824524312896
9,D12_L-10C2R5,-,9,0.9513742071881607
10,D10_L-9C2R4,-,9,0.9513742071881607
11,D2_L-3R0,-,7,0.7399577167019027
12,D3_L-3C1R2,-,7,0.7399577167019027
13,D5_L-6C1R1,-,7,0.7399577167019027
14,D7_L-8C1R1,-,7,0.7399577167019027
15,I1_L-1R0,-,7,0.7399577167019027
16,D19_L-19C3R4,-,6,0.6342494714587738
17,D7_L-1R7,-,5,0.5285412262156448
18,D6_L-1R6,-,5,0.5285412262156448
19,D3_L-1C3R6,-,4,0.42283298097251587
20,D5_L-1R5,-,4,0.42283298097251587
21,D28_L-4C3R28,-,4,0.42283298097251587
22,D30_L-11C5R25,-,4,0.42283298097251587
23,D24_L-3C2R24,-,4,0.42283298097251587
24,D5_L-4C1R3,-,4,0.42283298097251587
25,D3_L-5C1R0,-,4,0.42283298097251587
26,D14_L-2C1R14,-,4,0.42283298097251587
27,D19_L-9C2R13,-,4,0.42283298097251587
28,D20_L-12C2R11,-,4,0.42283298097251587
29,D27_L-20C2R10,-,4,0.42283298097251587
30,D9_L-1R9,-,3,0.3171247357293869
31,D12_L-1C1R13,-,3,0.3171247357293869
32,D8_L-1R8,-,3,0.3171247357293869
33,D29_L-20C2R12,-,3,0.3171247357293869
34,D6_L-3C1R5,-,3,0.3171247357293869
35,D17_L-6C2R14,-,3,0.3171247357293869
36,D15_L-13C2R5,-,3,0.3171247357293869
37,D16_L-12C2R7,-,3,0.3171247357293869
38,D27_L-12C3R19,-,3,0.3171247357293869
39,D25_L-14C2R14,-,3,0.3171247357293869
40,D10_L-1R10,-,3,0.3171247357293869
41,D26_L-8C3R22,-,2,0.21141649048625794
42,D12_L-7C1R7,-,2,0.21141649048625794
43,D18_L-12C2R9,-,2,0.21141649048625794
44,D22_L-19C2R6,-,2,0.21141649048625794
45,D19_L-2C2R20,-,2,0.21141649048625794
46,D25_L-20C2R8,-,2,0.21141649048625794
47,D8_L-4C1R6,-,2,0.21141649048625794
48,D12_L-4C1R10,-,2,0.21141649048625794
49,D11_L-3C1R10,-,2,0.21141649048625794
50,D6_L-9C2R0,-,2,0.21141649048625794
51,D27_L-1C4R31,-,2,0.21141649048625794
52,D9_L-3C1R8,-,2,0.21141649048625794
53,D25_L-5C2R23,-,2,0.21141649048625794
54,D11_L-1R11,-,2,0.21141649048625794
55,D20_L-21C1R1,-,2,0.21141649048625794
56,D8_L-10C1R0,-,2,0.21141649048625794
57,D23_L-7C3R20,-,2,0.21141649048625794
58,D10_L-4C1R8,-,2,0.21141649048625794
59,D14_L-4C1R12,-,2,0.21141649048625794
60,D15_L-19C4R1,-,2,0.21141649048625794
61,D22_L-2C1R22,-,2,0.21141649048625794
62,D21_L-1C2R23,-,2,0.21141649048625794
63,D27_L-29C2R1,-,2,0.21141649048625794
64,D20_L-2C1R20,-,2,0.21141649048625794
65,D26_L-28C2R1,-,1,0.10570824524312897
66,D8_L-6C1R4,-,1,0.10570824524312897
67,D30_L-1C2R32,-,1,0.10570824524312897
68,D11_L-13C1R0,-,1,0.10570824524312897
69,D2_L-2R1,-,1,0.10570824524312897
70,D17_L-9C1R10,-,1,0.10570824524312897
71,D21_L-10C1R13,-,1,0.10570824524312897
72,D22_L-10C1R14,-,1,0.10570824524312897
73,D28_L-29C1R1,-,1,0.10570824524312897
74,D20_L-8C1R14,-,1,0.10570824524312897
75,D13_L-14C1R1,-,1,0.10570824524312897
76,D25_L-27C2R1,-,1,0.10570824524312897
77,D22_L-23C1R1,-,1,0.10570824524312897
78,D29_L-17C1R14,-,1,0.10570824524312897
79,D10_L-11R0,-,1,0.10570824524312897
80,D25_L-1R25,-,1,0.10570824524312897
81,D15_L-1R15,-,1,0.10570824524312897
82,D22_L-12C1R12,-,1,0.10570824524312897
83,D26_L-18C1R10,-,1,0.10570824524312897
84,D23_L-1C1R24,-,1,0.10570824524312897
85,D18_L-6C1R14,-,1,0.10570824524312897
86,D16_L-17C1R1,-,1,0.10570824524312897
87,D18_L-3C1R17,-,1,0.10570824524312897
88,D15_L-9C1R8,-,1,0.10570824524312897
89,D29_L-1R29,-,1,0.10570824524312897
