,Identifier,drop,count,ratio
0,D7_L-7C6R7,-,494,51.08583247156153
1,I1_L-2C2R1,-,104,10.754912099276112
2,D1_L-2C1R1,-,66,6.8252326783867625
3,D6_L-5C3R5,-,25,2.5853154084798344
4,D8_L-6C3R6,-,21,2.1716649431230612
5,D11_L-3C2R11,-,14,1.4477766287487073
6,D5_L-4C2R4,-,11,1.1375387797311272
7,D2_L-3R0,-,8,0.8273009307135472
8,D2_L-1R2,-,7,0.7238883143743536
9,D9_L-6C2R6,-,6,0.6204756980351602
10,I1_L-1R0,-,5,0.5170630816959669
11,D21_L-12C3R13,-,5,0.5170630816959669
12,D25_L-19C3R10,-,5,0.5170630816959669
13,D17_L-5C2R15,-,4,0.4136504653567736
14,D6_L-1C2R8,-,4,0.4136504653567736
15,D6_L-7R0,-,4,0.4136504653567736
16,D16_L-4C2R15,-,4,0.4136504653567736
17,D25_L-27C3R2,-,4,0.4136504653567736
18,D3_L-4R0,-,4,0.4136504653567736
19,D5_L-6R0,-,3,0.3102378490175801
20,D7_L-8R0,-,3,0.3102378490175801
21,D11_L-12C1R1,-,3,0.3102378490175801
22,D9_L-8C1R3,-,3,0.3102378490175801
23,D21_L-8C3R17,-,3,0.3102378490175801
24,D4_L-1R4,-,3,0.3102378490175801
25,D4_L-3C1R3,-,3,0.3102378490175801
26,D4_L-5R0,-,3,0.3102378490175801
27,D5_L-1R5,-,3,0.3102378490175801
28,D18_L-3C2R18,-,3,0.3102378490175801
29,D3_L-1R3,-,3,0.3102378490175801
30,D12_L-4C1R10,-,2,0.2068252326783868
31,D22_L-15C2R10,-,2,0.2068252326783868
32,D18_L-6C2R15,-,2,0.2068252326783868
33,D20_L-2C3R22,-,2,0.2068252326783868
34,D16_L-9C2R10,-,2,0.2068252326783868
35,D27_L-14C2R16,-,2,0.2068252326783868
36,D8_L-1R8,-,2,0.2068252326783868
37,D8_L-9R0,-,2,0.2068252326783868
38,D27_L-17C2R13,-,2,0.2068252326783868
39,D10_L-1C1R11,-,2,0.2068252326783868
40,D26_L-15C2R14,-,2,0.2068252326783868
41,D12_L-13R0,-,2,0.2068252326783868
42,D29_L-18C2R14,-,2,0.2068252326783868
43,D20_L-9C2R14,-,2,0.2068252326783868
44,D26_L-28C2R1,-,2,0.2068252326783868
45,I2_L-2C2R1,-,2,0.2068252326783868
46,D10_L-8C1R4,-,2,0.2068252326783868
47,D9_L-1R9,-,2,0.2068252326783868
48,D12_L-8C1R6,-,2,0.2068252326783868
49,D10_L-6C1R6,-,2,0.2068252326783868
50,D2_L-2R1,-,2,0.2068252326783868
51,D11_L-8C1R5,-,2,0.2068252326783868
52,D12_L-11C1R3,-,2,0.2068252326783868
53,D27_L-2C2R28,-,1,0.1034126163391934
54,D12_L-1R12,-,1,0.1034126163391934
55,D9_L-10R0,-,1,0.1034126163391934
56,D20_L-22C2R1,-,1,0.1034126163391934
57,D15_L-3C1R14,-,1,0.1034126163391934
58,I2_L-2C1R0,-,1,0.1034126163391934
59,D27_L-28C1R1,-,1,0.1034126163391934
60,I2_L-1C1R1,-,1,0.1034126163391934
61,D13_L-3C1R12,-,1,0.1034126163391934
