,Identifier,drop,count,ratio
0,D5_L-6C2R2,-,107,10.439024390243903
1,D4_L-3C2R4,-,102,9.951219512195122
2,D23_L-22C5R7,-,46,4.48780487804878
3,I1_L-3C2R0,-,44,4.2926829268292686
4,D3_L-4C1R1,-,40,3.902439024390244
5,D3_L-2C1R3,-,25,2.4390243902439024
6,D29_L-6C4R28,-,21,2.048780487804878
7,D1_L-3C1R0,-,20,1.951219512195122
8,D17_L-5C3R16,-,18,1.75609756097561
9,D2_L-3R0,-,17,1.6585365853658538
10,D1_L-1R1,-,17,1.6585365853658538
11,D2_L-1R2,-,16,1.5609756097560976
12,D25_L-13C4R17,-,14,1.3658536585365855
13,D6_L-7C1R1,-,11,1.0731707317073171
14,D11_L-12C1R1,-,10,0.975609756097561
15,D5_L-3C1R4,-,9,0.878048780487805
16,D7_L-2C1R7,-,9,0.878048780487805
17,D21_L-3C3R22,-,8,0.7804878048780488
18,D4_L-5R0,-,7,0.6829268292682927
19,I1_L-1C1R1,-,7,0.6829268292682927
20,D5_L-1R5,-,7,0.6829268292682927
21,D8_L-3C1R7,-,7,0.6829268292682927
22,D19_L-19C2R3,-,7,0.6829268292682927
23,D10_L-10C1R2,-,6,0.5853658536585366
24,D19_L-10C2R12,-,5,0.4878048780487805
25,D13_L-11C2R5,-,5,0.4878048780487805
26,D9_L-1C2R11,-,5,0.4878048780487805
27,D12_L-13R0,-,5,0.4878048780487805
28,D29_L-24C2R8,-,5,0.4878048780487805
29,D17_L-16C2R4,-,5,0.4878048780487805
30,D8_L-9R0,-,5,0.4878048780487805
31,D14_L-6C2R11,-,5,0.4878048780487805
32,D7_L-8R0,-,4,0.3902439024390244
33,D16_L-18C2R1,-,4,0.3902439024390244
34,D8_L-8C1R2,-,4,0.3902439024390244
35,D22_L-11C2R14,-,4,0.3902439024390244
36,I1_L-1R0,-,4,0.3902439024390244
37,D20_L-15C2R8,-,4,0.3902439024390244
38,D14_L-3C1R13,-,4,0.3902439024390244
39,D20_L-8C2R15,-,4,0.3902439024390244
40,D6_L-1R6,-,4,0.3902439024390244
41,D12_L-11C1R3,-,4,0.3902439024390244
42,D13_L-2C1R13,-,4,0.3902439024390244
43,D8_L-1R8,-,4,0.3902439024390244
44,D9_L-11C1R0,-,4,0.3902439024390244
45,D2_L-2R1,-,4,0.3902439024390244
46,D8_L-5C1R5,-,4,0.3902439024390244
47,D11_L-1R11,-,3,0.2926829268292683
48,D30_L-17C2R16,-,3,0.2926829268292683
49,D9_L-5C1R6,-,3,0.2926829268292683
50,D4_L-4R1,-,3,0.2926829268292683
51,D12_L-4C1R10,-,3,0.2926829268292683
52,D12_L-1R12,-,3,0.2926829268292683
53,D13_L-13C1R2,-,3,0.2926829268292683
54,D24_L-25C1R1,-,3,0.2926829268292683
55,D12_L-8C1R6,-,3,0.2926829268292683
56,D28_L-2C2R29,-,3,0.2926829268292683
57,D10_L-11R0,-,3,0.2926829268292683
58,D14_L-1C1R15,-,3,0.2926829268292683
59,D11_L-8C1R5,-,3,0.2926829268292683
60,D19_L-22C2R0,-,2,0.1951219512195122
61,D20_L-12C1R10,-,2,0.1951219512195122
62,D10_L-1R10,-,2,0.1951219512195122
63,D13_L-17C3R0,-,2,0.1951219512195122
64,D22_L-13C1R11,-,2,0.1951219512195122
65,D24_L-1C2R26,-,2,0.1951219512195122
66,D29_L-20C1R11,-,2,0.1951219512195122
67,D25_L-17C1R10,-,2,0.1951219512195122
68,D27_L-7C2R23,-,2,0.1951219512195122
69,D6_L-5R2,-,2,0.1951219512195122
70,D16_L-2C1R16,-,2,0.1951219512195122
71,I2_L-3C2R0,-,2,0.1951219512195122
72,D15_L-7C1R10,-,2,0.1951219512195122
73,D28_L-19C1R11,-,2,0.1951219512195122
74,D28_L-32C3R0,-,2,0.1951219512195122
75,D24_L-14C1R12,-,2,0.1951219512195122
76,D18_L-2C1R18,-,2,0.1951219512195122
77,D16_L-11C1R7,-,2,0.1951219512195122
78,D19_L-3C1R18,-,2,0.1951219512195122
79,D20_L-2C1R20,-,2,0.1951219512195122
