,Identifier,drop,count,ratio
0,D16_L-16C8R9,-,262,27.206645898234683
1,D1_L-2C2R2,-,115,11.941848390446522
2,I1_L-2C3R2,-,75,7.78816199376947
3,D5_L-5C2R3,-,51,5.29595015576324
4,D9_L-8C3R5,-,31,3.2191069574247146
5,D2_L-2C1R2,-,24,2.4922118380062304
6,D18_L-5C4R18,-,21,2.1806853582554515
7,D11_L-10C2R4,-,12,1.2461059190031152
8,D21_L-20C3R5,-,12,1.2461059190031152
9,D4_L-5C1R1,-,12,1.2461059190031152
10,D24_L-23C3R5,-,11,1.142263759086189
11,D2_L-3R0,-,10,1.0384215991692627
12,D16_L-7C3R13,-,9,0.9345794392523363
13,D4_L-3C1R3,-,9,0.9345794392523363
14,D13_L-2C4R16,-,8,0.8307372793354102
15,D20_L-3C3R21,-,7,0.726895119418484
16,D26_L-21C3R9,-,7,0.726895119418484
17,D3_L-1R3,-,6,0.6230529595015576
18,I1_L-1R0,-,5,0.5192107995846313
19,D28_L-29C2R2,-,5,0.5192107995846313
20,D10_L-4C1R8,-,5,0.5192107995846313
21,D5_L-6R0,-,4,0.4153686396677051
22,D9_L-3C1R8,-,4,0.4153686396677051
23,D12_L-1C2R14,-,4,0.4153686396677051
24,D4_L-1R4,-,4,0.4153686396677051
25,D14_L-2C2R15,-,4,0.4153686396677051
26,D28_L-19C2R12,-,4,0.4153686396677051
27,D17_L-13C2R7,-,4,0.4153686396677051
28,D5_L-1R5,-,4,0.4153686396677051
29,D27_L-29C2R1,-,3,0.3115264797507788
30,D15_L-12C2R6,-,3,0.3115264797507788
31,D21_L-15C2R9,-,3,0.3115264797507788
32,D3_L-5C1R0,-,3,0.3115264797507788
33,D6_L-7R0,-,3,0.3115264797507788
34,D9_L-1R9,-,3,0.3115264797507788
35,D29_L-16C2R16,-,3,0.3115264797507788
36,D23_L-14C2R12,-,3,0.3115264797507788
37,D30_L-8C3R26,-,3,0.3115264797507788
38,D11_L-12R0,-,3,0.3115264797507788
39,D21_L-5C2R19,-,3,0.3115264797507788
40,D14_L-8C2R9,-,3,0.3115264797507788
41,D29_L-23C2R9,-,3,0.3115264797507788
42,D3_L-3R1,-,3,0.3115264797507788
43,D8_L-1R8,-,3,0.3115264797507788
44,D7_L-1R7,-,3,0.3115264797507788
45,D6_L-1R6,-,2,0.20768431983385255
46,D24_L-25C1R1,-,2,0.20768431983385255
47,D11_L-1R11,-,2,0.20768431983385255
48,D10_L-6C1R6,-,2,0.20768431983385255
49,D11_L-6C1R7,-,2,0.20768431983385255
50,D10_L-1R10,-,2,0.20768431983385255
51,D12_L-13R0,-,2,0.20768431983385255
52,D19_L-1C2R21,-,2,0.20768431983385255
53,D7_L-8R0,-,2,0.20768431983385255
