,Identifier,drop,count,ratio
0,D2_L-3C2R2,-,211,20.99502487562189
1,D7_L-12C7R3,-,78,7.761194029850746
2,D27_L-16C7R19,-,53,5.273631840796019
3,I1_L-2C1R0,-,48,4.776119402985075
4,D3_L-2C2R4,-,35,3.482587064676617
5,D9_L-10C2R2,-,25,2.4875621890547266
6,D8_L-5C2R6,-,23,2.288557213930348
7,D7_L-2C1R7,-,20,1.9900497512437811
8,D9_L-2C2R10,-,17,1.691542288557214
9,D1_L-2R0,-,13,1.2935323383084576
10,D1_L-1R1,-,13,1.2935323383084576
11,D10_L-9C2R4,-,12,1.1940298507462688
12,D20_L-5C3R19,-,9,0.8955223880597015
13,I1_L-1C1R1,-,9,0.8955223880597015
14,D5_L-1R5,-,8,0.7960199004975124
15,D24_L-19C3R9,-,8,0.7960199004975124
16,I1_L-1R0,-,8,0.7960199004975124
17,D19_L-20C2R2,-,8,0.7960199004975124
18,D16_L-4C2R15,-,7,0.6965174129353234
19,D4_L-1R4,-,7,0.6965174129353234
20,D8_L-7C1R3,-,6,0.5970149253731344
21,D6_L-1R6,-,5,0.4975124378109453
22,D5_L-3C1R4,-,5,0.4975124378109453
23,D5_L-8C2R0,-,5,0.4975124378109453
24,D15_L-12C2R6,-,5,0.4975124378109453
25,D7_L-4C1R5,-,5,0.4975124378109453
26,D22_L-14C2R11,-,5,0.4975124378109453
27,D23_L-11C2R15,-,4,0.3980099502487562
28,D16_L-9C2R10,-,4,0.3980099502487562
29,D22_L-17C2R8,-,4,0.3980099502487562
30,D6_L-6C1R2,-,4,0.3980099502487562
31,D4_L-6C1R0,-,4,0.3980099502487562
32,D26_L-24C2R5,-,4,0.3980099502487562
33,D28_L-26C2R5,-,4,0.3980099502487562
34,D3_L-4R0,-,4,0.3980099502487562
35,D24_L-13C2R14,-,4,0.3980099502487562
36,D8_L-1R8,-,4,0.3980099502487562
37,D11_L-1R11,-,4,0.3980099502487562
38,D11_L-3C1R10,-,4,0.3980099502487562
39,D6_L-7R0,-,4,0.3980099502487562
40,D11_L-12R0,-,3,0.2985074626865672
41,D10_L-1R10,-,3,0.2985074626865672
42,D10_L-11R0,-,3,0.2985074626865672
43,D9_L-5C1R6,-,3,0.2985074626865672
44,D14_L-1C1R15,-,3,0.2985074626865672
45,D12_L-7C1R7,-,3,0.2985074626865672
46,D12_L-1R12,-,3,0.2985074626865672
47,D11_L-6C1R7,-,3,0.2985074626865672
48,D12_L-13R0,-,3,0.2985074626865672
49,D23_L-24C1R1,-,3,0.2985074626865672
50,D13_L-14C1R1,-,2,0.1990049751243781
51,D21_L-22C1R1,-,2,0.1990049751243781
52,D29_L-31C2R1,-,2,0.1990049751243781
53,D8_L-9R0,-,2,0.1990049751243781
54,D25_L-26C1R1,-,2,0.1990049751243781
55,D4_L-3R2,-,2,0.1990049751243781
56,D3_L-3R1,-,2,0.1990049751243781
57,D12_L-10C1R4,-,2,0.1990049751243781
58,D27_L-18C1R11,-,2,0.1990049751243781
59,D30_L-16C2R17,-,2,0.1990049751243781
60,D20_L-21C1R1,-,2,0.1990049751243781
61,D20_L-1R20,-,2,0.1990049751243781
62,D17_L-17C1R2,-,2,0.1990049751243781
63,D13_L-1R13,-,2,0.1990049751243781
64,D14_L-9C1R7,-,2,0.1990049751243781
65,D18_L-17C1R3,-,2,0.1990049751243781
66,D26_L-27C1R1,-,2,0.1990049751243781
67,D20_L-19C1R3,-,2,0.1990049751243781
68,D28_L-20C1R10,-,2,0.1990049751243781
69,D6_L-2R5,-,2,0.1990049751243781
70,D16_L-1R16,-,2,0.1990049751243781
71,D25_L-16C1R11,-,2,0.1990049751243781
72,I2_L-1C1R1,-,2,0.1990049751243781
73,D26_L-16C1R12,-,2,0.1990049751243781
74,D28_L-18C1R12,-,2,0.1990049751243781
75,D16_L-12C1R6,-,2,0.1990049751243781
76,D26_L-19C1R9,-,2,0.1990049751243781
77,D19_L-15C1R6,-,2,0.1990049751243781
78,D23_L-2C1R23,-,2,0.1990049751243781
79,D27_L-23C1R6,-,2,0.1990049751243781
80,D29_L-18C1R13,-,2,0.1990049751243781
81,D18_L-1C1R19,-,2,0.1990049751243781
82,D18_L-10C1R10,-,2,0.1990049751243781
83,D29_L-21C1R10,-,2,0.1990049751243781
84,D29_L-25C1R6,-,2,0.1990049751243781
85,D17_L-20C2R0,-,2,0.1990049751243781
86,D30_L-22C1R10,-,2,0.1990049751243781
87,D18_L-15C1R5,-,2,0.1990049751243781
88,D16_L-14C1R4,-,2,0.1990049751243781
89,D9_L-3R7,-,2,0.1990049751243781
90,I2_L-1R0,-,1,0.09950248756218905
91,D27_L-1R27,-,1,0.09950248756218905
92,D23_L-13C1R12,-,1,0.09950248756218905
93,D19_L-1R19,-,1,0.09950248756218905
94,I2_L-3C4R2,-,1,0.09950248756218905
95,D17_L-5C1R14,-,1,0.09950248756218905
96,D5_L-4R2,-,1,0.09950248756218905
97,D4_L-4R1,-,1,0.09950248756218905
98,D18_L-19R0,-,1,0.09950248756218905
99,D19_L-13C1R8,-,1,0.09950248756218905
100,D24_L-1R24,-,1,0.09950248756218905
101,D30_L-1R30,-,1,0.09950248756218905
102,I2_L-2C1R0,-,1,0.09950248756218905
103,D25_L-1R25,-,1,0.09950248756218905
104,D21_L-8C1R15,-,1,0.09950248756218905
105,D8_L-2R7,-,1,0.09950248756218905
106,D6_L-3R4,-,1,0.09950248756218905
107,D14_L-7C1R9,-,1,0.09950248756218905
108,D21_L-1R21,-,1,0.09950248756218905
109,D24_L-25R0,-,1,0.09950248756218905
110,D17_L-1R17,-,1,0.09950248756218905
111,D29_L-1R29,-,1,0.09950248756218905
112,D24_L-22C1R4,-,1,0.09950248756218905
113,D28_L-1R28,-,1,0.09950248756218905
114,D29_L-27C1R4,-,1,0.09950248756218905
115,D26_L-1R26,-,1,0.09950248756218905
116,D15_L-17C1R0,-,1,0.09950248756218905
117,D15_L-1R15,-,1,0.09950248756218905
118,D10_L-10R1,-,1,0.09950248756218905
119,D5_L-5R1,-,1,0.09950248756218905
120,D13_L-6C1R9,-,1,0.09950248756218905
121,D22_L-1R22,-,1,0.09950248756218905
122,D23_L-21C1R4,-,1,0.09950248756218905
123,D14_L-11C1R5,-,1,0.09950248756218905
124,D4_L-2R3,-,1,0.09950248756218905
125,D22_L-20C1R4,-,1,0.09950248756218905
126,D27_L-28R0,-,1,0.09950248756218905
127,D14_L-15R0,-,1,0.09950248756218905
128,D27_L-4C1R25,-,1,0.09950248756218905
129,D10_L-3R8,-,1,0.09950248756218905
130,D6_L-4R3,-,1,0.09950248756218905
131,D28_L-29R0,-,1,0.09950248756218905
132,D12_L-8R5,-,1,0.09950248756218905
133,D16_L-17R0,-,1,0.09950248756218905
134,D30_L-4C1R28,-,1,0.09950248756218905
135,D12_L-11R2,-,1,0.09950248756218905
136,D12_L-12R1,-,1,0.09950248756218905
137,D12_L-3R10,-,1,0.09950248756218905
138,D19_L-4C1R17,-,1,0.09950248756218905
139,D10_L-2R9,-,1,0.09950248756218905
140,D11_L-10R2,-,1,0.09950248756218905
141,D22_L-23R0,-,1,0.09950248756218905
142,D10_L-6R5,-,1,0.09950248756218905
143,D9_L-6R4,-,1,0.09950248756218905
144,D11_L-4R8,-,1,0.09950248756218905
145,D8_L-8R1,-,1,0.09950248756218905
146,D11_L-11R1,-,1,0.09950248756218905
147,D11_L-8R4,-,1,0.09950248756218905
148,D11_L-7R5,-,1,0.09950248756218905
149,D14_L-3R12,-,1,0.09950248756218905
150,D24_L-14R11,-,1,0.09950248756218905
151,D28_L-7C1R23,-,1,0.09950248756218905
152,D12_L-2R11,-,1,0.09950248756218905
153,D13_L-3R11,-,1,0.09950248756218905
154,D30_L-9C1R23,-,1,0.09950248756218905
155,D23_L-14R10,-,1,0.09950248756218905
156,D27_L-6C1R23,-,1,0.09950248756218905
157,D28_L-5C1R25,-,1,0.09950248756218905
158,D16_L-10R7,-,1,0.09950248756218905
159,D16_L-6R11,-,1,0.09950248756218905
160,D30_L-17R14,-,1,0.09950248756218905
161,D9_L-7R3,-,1,0.09950248756218905
162,D15_L-14R2,-,1,0.09950248756218905
163,D29_L-16R14,-,1,0.09950248756218905
164,D28_L-12C1R18,-,1,0.09950248756218905
165,D21_L-3R19,-,1,0.09950248756218905
166,D26_L-25R2,-,1,0.09950248756218905
167,D28_L-16R13,-,1,0.09950248756218905
168,D22_L-18R5,-,1,0.09950248756218905
169,D26_L-21R6,-,1,0.09950248756218905
170,D12_L-4R9,-,1,0.09950248756218905
171,D29_L-22R8,-,1,0.09950248756218905
172,D24_L-20R5,-,1,0.09950248756218905
173,D10_L-5R6,-,1,0.09950248756218905
174,D16_L-5R12,-,1,0.09950248756218905
175,D30_L-31R0,-,1,0.09950248756218905
176,D21_L-5C1R18,-,1,0.09950248756218905
177,D29_L-19R11,-,1,0.09950248756218905
178,D28_L-27R2,-,1,0.09950248756218905
179,D10_L-4R7,-,1,0.09950248756218905
180,D17_L-3R15,-,1,0.09950248756218905
181,D12_L-5R8,-,1,0.09950248756218905
182,D28_L-22R7,-,1,0.09950248756218905
183,D21_L-2R20,-,1,0.09950248756218905
184,D26_L-11C1R17,-,1,0.09950248756218905
185,D19_L-6R14,-,1,0.09950248756218905
186,D25_L-8C1R19,-,1,0.09950248756218905
187,D14_L-13R2,-,1,0.09950248756218905
188,D15_L-9R7,-,1,0.09950248756218905
189,D15_L-2R14,-,1,0.09950248756218905
190,D24_L-15R10,-,1,0.09950248756218905
191,D27_L-20R8,-,1,0.09950248756218905
192,D28_L-3R26,-,1,0.09950248756218905
193,D28_L-23R6,-,1,0.09950248756218905
194,D13_L-4R10,-,1,0.09950248756218905
195,D29_L-28R2,-,1,0.09950248756218905
196,D19_L-10R10,-,1,0.09950248756218905
197,D26_L-14R13,-,1,0.09950248756218905
198,D28_L-28R1,-,1,0.09950248756218905
199,D17_L-6R12,-,1,0.09950248756218905
200,D26_L-20R7,-,1,0.09950248756218905
201,D30_L-23R8,-,1,0.09950248756218905
202,D15_L-3R13,-,1,0.09950248756218905
203,D29_L-23R7,-,1,0.09950248756218905
204,D24_L-24R1,-,1,0.09950248756218905
205,D26_L-17R10,-,1,0.09950248756218905
206,D14_L-2R13,-,1,0.09950248756218905
207,D26_L-13R14,-,1,0.09950248756218905
208,D30_L-18R13,-,1,0.09950248756218905
209,D22_L-22R1,-,1,0.09950248756218905
210,D18_L-8R11,-,1,0.09950248756218905
211,D18_L-18R1,-,1,0.09950248756218905
212,D28_L-15R14,-,1,0.09950248756218905
213,D25_L-14R12,-,1,0.09950248756218905
214,D23_L-3R21,-,1,0.09950248756218905
215,D14_L-5R10,-,1,0.09950248756218905
216,D14_L-4R11,-,1,0.09950248756218905
217,D17_L-7R11,-,1,0.09950248756218905
218,D28_L-21R8,-,1,0.09950248756218905
219,D22_L-11R12,-,1,0.09950248756218905
220,D18_L-11R8,-,1,0.09950248756218905
221,D17_L-8R10,-,1,0.09950248756218905
222,D15_L-6R10,-,1,0.09950248756218905
223,D23_L-22R2,-,1,0.09950248756218905
224,D25_L-20R6,-,1,0.09950248756218905
225,D20_L-11R10,-,1,0.09950248756218905
226,D20_L-6R15,-,1,0.09950248756218905
227,D21_L-14R8,-,1,0.09950248756218905
228,D13_L-8R6,-,1,0.09950248756218905
229,D30_L-20R11,-,1,0.09950248756218905
230,D30_L-24R7,-,1,0.09950248756218905
231,D25_L-18R8,-,1,0.09950248756218905
232,D22_L-3R20,-,1,0.09950248756218905
233,D21_L-9R13,-,1,0.09950248756218905
234,D26_L-2R25,-,1,0.09950248756218905
235,D17_L-10R8,-,1,0.09950248756218905
236,D23_L-18R6,-,1,0.09950248756218905
237,D21_L-10R12,-,1,0.09950248756218905
238,D18_L-12R7,-,1,0.09950248756218905
239,D25_L-3R23,-,1,0.09950248756218905
240,D18_L-13R6,-,1,0.09950248756218905
241,D30_L-25R6,-,1,0.09950248756218905
242,D25_L-17R9,-,1,0.09950248756218905
243,D18_L-5R14,-,1,0.09950248756218905
244,D25_L-12R14,-,1,0.09950248756218905
245,D19_L-16R4,-,1,0.09950248756218905
246,D27_L-8R20,-,1,0.09950248756218905
247,D27_L-21R7,-,1,0.09950248756218905
248,D20_L-10R11,-,1,0.09950248756218905
249,D30_L-19R12,-,1,0.09950248756218905
250,D19_L-9R11,-,1,0.09950248756218905
251,D27_L-19R9,-,1,0.09950248756218905
252,D23_L-19R5,-,1,0.09950248756218905
253,D21_L-6R16,-,1,0.09950248756218905
254,D17_L-12R6,-,1,0.09950248756218905
255,D21_L-20R2,-,1,0.09950248756218905
256,D22_L-10R13,-,1,0.09950248756218905
257,D11_L-9R3,-,1,0.09950248756218905
258,D15_L-5R11,-,1,0.09950248756218905
259,D25_L-24R2,-,1,0.09950248756218905
260,D20_L-7R14,-,1,0.09950248756218905
261,D18_L-6R13,-,1,0.09950248756218905
262,D18_L-2R17,-,1,0.09950248756218905
263,D28_L-9R20,-,1,0.09950248756218905
264,D25_L-19R7,-,1,0.09950248756218905
265,D28_L-14R15,-,1,0.09950248756218905
266,D27_L-27R1,-,1,0.09950248756218905
267,D13_L-2R12,-,1,0.09950248756218905
268,D15_L-8R8,-,1,0.09950248756218905
269,D16_L-16R1,-,1,0.09950248756218905
270,D20_L-13R8,-,1,0.09950248756218905
271,D21_L-11R11,-,1,0.09950248756218905
272,D25_L-13R13,-,1,0.09950248756218905
273,D24_L-23R2,-,1,0.09950248756218905
274,D20_L-8R13,-,1,0.09950248756218905
275,D13_L-7R7,-,1,0.09950248756218905
276,D20_L-14R7,-,1,0.09950248756218905
277,D19_L-8R12,-,1,0.09950248756218905
278,D18_L-3R16,-,1,0.09950248756218905
279,D20_L-16R5,-,1,0.09950248756218905
280,D14_L-14R1,-,1,0.09950248756218905
281,D15_L-4R12,-,1,0.09950248756218905
282,D23_L-16R8,-,1,0.09950248756218905
283,D22_L-21R2,-,1,0.09950248756218905
284,D19_L-17R3,-,1,0.09950248756218905
