,Identifier,drop,count,ratio
0,I1_L-3C2R0,-,207,20.39408866995074
1,D4_L-3C3R5,-,60,5.911330049261084
2,D8_L-8C4R5,-,50,4.926108374384237
3,D3_L-3C2R3,-,30,2.955665024630542
4,D4_L-7C3R1,-,28,2.7586206896551726
5,D9_L-9C3R4,-,21,2.0689655172413794
6,D1_L-1R1,-,17,1.6748768472906401
7,D19_L-11C4R13,-,15,1.477832512315271
8,D7_L-7C2R3,-,14,1.3793103448275863
9,I1_L-1R0,-,14,1.3793103448275863
10,D23_L-3C4R25,-,14,1.3793103448275863
11,D2_L-2C1R2,-,13,1.2807881773399015
12,D5_L-1C2R7,-,12,1.1822660098522169
13,D2_L-3R0,-,11,1.083743842364532
14,D1_L-3C1R0,-,10,0.9852216748768473
15,I1_L-1C1R1,-,9,0.8866995073891626
16,D28_L-19C3R13,-,8,0.7881773399014778
17,D10_L-9C2R4,-,8,0.7881773399014778
18,D28_L-4C3R28,-,8,0.7881773399014778
19,D8_L-3C1R7,-,7,0.6896551724137931
20,D6_L-9C2R0,-,7,0.6896551724137931
21,D27_L-9C5R24,-,6,0.5911330049261084
22,D7_L-9C1R0,-,6,0.5911330049261084
23,D30_L-3C3R31,-,6,0.5911330049261084
24,D5_L-8C2R0,-,6,0.5911330049261084
25,D30_L-32C3R2,-,6,0.5911330049261084
26,D9_L-5C1R6,-,5,0.49261083743842365
27,D8_L-1C1R9,-,5,0.49261083743842365
28,D7_L-2C1R7,-,5,0.49261083743842365
29,D13_L-3C2R13,-,5,0.49261083743842365
30,D6_L-6C1R2,-,5,0.49261083743842365
31,D20_L-12C2R11,-,5,0.49261083743842365
32,D5_L-3C1R4,-,4,0.3940886699507389
33,D25_L-16C2R12,-,4,0.3940886699507389
34,D3_L-4R0,-,4,0.3940886699507389
35,D8_L-9R0,-,4,0.3940886699507389
36,D10_L-11R0,-,4,0.3940886699507389
37,D26_L-9C4R22,-,4,0.3940886699507389
38,D25_L-20C2R8,-,4,0.3940886699507389
39,D18_L-18C2R3,-,4,0.3940886699507389
40,D20_L-15C2R8,-,4,0.3940886699507389
41,D22_L-17C2R8,-,4,0.3940886699507389
42,D12_L-13R0,-,4,0.3940886699507389
43,D20_L-3C2R20,-,4,0.3940886699507389
44,D18_L-13C2R8,-,4,0.3940886699507389
45,D22_L-3C2R22,-,4,0.3940886699507389
46,D23_L-14C2R12,-,4,0.3940886699507389
47,D21_L-3C2R21,-,4,0.3940886699507389
48,D9_L-10R0,-,4,0.3940886699507389
49,D18_L-8C2R13,-,4,0.3940886699507389
50,D6_L-1R6,-,4,0.3940886699507389
51,D29_L-3C2R29,-,4,0.3940886699507389
52,D17_L-1C4R21,-,3,0.2955665024630542
53,D19_L-18C2R4,-,3,0.2955665024630542
54,I2_L-3C2R0,-,3,0.2955665024630542
55,D10_L-1R10,-,3,0.2955665024630542
56,D11_L-13C1R0,-,3,0.2955665024630542
57,D9_L-1R9,-,3,0.2955665024630542
58,D17_L-4C1R15,-,3,0.2955665024630542
59,D12_L-5C1R9,-,3,0.2955665024630542
60,D17_L-7C2R13,-,3,0.2955665024630542
61,D16_L-4C1R14,-,3,0.2955665024630542
62,D12_L-2C1R12,-,3,0.2955665024630542
63,I2_L-2C1R0,-,3,0.2955665024630542
64,I2_L-2C3R2,-,3,0.2955665024630542
65,I2_L-1C1R1,-,3,0.2955665024630542
66,I2_L-1R0,-,3,0.2955665024630542
67,D28_L-9C3R23,-,3,0.2955665024630542
68,D14_L-3C1R13,-,3,0.2955665024630542
69,D22_L-14C1R10,-,2,0.19704433497536944
70,D12_L-7C1R7,-,2,0.19704433497536944
71,D11_L-1R11,-,2,0.19704433497536944
72,D11_L-6C1R7,-,2,0.19704433497536944
73,D26_L-3C1R25,-,2,0.19704433497536944
74,D18_L-10C1R10,-,2,0.19704433497536944
75,D15_L-15C1R2,-,2,0.19704433497536944
76,D11_L-9C1R4,-,2,0.19704433497536944
77,D24_L-16C1R10,-,2,0.19704433497536944
78,D24_L-13C1R13,-,2,0.19704433497536944
79,D27_L-19C1R10,-,2,0.19704433497536944
80,D24_L-3C1R23,-,2,0.19704433497536944
