,Identifier,drop,count,ratio
0,I1_L-2C1R0,-,199,21.125265392781316
1,D10_L-5C5R11,-,135,14.331210191082802
2,D6_L-7C2R2,-,72,7.643312101910828
3,D12_L-11C3R5,-,38,4.033970276008493
4,D11_L-13C3R2,-,34,3.6093418259023355
5,D2_L-3C1R1,-,33,3.5031847133757963
6,D12_L-3C3R13,-,23,2.4416135881104037
7,D3_L-4C1R1,-,21,2.229299363057325
8,D7_L-4C2R6,-,20,2.1231422505307855
9,D1_L-2R0,-,16,1.6985138004246285
10,D2_L-1R2,-,15,1.5923566878980893
11,D1_L-1R1,-,11,1.167728237791932
12,I1_L-1R0,-,11,1.167728237791932
13,D28_L-6C4R27,-,11,1.167728237791932
14,D4_L-2C2R5,-,11,1.167728237791932
15,D14_L-3C3R15,-,10,1.0615711252653928
16,D8_L-10C2R1,-,9,0.9554140127388535
17,D13_L-9C3R8,-,8,0.8492569002123143
18,D30_L-30C3R4,-,7,0.743099787685775
19,I1_L-1C1R1,-,7,0.743099787685775
20,D29_L-25C3R8,-,6,0.6369426751592357
21,D5_L-1C1R6,-,6,0.6369426751592357
22,D7_L-6C1R3,-,6,0.6369426751592357
23,D27_L-11C4R21,-,5,0.5307855626326964
24,D17_L-4C2R16,-,5,0.5307855626326964
25,D6_L-3C1R5,-,5,0.5307855626326964
26,D4_L-5R0,-,5,0.5307855626326964
27,D7_L-1C1R8,-,4,0.42462845010615713
28,D5_L-6R0,-,4,0.42462845010615713
29,D6_L-1R6,-,4,0.42462845010615713
30,D3_L-1R3,-,4,0.42462845010615713
31,D8_L-1C1R9,-,3,0.3184713375796179
32,D21_L-20C2R4,-,3,0.3184713375796179
33,D23_L-13C2R13,-,3,0.3184713375796179
34,D21_L-13C2R11,-,3,0.3184713375796179
35,D25_L-13C2R15,-,3,0.3184713375796179
36,D27_L-23C2R7,-,3,0.3184713375796179
37,D18_L-10C2R11,-,3,0.3184713375796179
38,D22_L-10C2R15,-,3,0.3184713375796179
39,D15_L-13C2R5,-,3,0.3184713375796179
40,D20_L-10C2R13,-,3,0.3184713375796179
41,D3_L-2R2,-,3,0.3184713375796179
42,D8_L-4C1R6,-,3,0.3184713375796179
