,Identifier,drop,count,ratio
0,D5_L-5C4R5,-,236,24.081632653061224
1,D8_L-6C4R7,-,96,9.795918367346939
2,D9_L-3C6R13,-,53,5.408163265306123
3,D14_L-5C3R13,-,21,2.142857142857143
4,D1_L-2R0,-,20,2.0408163265306123
5,I1_L-2C1R0,-,20,2.0408163265306123
6,D1_L-1R1,-,18,1.8367346938775513
7,D6_L-7C1R1,-,16,1.6326530612244898
8,D18_L-19C3R3,-,13,1.3265306122448979
9,D2_L-4C1R0,-,13,1.3265306122448979
10,D2_L-2C1R2,-,13,1.3265306122448979
11,D27_L-28C3R3,-,12,1.2244897959183674
12,I1_L-1C1R1,-,12,1.2244897959183674
13,D29_L-26C3R7,-,10,1.0204081632653061
14,D20_L-17C3R7,-,10,1.0204081632653061
15,D26_L-26C3R4,-,9,0.9183673469387756
16,D17_L-17C3R4,-,9,0.9183673469387756
17,D26_L-17C3R13,-,9,0.9183673469387756
18,D12_L-6C2R9,-,9,0.9183673469387756
19,D4_L-5R0,-,8,0.8163265306122449
20,D12_L-13C1R1,-,8,0.8163265306122449
21,I1_L-1R0,-,8,0.8163265306122449
22,D3_L-2C1R3,-,7,0.7142857142857143
23,D30_L-15C4R20,-,7,0.7142857142857143
24,D27_L-19C3R12,-,7,0.7142857142857143
25,D9_L-10C1R1,-,6,0.6122448979591837
26,D5_L-6R0,-,6,0.6122448979591837
27,D6_L-2C1R6,-,6,0.6122448979591837
28,D12_L-2C1R12,-,6,0.6122448979591837
29,D3_L-6C2R0,-,5,0.5102040816326531
30,D27_L-15C2R15,-,5,0.5102040816326531
31,D23_L-12C2R14,-,5,0.5102040816326531
32,D20_L-9C2R14,-,4,0.40816326530612246
33,D4_L-4C1R2,-,4,0.40816326530612246
34,D15_L-3C1R14,-,4,0.40816326530612246
35,D7_L-8R0,-,4,0.40816326530612246
36,D11_L-2C1R11,-,4,0.40816326530612246
37,D7_L-1R7,-,4,0.40816326530612246
38,D24_L-3C2R24,-,4,0.40816326530612246
39,D30_L-27C2R6,-,4,0.40816326530612246
40,D21_L-18C2R6,-,4,0.40816326530612246
41,D27_L-7C3R24,-,4,0.40816326530612246
42,D4_L-1R4,-,4,0.40816326530612246
43,D26_L-4C2R25,-,4,0.40816326530612246
44,D26_L-21C2R8,-,3,0.30612244897959184
45,D14_L-9C2R8,-,3,0.30612244897959184
46,D17_L-12C2R8,-,3,0.30612244897959184
47,D11_L-4C1R9,-,3,0.30612244897959184
48,D8_L-1R8,-,3,0.30612244897959184
49,D10_L-11R0,-,3,0.30612244897959184
50,D6_L-5C1R3,-,3,0.30612244897959184
51,D9_L-5C1R6,-,3,0.30612244897959184
52,D21_L-22C1R1,-,2,0.20408163265306123
53,D11_L-12R0,-,2,0.20408163265306123
54,D30_L-10C2R23,-,2,0.20408163265306123
55,D18_L-3C1R17,-,2,0.20408163265306123
56,D23_L-9C2R17,-,2,0.20408163265306123
57,D26_L-12C2R17,-,2,0.20408163265306123
58,D8_L-9R0,-,2,0.20408163265306123
59,D10_L-1R10,-,2,0.20408163265306123
60,D21_L-3C1R20,-,2,0.20408163265306123
61,D27_L-10C2R20,-,2,0.20408163265306123
62,D29_L-2C2R30,-,2,0.20408163265306123
63,D30_L-24C1R8,-,2,0.20408163265306123
64,D21_L-15C1R8,-,2,0.20408163265306123
65,D13_L-1R13,-,2,0.20408163265306123
66,D11_L-9C1R4,-,2,0.20408163265306123
67,D17_L-6C1R13,-,2,0.20408163265306123
68,D24_L-7C2R20,-,2,0.20408163265306123
69,D3_L-3R1,-,2,0.20408163265306123
70,I2_L-1C1R1,-,2,0.20408163265306123
71,D24_L-12C1R14,-,2,0.20408163265306123
72,D11_L-6C1R7,-,2,0.20408163265306123
73,D17_L-3C1R16,-,2,0.20408163265306123
74,D21_L-9C1R14,-,2,0.20408163265306123
75,D15_L-5C1R12,-,2,0.20408163265306123
76,D22_L-11C1R13,-,2,0.20408163265306123
77,D7_L-4C1R5,-,2,0.20408163265306123
78,D10_L-8C1R4,-,2,0.20408163265306123
79,D18_L-6C1R14,-,2,0.20408163265306123
80,D19_L-8C1R13,-,2,0.20408163265306123
81,I2_L-4C3R0,-,2,0.20408163265306123
82,D14_L-1R14,-,2,0.20408163265306123
83,I2_L-2C3R2,-,2,0.20408163265306123
84,I2_L-2C1R0,-,2,0.20408163265306123
85,D13_L-4C1R11,-,2,0.20408163265306123
86,D15_L-7C1R10,-,2,0.20408163265306123
87,D25_L-27C1R0,-,2,0.20408163265306123
88,D16_L-18C1R0,-,2,0.20408163265306123
89,D27_L-1C2R29,-,2,0.20408163265306123
90,D26_L-27R0,-,1,0.10204081632653061
91,D17_L-18R0,-,1,0.10204081632653061
92,D30_L-22C1R10,-,1,0.10204081632653061
93,D21_L-13C1R10,-,1,0.10204081632653061
94,I2_L-1R0,-,1,0.10204081632653061
95,D26_L-1R26,-,1,0.10204081632653061
96,D18_L-10C1R10,-,1,0.10204081632653061
97,D27_L-21C1R8,-,1,0.10204081632653061
98,D28_L-18C1R12,-,1,0.10204081632653061
99,D28_L-3C1R27,-,1,0.10204081632653061
100,D19_L-20R0,-,1,0.10204081632653061
101,D6_L-3R4,-,1,0.10204081632653061
102,D4_L-2R3,-,1,0.10204081632653061
103,D18_L-12C1R8,-,1,0.10204081632653061
104,D18_L-1C1R19,-,1,0.10204081632653061
105,D28_L-29R0,-,1,0.10204081632653061
106,D22_L-1R22,-,1,0.10204081632653061
107,D15_L-9C1R8,-,1,0.10204081632653061
108,D19_L-1R19,-,1,0.10204081632653061
109,D27_L-12C1R17,-,1,0.10204081632653061
110,D17_L-1R17,-,1,0.10204081632653061
111,D16_L-1R16,-,1,0.10204081632653061
112,D21_L-1C1R22,-,1,0.10204081632653061
113,D23_L-16C1R9,-,1,0.10204081632653061
114,D25_L-18C1R9,-,1,0.10204081632653061
115,D30_L-1R30,-,1,0.10204081632653061
116,D25_L-1C1R26,-,1,0.10204081632653061
117,D13_L-8C1R7,-,1,0.10204081632653061
118,D20_L-6C1R16,-,1,0.10204081632653061
119,D7_L-2R6,-,1,0.10204081632653061
120,D25_L-16C1R11,-,1,0.10204081632653061
121,D28_L-1R28,-,1,0.10204081632653061
122,D24_L-26C1R0,-,1,0.10204081632653061
123,D15_L-17C1R0,-,1,0.10204081632653061
124,D22_L-18C1R6,-,1,0.10204081632653061
125,D20_L-1R20,-,1,0.10204081632653061
126,D28_L-27C1R3,-,1,0.10204081632653061
127,D19_L-18C1R3,-,1,0.10204081632653061
128,D24_L-17C1R9,-,1,0.10204081632653061
129,D24_L-9C1R17,-,1,0.10204081632653061
130,D25_L-25C1R2,-,1,0.10204081632653061
131,D16_L-16C1R2,-,1,0.10204081632653061
132,D23_L-21C1R4,-,1,0.10204081632653061
133,D22_L-23R0,-,1,0.10204081632653061
134,D13_L-14R0,-,1,0.10204081632653061
135,D15_L-1R15,-,1,0.10204081632653061
136,D8_L-7R2,-,1,0.10204081632653061
137,D14_L-12C1R4,-,1,0.10204081632653061
138,D16_L-11C1R7,-,1,0.10204081632653061
139,D22_L-20C1R4,-,1,0.10204081632653061
140,D25_L-20C1R7,-,1,0.10204081632653061
141,D7_L-7R1,-,1,0.10204081632653061
142,D10_L-2R9,-,1,0.10204081632653061
143,D20_L-21R0,-,1,0.10204081632653061
144,D8_L-8R1,-,1,0.10204081632653061
145,D21_L-6C1R17,-,1,0.10204081632653061
146,D13_L-11C1R4,-,1,0.10204081632653061
147,D10_L-10R1,-,1,0.10204081632653061
148,D11_L-11R1,-,1,0.10204081632653061
149,D12_L-3R10,-,1,0.10204081632653061
150,D12_L-11R2,-,1,0.10204081632653061
151,D23_L-25C1R0,-,1,0.10204081632653061
152,D14_L-16C1R0,-,1,0.10204081632653061
153,D29_L-30R0,-,1,0.10204081632653061
154,D26_L-8C1R20,-,1,0.10204081632653061
155,D29_L-15C1R16,-,1,0.10204081632653061
156,D13_L-2R12,-,1,0.10204081632653061
157,D29_L-8C1R23,-,1,0.10204081632653061
158,D29_L-11C1R20,-,1,0.10204081632653061
159,D29_L-6C1R25,-,1,0.10204081632653061
160,D11_L-10R2,-,1,0.10204081632653061
161,D22_L-8C1R16,-,1,0.10204081632653061
162,D11_L-7R5,-,1,0.10204081632653061
163,D9_L-8R2,-,1,0.10204081632653061
164,D28_L-25C1R5,-,1,0.10204081632653061
165,D19_L-16C1R5,-,1,0.10204081632653061
166,D29_L-3R27,-,1,0.10204081632653061
167,D7_L-6R2,-,1,0.10204081632653061
168,D27_L-3R25,-,1,0.10204081632653061
169,D29_L-17R13,-,1,0.10204081632653061
170,D12_L-8R5,-,1,0.10204081632653061
171,D10_L-9R2,-,1,0.10204081632653061
172,D18_L-8R11,-,1,0.10204081632653061
173,D10_L-4R7,-,1,0.10204081632653061
174,D7_L-5R3,-,1,0.10204081632653061
175,D25_L-11C1R16,-,1,0.10204081632653061
