,Identifier,drop,count,ratio
0,D5_L-5C4R5,-,475,50.424628450106155
1,D2_L-1C1R3,-,29,3.0785562632696393
2,D2_L-3R0,-,28,2.9723991507431
3,D24_L-25C4R4,-,24,2.547770700636943
4,D3_L-4C1R1,-,23,2.4416135881104037
5,D1_L-2R0,-,18,1.910828025477707
6,D1_L-1R1,-,15,1.5923566878980893
7,D6_L-2C1R6,-,12,1.2738853503184715
8,D14_L-13C3R5,-,10,1.0615711252653928
9,D12_L-15C3R1,-,10,1.0615711252653928
10,D5_L-6R0,-,9,0.9554140127388535
11,D3_L-1R3,-,8,0.8492569002123143
12,I1_L-2C1R0,-,8,0.8492569002123143
13,D11_L-2C2R12,-,7,0.743099787685775
14,D14_L-4C2R13,-,7,0.743099787685775
15,D6_L-7R0,-,7,0.743099787685775
16,D15_L-8C3R11,-,6,0.6369426751592357
17,D4_L-6C1R0,-,6,0.6369426751592357
18,D23_L-14C3R13,-,6,0.6369426751592357
19,D4_L-1R4,-,5,0.5307855626326964
20,D7_L-1R7,-,5,0.5307855626326964
21,D24_L-3C2R24,-,4,0.42462845010615713
22,I1_L-1R0,-,4,0.42462845010615713
23,D21_L-21C2R3,-,4,0.42462845010615713
24,D23_L-4C2R22,-,4,0.42462845010615713
25,D7_L-8R0,-,4,0.42462845010615713
26,D8_L-1R8,-,4,0.42462845010615713
27,D27_L-27C2R3,-,4,0.42462845010615713
28,D9_L-9C1R2,-,4,0.42462845010615713
29,D30_L-31C2R2,-,3,0.3184713375796179
30,D8_L-3C1R7,-,3,0.3184713375796179
31,D9_L-13C3R0,-,3,0.3184713375796179
32,D9_L-1R9,-,3,0.3184713375796179
33,D17_L-10C2R10,-,3,0.3184713375796179
34,D25_L-18C2R10,-,3,0.3184713375796179
35,D24_L-17C2R10,-,3,0.3184713375796179
36,D9_L-3C1R8,-,3,0.3184713375796179
37,D17_L-15C2R5,-,3,0.3184713375796179
38,D10_L-10C1R2,-,3,0.3184713375796179
39,D29_L-2C2R30,-,3,0.3184713375796179
40,D10_L-11R0,-,3,0.3184713375796179
41,D16_L-9C2R10,-,3,0.3184713375796179
42,D8_L-9R0,-,2,0.21231422505307856
43,D7_L-7C1R2,-,2,0.21231422505307856
