,Identifier,drop,count,ratio
0,D4_L-5C4R4,-,603,63.27387198321092
1,I1_L-2C1R0,-,53,5.561385099685205
2,D3_L-4C2R2,-,49,5.141657922350472
3,D5_L-5C2R3,-,36,3.777544596012592
4,D2_L-1C1R3,-,12,1.2591815320041972
5,D16_L-14C4R7,-,12,1.2591815320041972
6,D2_L-3C1R1,-,12,1.2591815320041972
7,D1_L-1C2R3,-,9,0.944386149003148
8,D1_L-2R0,-,8,0.8394543546694648
9,D12_L-2C2R13,-,6,0.6295907660020986
10,D13_L-9C3R8,-,4,0.4197271773347324
11,D29_L-20C3R13,-,4,0.4197271773347324
12,D6_L-5C1R3,-,4,0.4197271773347324
13,D5_L-1R5,-,4,0.4197271773347324
14,D5_L-6R0,-,4,0.4197271773347324
15,D10_L-2C1R10,-,4,0.4197271773347324
16,D28_L-17C3R15,-,4,0.4197271773347324
17,D3_L-1R3,-,3,0.3147953830010493
18,D12_L-7C2R8,-,3,0.3147953830010493
19,D17_L-19C3R2,-,3,0.3147953830010493
20,D6_L-1R6,-,3,0.3147953830010493
21,I1_L-1C3R3,-,3,0.3147953830010493
22,I1_L-1R0,-,3,0.3147953830010493
23,D18_L-18C2R3,-,2,0.2098635886673662
24,D30_L-2C4R33,-,2,0.2098635886673662
25,D19_L-7C3R16,-,2,0.2098635886673662
26,D6_L-7R0,-,2,0.2098635886673662
27,D9_L-10C1R1,-,2,0.2098635886673662
28,D24_L-15C2R12,-,2,0.2098635886673662
29,D30_L-25C2R8,-,2,0.2098635886673662
30,D21_L-16C2R8,-,2,0.2098635886673662
31,D11_L-10C1R3,-,2,0.2098635886673662
32,D10_L-10C1R2,-,2,0.2098635886673662
33,D24_L-11C2R16,-,2,0.2098635886673662
34,D8_L-1R8,-,2,0.2098635886673662
35,D27_L-22C2R8,-,2,0.2098635886673662
36,D20_L-8C2R15,-,2,0.2098635886673662
37,D27_L-3C2R27,-,1,0.1049317943336831
38,D26_L-21C2R8,-,1,0.1049317943336831
39,D12_L-9C1R5,-,1,0.1049317943336831
40,D7_L-1R7,-,1,0.1049317943336831
41,D12_L-14C1R0,-,1,0.1049317943336831
42,D11_L-12R0,-,1,0.1049317943336831
43,D9_L-1R9,-,1,0.1049317943336831
44,D14_L-3C1R13,-,1,0.1049317943336831
45,D7_L-8R0,-,1,0.1049317943336831
46,D11_L-1R11,-,1,0.1049317943336831
47,D6_L-6R1,-,1,0.1049317943336831
48,D25_L-2C2R26,-,1,0.1049317943336831
49,D13_L-1R13,-,1,0.1049317943336831
50,D18_L-2C1R18,-,1,0.1049317943336831
51,I2_L-2C1R0,-,1,0.1049317943336831
52,D15_L-4C1R13,-,1,0.1049317943336831
53,D10_L-11R0,-,1,0.1049317943336831
54,D14_L-1R14,-,1,0.1049317943336831
55,D8_L-9R0,-,1,0.1049317943336831
56,D6_L-2R5,-,1,0.1049317943336831
57,D6_L-3R4,-,1,0.1049317943336831
58,D27_L-19C1R10,-,1,0.1049317943336831
59,D16_L-9C1R9,-,1,0.1049317943336831
60,D5_L-2R4,-,1,0.1049317943336831
61,I2_L-3C3R1,-,1,0.1049317943336831
62,D29_L-9C2R23,-,1,0.1049317943336831
63,D15_L-1C1R16,-,1,0.1049317943336831
64,I2_L-1C3R3,-,1,0.1049317943336831
65,I2_L-1C1R1,-,1,0.1049317943336831
66,D28_L-1R28,-,1,0.1049317943336831
67,D30_L-15C2R18,-,1,0.1049317943336831
68,D22_L-14C1R10,-,1,0.1049317943336831
69,I2_L-1R0,-,1,0.1049317943336831
70,D24_L-2C1R24,-,1,0.1049317943336831
71,D29_L-16C1R15,-,1,0.1049317943336831
72,D11_L-6C1R7,-,1,0.1049317943336831
73,D16_L-7C1R11,-,1,0.1049317943336831
74,D22_L-23C1R1,-,1,0.1049317943336831
75,D20_L-11C1R11,-,1,0.1049317943336831
76,D19_L-2C1R19,-,1,0.1049317943336831
77,D20_L-13C1R9,-,1,0.1049317943336831
78,D17_L-8C1R11,-,1,0.1049317943336831
79,D17_L-11C1R8,-,1,0.1049317943336831
80,D25_L-26C1R1,-,1,0.1049317943336831
81,D23_L-23C1R2,-,1,0.1049317943336831
82,D23_L-11C1R14,-,1,0.1049317943336831
83,D21_L-8C1R15,-,1,0.1049317943336831
84,D16_L-5C1R13,-,1,0.1049317943336831
85,D30_L-21C1R11,-,1,0.1049317943336831
86,D17_L-3C1R16,-,1,0.1049317943336831
87,D21_L-10C1R13,-,1,0.1049317943336831
88,D16_L-1R16,-,1,0.1049317943336831
89,D18_L-19R0,-,1,0.1049317943336831
90,D17_L-1R17,-,1,0.1049317943336831
91,D25_L-16C1R11,-,1,0.1049317943336831
92,D21_L-1R21,-,1,0.1049317943336831
93,D19_L-12C1R9,-,1,0.1049317943336831
94,D23_L-1R23,-,1,0.1049317943336831
95,D15_L-6C1R11,-,1,0.1049317943336831
96,D27_L-26C1R3,-,1,0.1049317943336831
97,D19_L-20R0,-,1,0.1049317943336831
98,D26_L-26C1R2,-,1,0.1049317943336831
99,D24_L-23C1R3,-,1,0.1049317943336831
100,D19_L-18C1R3,-,1,0.1049317943336831
101,D17_L-13C1R6,-,1,0.1049317943336831
102,D22_L-16C1R8,-,1,0.1049317943336831
103,D16_L-17C1R1,-,1,0.1049317943336831
104,D14_L-8C1R8,-,1,0.1049317943336831
105,D22_L-1R22,-,1,0.1049317943336831
106,D7_L-6R2,-,1,0.1049317943336831
107,D29_L-1R29,-,1,0.1049317943336831
108,D11_L-3R9,-,1,0.1049317943336831
109,D12_L-11R2,-,1,0.1049317943336831
110,D7_L-5R3,-,1,0.1049317943336831
111,D12_L-4R9,-,1,0.1049317943336831
112,D28_L-22C1R8,-,1,0.1049317943336831
113,D20_L-1R20,-,1,0.1049317943336831
114,D7_L-3R5,-,1,0.1049317943336831
115,D27_L-29C1R0,-,1,0.1049317943336831
