,Identifier,drop,count,ratio
0,I1_L-2C2R1,-,277,27.979797979797983
1,D1_L-2C1R1,-,146,14.747474747474747
2,D6_L-5C2R4,-,36,3.6363636363636362
3,D2_L-3R0,-,23,2.323232323232323
4,D11_L-4C2R10,-,22,2.2222222222222223
5,D2_L-1R2,-,15,1.5151515151515151
6,D3_L-3C1R2,-,15,1.5151515151515151
7,D6_L-7C1R1,-,12,1.2121212121212122
8,D26_L-22C3R8,-,9,0.9090909090909091
9,I1_L-1R0,-,8,0.8080808080808081
10,D27_L-19C3R12,-,8,0.8080808080808081
11,D3_L-4R0,-,8,0.8080808080808081
12,D14_L-4C2R13,-,8,0.8080808080808081
13,D12_L-14C2R1,-,7,0.7070707070707071
14,D9_L-3C1R8,-,7,0.7070707070707071
15,D24_L-19C3R9,-,6,0.6060606060606061
16,D28_L-24C2R7,-,6,0.6060606060606061
17,D4_L-5R0,-,6,0.6060606060606061
18,D15_L-3C2R15,-,6,0.6060606060606061
19,D8_L-3C1R7,-,6,0.6060606060606061
20,D5_L-4C1R3,-,5,0.5050505050505051
21,D12_L-3C1R11,-,5,0.5050505050505051
22,D5_L-7C1R0,-,5,0.5050505050505051
23,D29_L-21C2R11,-,5,0.5050505050505051
24,D28_L-20C2R11,-,5,0.5050505050505051
25,D28_L-29C2R2,-,5,0.5050505050505051
26,D3_L-1R3,-,5,0.5050505050505051
27,D13_L-10C2R6,-,4,0.40404040404040403
28,D27_L-25C2R5,-,4,0.40404040404040403
29,D14_L-11C2R6,-,4,0.40404040404040403
30,D5_L-1R5,-,4,0.40404040404040403
31,D30_L-32C3R2,-,4,0.40404040404040403
32,D15_L-12C2R6,-,4,0.40404040404040403
33,D19_L-17C2R5,-,4,0.40404040404040403
34,D4_L-1R4,-,4,0.40404040404040403
35,D6_L-1R6,-,4,0.40404040404040403
36,D18_L-18C2R3,-,4,0.40404040404040403
37,D30_L-19C2R14,-,3,0.30303030303030304
38,I2_L-2C2R1,-,3,0.30303030303030304
39,D12_L-5C1R9,-,3,0.30303030303030304
40,D2_L-2R1,-,3,0.30303030303030304
41,D9_L-8C1R3,-,3,0.30303030303030304
42,D9_L-6C1R5,-,3,0.30303030303030304
43,D10_L-6C1R6,-,3,0.30303030303030304
44,D11_L-13C1R0,-,3,0.30303030303030304
45,D25_L-20C2R8,-,3,0.30303030303030304
46,D28_L-5C2R26,-,3,0.30303030303030304
47,D10_L-11R0,-,3,0.30303030303030304
48,D9_L-10R0,-,3,0.30303030303030304
49,D20_L-7C2R16,-,3,0.30303030303030304
50,D8_L-1R8,-,3,0.30303030303030304
51,I2_L-2C1R0,-,3,0.30303030303030304
52,I2_L-3C2R0,-,3,0.30303030303030304
53,D29_L-5C2R27,-,3,0.30303030303030304
54,I2_L-1C1R1,-,3,0.30303030303030304
55,I2_L-1C2R2,-,2,0.20202020202020202
56,D10_L-1R10,-,2,0.20202020202020202
57,D11_L-1R11,-,2,0.20202020202020202
58,D26_L-13C2R16,-,2,0.20202020202020202
59,D10_L-8C1R4,-,2,0.20202020202020202
60,D9_L-1R9,-,2,0.20202020202020202
61,D4_L-3R2,-,2,0.20202020202020202
62,I2_L-1R0,-,2,0.20202020202020202
63,D7_L-5C1R4,-,2,0.20202020202020202
64,D7_L-1R7,-,2,0.20202020202020202
65,D13_L-15C2R1,-,2,0.20202020202020202
66,D7_L-8R0,-,2,0.20202020202020202
67,D29_L-23C1R8,-,2,0.20202020202020202
68,D29_L-2C1R29,-,2,0.20202020202020202
69,D12_L-1R12,-,2,0.20202020202020202
70,D26_L-18C1R10,-,2,0.20202020202020202
71,D15_L-5C1R12,-,2,0.20202020202020202
72,D8_L-9R0,-,2,0.20202020202020202
73,D12_L-9C1R5,-,2,0.20202020202020202
74,D27_L-21C1R8,-,2,0.20202020202020202
75,D30_L-21C1R11,-,2,0.20202020202020202
76,D6_L-2R5,-,2,0.20202020202020202
77,D5_L-2R4,-,2,0.20202020202020202
78,D26_L-7C2R22,-,2,0.20202020202020202
79,D14_L-1C1R15,-,2,0.20202020202020202
80,D4_L-4R1,-,2,0.20202020202020202
81,D5_L-5R1,-,2,0.20202020202020202
82,D14_L-15C1R1,-,1,0.10101010101010101
83,D29_L-18C1R13,-,1,0.10101010101010101
84,D30_L-10C2R23,-,1,0.10101010101010101
85,D19_L-19C1R2,-,1,0.10101010101010101
86,D26_L-27C1R1,-,1,0.10101010101010101
87,D15_L-8C1R9,-,1,0.10101010101010101
