,Identifier,drop,count,ratio
0,D7_L-6C5R7,-,313,33.40448239060832
1,D11_L-6C4R10,-,39,4.16221985058698
2,D6_L-3C2R6,-,38,4.055496264674493
3,D5_L-5C2R3,-,37,3.9487726787620065
4,D11_L-12C3R3,-,33,3.5218783351120595
5,D2_L-4C1R0,-,24,2.5613660618996796
6,D1_L-1R1,-,22,2.3479188900747063
7,D10_L-3C2R10,-,19,2.0277481323372464
8,D26_L-18C4R13,-,18,1.92102454642476
9,D2_L-1R2,-,16,1.7075773745997866
10,D3_L-2C1R3,-,16,1.7075773745997866
11,D8_L-4C2R7,-,15,1.6008537886872998
12,D1_L-4C2R0,-,14,1.4941302027748131
13,I1_L-4C3R0,-,13,1.3874066168623265
14,D30_L-24C4R11,-,12,1.2806830309498398
15,D14_L-6C3R12,-,12,1.2806830309498398
16,D12_L-2C2R13,-,11,1.1739594450373532
17,D24_L-25C3R3,-,8,0.8537886872998933
18,D7_L-8C1R1,-,8,0.8537886872998933
19,D5_L-2C1R5,-,8,0.8537886872998933
20,D6_L-7C1R1,-,8,0.8537886872998933
21,D8_L-10C2R1,-,7,0.7470651013874066
22,D23_L-10C5R19,-,7,0.7470651013874066
23,D9_L-2C1R9,-,7,0.7470651013874066
24,D26_L-24C3R6,-,7,0.7470651013874066
25,D3_L-4R0,-,7,0.7470651013874066
26,D27_L-23C3R8,-,7,0.7470651013874066
27,D20_L-11C3R13,-,6,0.6403415154749199
28,D4_L-3C1R3,-,6,0.6403415154749199
29,D19_L-18C3R5,-,5,0.5336179295624333
30,I1_L-1R0,-,5,0.5336179295624333
31,D23_L-18C3R9,-,5,0.5336179295624333
32,D29_L-16C4R18,-,5,0.5336179295624333
33,D4_L-6C1R0,-,5,0.5336179295624333
34,D22_L-3C3R23,-,5,0.5336179295624333
35,D5_L-6R0,-,4,0.42689434364994666
36,D12_L-4C1R10,-,3,0.32017075773745995
37,D4_L-1R4,-,3,0.32017075773745995
38,D12_L-13C1R1,-,3,0.32017075773745995
39,D28_L-2C3R30,-,3,0.32017075773745995
40,D30_L-10C4R25,-,3,0.32017075773745995
41,D8_L-1R8,-,3,0.32017075773745995
42,D3_L-3R1,-,3,0.32017075773745995
43,D23_L-22C2R4,-,3,0.32017075773745995
44,I1_L-1C1R1,-,3,0.32017075773745995
45,D23_L-4C2R22,-,3,0.32017075773745995
46,D17_L-17C2R3,-,3,0.32017075773745995
47,D9_L-4C1R7,-,3,0.32017075773745995
48,D15_L-2C2R16,-,3,0.32017075773745995
49,D19_L-20C1R1,-,2,0.21344717182497333
50,D2_L-2R1,-,2,0.21344717182497333
51,D13_L-3C1R12,-,2,0.21344717182497333
52,D17_L-11C2R9,-,2,0.21344717182497333
53,D13_L-11C2R5,-,2,0.21344717182497333
54,D11_L-1R11,-,2,0.21344717182497333
55,D14_L-16C2R1,-,2,0.21344717182497333
56,D19_L-2C2R20,-,2,0.21344717182497333
57,D9_L-10R0,-,2,0.21344717182497333
58,D16_L-3C1R15,-,2,0.21344717182497333
59,D28_L-14C3R18,-,2,0.21344717182497333
60,D10_L-6C1R6,-,2,0.21344717182497333
61,D10_L-11R0,-,2,0.21344717182497333
62,D9_L-6C1R5,-,2,0.21344717182497333
63,D18_L-10C1R10,-,1,0.10672358591248667
64,D24_L-16C1R10,-,1,0.10672358591248667
65,D26_L-27C1R1,-,1,0.10672358591248667
66,D27_L-10C2R20,-,1,0.10672358591248667
67,D23_L-12C1R13,-,1,0.10672358591248667
68,D25_L-1C1R26,-,1,0.10672358591248667
69,D17_L-4C1R15,-,1,0.10672358591248667
70,D23_L-1C1R24,-,1,0.10672358591248667
71,D13_L-1R13,-,1,0.10672358591248667
72,D17_L-1C1R18,-,1,0.10672358591248667
73,D21_L-21C1R2,-,1,0.10672358591248667
74,D27_L-28C1R1,-,1,0.10672358591248667
75,D18_L-7C1R13,-,1,0.10672358591248667
76,D13_L-14C1R1,-,1,0.10672358591248667
77,D24_L-1C1R25,-,1,0.10672358591248667
78,D25_L-26C1R1,-,1,0.10672358591248667
79,D25_L-7C2R21,-,1,0.10672358591248667
80,D24_L-13C1R13,-,1,0.10672358591248667
81,D14_L-1R14,-,1,0.10672358591248667
82,D16_L-1C1R17,-,1,0.10672358591248667
83,D16_L-6C1R12,-,1,0.10672358591248667
84,D4_L-4R1,-,1,0.10672358591248667
85,D19_L-8C1R13,-,1,0.10672358591248667
86,D28_L-18C1R12,-,1,0.10672358591248667
87,D17_L-18R0,-,1,0.10672358591248667
88,D21_L-23C1R0,-,1,0.10672358591248667
89,D25_L-14C1R13,-,1,0.10672358591248667
90,D30_L-4C1R28,-,1,0.10672358591248667
91,D21_L-4C1R19,-,1,0.10672358591248667
92,D16_L-18C1R0,-,1,0.10672358591248667
93,D30_L-1C1R31,-,1,0.10672358591248667
94,I2_L-1R0,-,1,0.10672358591248667
95,D26_L-1R26,-,1,0.10672358591248667
96,D24_L-9C2R18,-,1,0.10672358591248667
97,D6_L-5R2,-,1,0.10672358591248667
98,D29_L-1R29,-,1,0.10672358591248667
99,D21_L-16C1R7,-,1,0.10672358591248667
100,D30_L-31C1R1,-,1,0.10672358591248667
101,I2_L-4C3R0,-,1,0.10672358591248667
102,D20_L-1R20,-,1,0.10672358591248667
103,D30_L-15C2R18,-,1,0.10672358591248667
104,D18_L-1R18,-,1,0.10672358591248667
105,D21_L-2C1R21,-,1,0.10672358591248667
106,D20_L-16C1R6,-,1,0.10672358591248667
107,I2_L-2C2R1,-,1,0.10672358591248667
108,I2_L-1C1R1,-,1,0.10672358591248667
109,D27_L-1R27,-,1,0.10672358591248667
110,D14_L-10C1R6,-,1,0.10672358591248667
111,I2_L-1C2R2,-,1,0.10672358591248667
112,D29_L-30R0,-,1,0.10672358591248667
113,D20_L-23C2R0,-,1,0.10672358591248667
114,D22_L-18C1R6,-,1,0.10672358591248667
115,D30_L-12C1R20,-,1,0.10672358591248667
116,D29_L-3C1R28,-,1,0.10672358591248667
117,D27_L-13C2R17,-,1,0.10672358591248667
118,D21_L-18C1R5,-,1,0.10672358591248667
119,D18_L-19R0,-,1,0.10672358591248667
120,D15_L-16R0,-,1,0.10672358591248667
121,D24_L-4C1R22,-,1,0.10672358591248667
122,I2_L-2C1R0,-,1,0.10672358591248667
123,D15_L-10C1R7,-,1,0.10672358591248667
124,D20_L-3C1R19,-,1,0.10672358591248667
125,D22_L-23R0,-,1,0.10672358591248667
126,D22_L-8C2R17,-,1,0.10672358591248667
127,D13_L-6C1R9,-,1,0.10672358591248667
128,D25_L-18C1R9,-,1,0.10672358591248667
129,D19_L-6C1R15,-,1,0.10672358591248667
130,D15_L-3R13,-,1,0.10672358591248667
131,D6_L-4R3,-,1,0.10672358591248667
132,D29_L-8C2R24,-,1,0.10672358591248667
133,D29_L-22C1R9,-,1,0.10672358591248667
134,D23_L-24R0,-,1,0.10672358591248667
135,D28_L-29R0,-,1,0.10672358591248667
136,D9_L-8R2,-,1,0.10672358591248667
137,D28_L-23C1R7,-,1,0.10672358591248667
138,D8_L-7R2,-,1,0.10672358591248667
139,D9_L-9R1,-,1,0.10672358591248667
140,D11_L-7R5,-,1,0.10672358591248667
141,D25_L-22C1R5,-,1,0.10672358591248667
142,D10_L-4R7,-,1,0.10672358591248667
143,D29_L-10C1R21,-,1,0.10672358591248667
144,D25_L-9C1R18,-,1,0.10672358591248667
145,D10_L-9R2,-,1,0.10672358591248667
146,D11_L-8R4,-,1,0.10672358591248667
147,D12_L-11R2,-,1,0.10672358591248667
148,D12_L-8R5,-,1,0.10672358591248667
149,D10_L-8R3,-,1,0.10672358591248667
150,D19_L-3R17,-,1,0.10672358591248667
151,D8_L-5R4,-,1,0.10672358591248667
152,D9_L-7R3,-,1,0.10672358591248667
153,D8_L-6R3,-,1,0.10672358591248667
154,D28_L-3R26,-,1,0.10672358591248667
155,D26_L-6C1R22,-,1,0.10672358591248667
156,D26_L-8C1R20,-,1,0.10672358591248667
157,D29_L-17R13,-,1,0.10672358591248667
158,D12_L-7R6,-,1,0.10672358591248667
159,D25_L-3R23,-,1,0.10672358591248667
160,D10_L-7R4,-,1,0.10672358591248667
