,Identifier,drop,count,ratio
0,D5_L-6C4R4,-,273,28.61635220125786
1,I1_L-2C1R0,-,210,22.0125786163522
2,D11_L-5C4R11,-,94,9.853249475890985
3,D23_L-22C5R7,-,51,5.345911949685535
4,D2_L-3C1R1,-,23,2.410901467505241
5,D1_L-2R0,-,15,1.5723270440251573
6,D1_L-1C1R2,-,15,1.5723270440251573
7,D2_L-1R2,-,10,1.0482180293501049
8,D7_L-2C2R8,-,10,1.0482180293501049
9,D3_L-3C1R2,-,10,1.0482180293501049
10,D13_L-10C3R7,-,9,0.9433962264150944
11,D28_L-28C3R4,-,7,0.7337526205450734
12,D4_L-5C1R1,-,6,0.628930817610063
13,I1_L-1C2R2,-,6,0.628930817610063
14,I1_L-1R0,-,5,0.5241090146750524
15,D6_L-6C1R2,-,4,0.41928721174004197
16,D13_L-2C3R15,-,4,0.41928721174004197
17,D4_L-1R4,-,4,0.41928721174004197
18,D5_L-1R5,-,4,0.41928721174004197
19,D16_L-3C2R16,-,3,0.3144654088050315
20,D27_L-24C2R6,-,3,0.3144654088050315
21,D6_L-1R6,-,3,0.3144654088050315
22,D3_L-1C1R4,-,3,0.3144654088050315
23,D12_L-2C1R12,-,3,0.3144654088050315
24,D9_L-3C1R8,-,3,0.3144654088050315
25,D6_L-8C1R0,-,3,0.3144654088050315
26,D26_L-26C2R3,-,3,0.3144654088050315
27,D29_L-22C2R10,-,3,0.3144654088050315
28,D21_L-17C2R7,-,3,0.3144654088050315
29,D3_L-4R0,-,3,0.3144654088050315
30,D14_L-11C2R6,-,3,0.3144654088050315
31,D15_L-12C2R6,-,3,0.3144654088050315
32,D18_L-6C2R15,-,3,0.3144654088050315
33,D16_L-13C2R6,-,3,0.3144654088050315
34,D12_L-6C1R8,-,3,0.3144654088050315
35,D19_L-15C2R7,-,3,0.3144654088050315
36,D29_L-14C4R20,-,3,0.3144654088050315
37,D11_L-7C1R6,-,2,0.20964360587002098
38,D29_L-4C2R28,-,2,0.20964360587002098
39,D9_L-1C1R10,-,2,0.20964360587002098
40,D30_L-3C2R30,-,2,0.20964360587002098
41,I2_L-2C1R0,-,2,0.20964360587002098
42,D12_L-14C1R0,-,2,0.20964360587002098
43,D10_L-1R10,-,2,0.20964360587002098
44,D10_L-7C1R5,-,2,0.20964360587002098
45,D8_L-1R8,-,2,0.20964360587002098
46,D12_L-9C1R5,-,2,0.20964360587002098
47,D11_L-12R0,-,2,0.20964360587002098
48,D8_L-6C1R4,-,2,0.20964360587002098
49,D7_L-5C1R4,-,2,0.20964360587002098
50,I2_L-3C3R1,-,1,0.10482180293501049
51,D10_L-11R0,-,1,0.10482180293501049
52,D7_L-8R0,-,1,0.10482180293501049
53,D15_L-3C1R14,-,1,0.10482180293501049
54,I2_L-1C2R2,-,1,0.10482180293501049
55,I2_L-1C1R1,-,1,0.10482180293501049
56,D27_L-11C3R20,-,1,0.10482180293501049
